==== Model Run Details ====
Dataset: adiac
Model type: adadiag
Block sizes: [32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32]
Block config: 3
Activation: relu
Coupling topology: 20
Block init fn: diagonal
Coupling block init fn: uniform
Train batch size: 16
Test batch size: 128
Epochs: 250
Decay epochs: [80, 160]
Decay scalar: 0.1
Gating: True
Gate bounds: [1e-05, 0.2]
Euler step: 0.01
Learning rate: 0.01
Trials: 3
==========================


--- Trial 1/3 ---
Epoch 1: TrainLoss=3.6481, TrainAcc=0.0200, TestLoss=3.6174, Test Accuracy=0.0826
Epoch 2: TrainLoss=3.6882, TrainAcc=0.0425, TestLoss=3.6561, Test Accuracy=0.0943
Epoch 3: TrainLoss=3.6161, TrainAcc=0.0392, TestLoss=3.5986, Test Accuracy=0.0826
Epoch 4: TrainLoss=3.5278, TrainAcc=0.0700, TestLoss=3.5399, Test Accuracy=0.0625
Epoch 5: TrainLoss=3.4625, TrainAcc=0.0817, TestLoss=3.5005, Test Accuracy=0.1574
Epoch 6: TrainLoss=3.3732, TrainAcc=0.0875, TestLoss=3.3430, Test Accuracy=0.1177
Epoch 7: TrainLoss=3.2852, TrainAcc=0.0958, TestLoss=3.3085, Test Accuracy=0.1295
Epoch 8: TrainLoss=3.3155, TrainAcc=0.1150, TestLoss=3.2888, Test Accuracy=0.0924
Epoch 9: TrainLoss=3.2675, TrainAcc=0.0967, TestLoss=3.1883, Test Accuracy=0.1177
Epoch 10: TrainLoss=3.2229, TrainAcc=0.1250, TestLoss=3.1827, Test Accuracy=0.1828
Epoch 11: TrainLoss=3.1767, TrainAcc=0.1400, TestLoss=3.1255, Test Accuracy=0.1984
Epoch 12: TrainLoss=4.9243, TrainAcc=0.1250, TestLoss=3.2512, Test Accuracy=0.1906
Epoch 13: TrainLoss=3.3657, TrainAcc=0.1200, TestLoss=3.2382, Test Accuracy=0.1334
Epoch 14: TrainLoss=3.2211, TrainAcc=0.1617, TestLoss=3.1591, Test Accuracy=0.1828
Epoch 15: TrainLoss=3.1412, TrainAcc=0.1350, TestLoss=3.0594, Test Accuracy=0.2600
Epoch 16: TrainLoss=3.0613, TrainAcc=0.1817, TestLoss=3.0182, Test Accuracy=0.2101
Epoch 17: TrainLoss=3.0004, TrainAcc=0.1792, TestLoss=3.0212, Test Accuracy=0.2433
Epoch 18: TrainLoss=2.9634, TrainAcc=0.2167, TestLoss=2.9358, Test Accuracy=0.2101
Epoch 19: TrainLoss=2.9076, TrainAcc=0.2383, TestLoss=2.8751, Test Accuracy=0.2609
Epoch 20: TrainLoss=2.8174, TrainAcc=0.2433, TestLoss=2.7272, Test Accuracy=0.2218
Epoch 21: TrainLoss=2.7449, TrainAcc=0.2275, TestLoss=2.6753, Test Accuracy=0.2355
Epoch 22: TrainLoss=2.6411, TrainAcc=0.2792, TestLoss=2.5873, Test Accuracy=0.2355
Epoch 23: TrainLoss=2.5741, TrainAcc=0.2533, TestLoss=2.6334, Test Accuracy=0.2199
Epoch 24: TrainLoss=2.5316, TrainAcc=0.2767, TestLoss=2.4282, Test Accuracy=0.3064
Epoch 25: TrainLoss=2.4338, TrainAcc=0.2850, TestLoss=2.4105, Test Accuracy=0.3122
Epoch 26: TrainLoss=2.3178, TrainAcc=0.3358, TestLoss=2.3650, Test Accuracy=0.2570
Epoch 27: TrainLoss=2.3081, TrainAcc=0.3292, TestLoss=2.1359, Test Accuracy=0.4389
Epoch 28: TrainLoss=2.2214, TrainAcc=0.3933, TestLoss=2.2228, Test Accuracy=0.3836
Epoch 29: TrainLoss=2.2761, TrainAcc=0.3383, TestLoss=2.2730, Test Accuracy=0.3499
Epoch 30: TrainLoss=2.2130, TrainAcc=0.3833, TestLoss=2.1090, Test Accuracy=0.3792
Epoch 31: TrainLoss=2.1938, TrainAcc=0.3492, TestLoss=2.0719, Test Accuracy=0.3825
Epoch 32: TrainLoss=2.0156, TrainAcc=0.4108, TestLoss=1.8508, Test Accuracy=0.4339
Epoch 33: TrainLoss=2.0057, TrainAcc=0.3917, TestLoss=1.9872, Test Accuracy=0.3728
Epoch 34: TrainLoss=1.9139, TrainAcc=0.4375, TestLoss=1.8485, Test Accuracy=0.3996
Epoch 35: TrainLoss=1.9002, TrainAcc=0.4425, TestLoss=1.6959, Test Accuracy=0.5229
Epoch 36: TrainLoss=1.8529, TrainAcc=0.4292, TestLoss=1.7022, Test Accuracy=0.5106
Epoch 37: TrainLoss=1.8063, TrainAcc=0.4617, TestLoss=1.8757, Test Accuracy=0.4422
Epoch 38: TrainLoss=2.0115, TrainAcc=0.3933, TestLoss=1.8561, Test Accuracy=0.4422
Epoch 39: TrainLoss=1.7597, TrainAcc=0.4750, TestLoss=1.6315, Test Accuracy=0.5061
Epoch 40: TrainLoss=1.7235, TrainAcc=0.4667, TestLoss=1.6631, Test Accuracy=0.4646
Epoch 41: TrainLoss=1.6268, TrainAcc=0.4583, TestLoss=1.7258, Test Accuracy=0.4593
Epoch 42: TrainLoss=1.5680, TrainAcc=0.5075, TestLoss=1.3842, Test Accuracy=0.6328
Epoch 43: TrainLoss=1.5158, TrainAcc=0.5492, TestLoss=1.7265, Test Accuracy=0.4450
Epoch 44: TrainLoss=1.6491, TrainAcc=0.4592, TestLoss=1.6949, Test Accuracy=0.5047
Epoch 45: TrainLoss=1.5080, TrainAcc=0.5175, TestLoss=1.6944, Test Accuracy=0.4905
Epoch 46: TrainLoss=1.4352, TrainAcc=0.5558, TestLoss=1.4706, Test Accuracy=0.5971
Epoch 47: TrainLoss=1.4124, TrainAcc=0.5308, TestLoss=1.7612, Test Accuracy=0.4866
Epoch 48: TrainLoss=1.4218, TrainAcc=0.5650, TestLoss=1.4088, Test Accuracy=0.6102
Epoch 49: TrainLoss=1.3041, TrainAcc=0.6183, TestLoss=1.3387, Test Accuracy=0.6557
Epoch 50: TrainLoss=1.2687, TrainAcc=0.5958, TestLoss=1.4852, Test Accuracy=0.5692
Epoch 51: TrainLoss=1.2867, TrainAcc=0.5800, TestLoss=1.4877, Test Accuracy=0.5472
Epoch 52: TrainLoss=1.3694, TrainAcc=0.5767, TestLoss=1.3160, Test Accuracy=0.6030
Epoch 53: TrainLoss=1.1960, TrainAcc=0.6267, TestLoss=1.5233, Test Accuracy=0.5393
Epoch 54: TrainLoss=1.1289, TrainAcc=0.6358, TestLoss=1.4426, Test Accuracy=0.6004
Epoch 55: TrainLoss=1.3744, TrainAcc=0.5700, TestLoss=1.2692, Test Accuracy=0.6738
Epoch 56: TrainLoss=1.1458, TrainAcc=0.5983, TestLoss=1.4914, Test Accuracy=0.5985
Epoch 57: TrainLoss=1.2435, TrainAcc=0.5983, TestLoss=1.6029, Test Accuracy=0.4939
Epoch 58: TrainLoss=1.1251, TrainAcc=0.6367, TestLoss=1.4832, Test Accuracy=0.6219
Epoch 59: TrainLoss=1.3527, TrainAcc=0.5442, TestLoss=1.3747, Test Accuracy=0.5569
Epoch 60: TrainLoss=1.1959, TrainAcc=0.6342, TestLoss=1.2904, Test Accuracy=0.6395
Epoch 61: TrainLoss=1.0299, TrainAcc=0.6508, TestLoss=1.3620, Test Accuracy=0.5940
Epoch 62: TrainLoss=1.0839, TrainAcc=0.6300, TestLoss=1.4770, Test Accuracy=0.5818
Epoch 63: TrainLoss=1.1910, TrainAcc=0.6075, TestLoss=1.4733, Test Accuracy=0.6044
Epoch 64: TrainLoss=1.0493, TrainAcc=0.6475, TestLoss=1.3100, Test Accuracy=0.6102
Epoch 65: TrainLoss=1.0543, TrainAcc=0.6267, TestLoss=1.3469, Test Accuracy=0.6532
Epoch 66: TrainLoss=0.9851, TrainAcc=0.6992, TestLoss=1.4174, Test Accuracy=0.6576
Epoch 67: TrainLoss=0.9792, TrainAcc=0.6967, TestLoss=1.2757, Test Accuracy=0.6395
Epoch 68: TrainLoss=0.8890, TrainAcc=0.7008, TestLoss=1.3129, Test Accuracy=0.6336
Epoch 69: TrainLoss=0.9074, TrainAcc=0.6883, TestLoss=1.2364, Test Accuracy=0.6297
