==== Model Run Details ====
Dataset: adiac
Model type: lstm
Activation: relu
Block init fn: sparse
Train batch size: 16
Test batch size: 128
Epochs: 250
Decay epochs: [80, 160]
Decay scalar: 0.1
Hidden size: 128
Bidirectional: True
Number of layers: 2
L2 regularization: 0.0
Learning rate: 0.001
Trials: 3
==========================


--- Trial 1/3 ---
Epoch 1: TrainLoss=3.6154, TrainAcc=0.0250, TestLoss=3.6212, Test Accuracy=0.0117
Epoch 2: TrainLoss=3.6020, TrainAcc=0.0225, TestLoss=3.6277, Test Accuracy=0.0234
Epoch 3: TrainLoss=3.5960, TrainAcc=0.0275, TestLoss=3.6405, Test Accuracy=0.0117
Epoch 4: TrainLoss=3.5937, TrainAcc=0.0375, TestLoss=3.6385, Test Accuracy=0.0156
Epoch 5: TrainLoss=3.5901, TrainAcc=0.0350, TestLoss=3.6204, Test Accuracy=0.0371
Epoch 6: TrainLoss=3.5366, TrainAcc=0.0867, TestLoss=3.5111, Test Accuracy=0.0605
Epoch 7: TrainLoss=3.4247, TrainAcc=0.0917, TestLoss=3.4803, Test Accuracy=0.0508
Epoch 8: TrainLoss=3.3704, TrainAcc=0.1150, TestLoss=3.3056, Test Accuracy=0.1275
Epoch 9: TrainLoss=3.2839, TrainAcc=0.1208, TestLoss=3.2567, Test Accuracy=0.1236
Epoch 10: TrainLoss=3.2507, TrainAcc=0.1200, TestLoss=3.2638, Test Accuracy=0.1177
Epoch 11: TrainLoss=3.1916, TrainAcc=0.1408, TestLoss=3.2451, Test Accuracy=0.1353
Epoch 12: TrainLoss=3.1954, TrainAcc=0.1325, TestLoss=3.1787, Test Accuracy=0.1509
Epoch 13: TrainLoss=3.2528, TrainAcc=0.1225, TestLoss=3.3055, Test Accuracy=0.1080
Epoch 14: TrainLoss=3.1500, TrainAcc=0.1383, TestLoss=3.2159, Test Accuracy=0.1138
Epoch 15: TrainLoss=3.1452, TrainAcc=0.1275, TestLoss=3.1955, Test Accuracy=0.1275
Epoch 16: TrainLoss=3.1768, TrainAcc=0.1400, TestLoss=3.3041, Test Accuracy=0.0963
Epoch 17: TrainLoss=3.1586, TrainAcc=0.1458, TestLoss=3.1706, Test Accuracy=0.1373
Epoch 18: TrainLoss=3.0796, TrainAcc=0.1858, TestLoss=3.1515, Test Accuracy=0.1236
Epoch 19: TrainLoss=3.0913, TrainAcc=0.1667, TestLoss=3.1254, Test Accuracy=0.1314
Epoch 20: TrainLoss=3.0736, TrainAcc=0.1667, TestLoss=3.1186, Test Accuracy=0.1373
Epoch 21: TrainLoss=3.0855, TrainAcc=0.1500, TestLoss=3.1798, Test Accuracy=0.1236
Epoch 22: TrainLoss=3.0503, TrainAcc=0.1858, TestLoss=3.1154, Test Accuracy=0.1789
Epoch 23: TrainLoss=3.0006, TrainAcc=0.1708, TestLoss=3.0733, Test Accuracy=0.1353
Epoch 24: TrainLoss=3.0787, TrainAcc=0.1400, TestLoss=3.1147, Test Accuracy=0.1509
Epoch 25: TrainLoss=3.0375, TrainAcc=0.1775, TestLoss=3.0785, Test Accuracy=0.1334
Epoch 26: TrainLoss=3.0406, TrainAcc=0.1750, TestLoss=3.1957, Test Accuracy=0.1632
Epoch 27: TrainLoss=3.1526, TrainAcc=0.1458, TestLoss=3.1158, Test Accuracy=0.1886
Epoch 28: TrainLoss=3.0620, TrainAcc=0.1792, TestLoss=3.1012, Test Accuracy=0.1295
Epoch 29: TrainLoss=3.0452, TrainAcc=0.1850, TestLoss=3.0933, Test Accuracy=0.1412
Epoch 30: TrainLoss=3.0127, TrainAcc=0.1742, TestLoss=3.0806, Test Accuracy=0.1353
Epoch 31: TrainLoss=3.0177, TrainAcc=0.1892, TestLoss=3.1651, Test Accuracy=0.1652
Epoch 32: TrainLoss=3.0280, TrainAcc=0.1775, TestLoss=3.1097, Test Accuracy=0.1652
Epoch 33: TrainLoss=3.0347, TrainAcc=0.1667, TestLoss=3.1044, Test Accuracy=0.1236
Epoch 34: TrainLoss=3.0310, TrainAcc=0.1733, TestLoss=3.0708, Test Accuracy=0.1470
Epoch 35: TrainLoss=3.0398, TrainAcc=0.1792, TestLoss=3.0660, Test Accuracy=0.1392
Epoch 36: TrainLoss=2.9873, TrainAcc=0.1775, TestLoss=3.0728, Test Accuracy=0.1412
Epoch 37: TrainLoss=2.9821, TrainAcc=0.1925, TestLoss=3.0477, Test Accuracy=0.1353
Epoch 38: TrainLoss=2.9844, TrainAcc=0.1642, TestLoss=3.1289, Test Accuracy=0.1197
Epoch 39: TrainLoss=2.9578, TrainAcc=0.1908, TestLoss=3.0361, Test Accuracy=0.1451
Epoch 40: TrainLoss=2.9619, TrainAcc=0.1800, TestLoss=3.0283, Test Accuracy=0.1730
Epoch 41: TrainLoss=2.9803, TrainAcc=0.1892, TestLoss=3.0208, Test Accuracy=0.1412
Epoch 42: TrainLoss=2.9458, TrainAcc=0.2350, TestLoss=3.0049, Test Accuracy=0.1568
Epoch 43: TrainLoss=2.9316, TrainAcc=0.2067, TestLoss=3.0130, Test Accuracy=0.1470
Epoch 44: TrainLoss=2.9286, TrainAcc=0.2350, TestLoss=3.0375, Test Accuracy=0.1730
Epoch 45: TrainLoss=2.9426, TrainAcc=0.1867, TestLoss=3.0292, Test Accuracy=0.1470
Epoch 46: TrainLoss=2.9600, TrainAcc=0.1850, TestLoss=3.0175, Test Accuracy=0.1529
Epoch 47: TrainLoss=2.9214, TrainAcc=0.2333, TestLoss=2.9786, Test Accuracy=0.1627
Epoch 48: TrainLoss=2.9079, TrainAcc=0.2292, TestLoss=2.9870, Test Accuracy=0.1568
Epoch 49: TrainLoss=2.9116, TrainAcc=0.2175, TestLoss=2.9593, Test Accuracy=0.1724
Epoch 50: TrainLoss=2.8776, TrainAcc=0.2292, TestLoss=2.9251, Test Accuracy=0.2419
Epoch 51: TrainLoss=2.8608, TrainAcc=0.2292, TestLoss=3.0601, Test Accuracy=0.1808
Epoch 52: TrainLoss=2.8644, TrainAcc=0.2475, TestLoss=2.9603, Test Accuracy=0.1945
Epoch 53: TrainLoss=2.8142, TrainAcc=0.2642, TestLoss=2.9444, Test Accuracy=0.2068
Epoch 54: TrainLoss=2.8633, TrainAcc=0.2308, TestLoss=2.9352, Test Accuracy=0.1666
Epoch 55: TrainLoss=2.8301, TrainAcc=0.2300, TestLoss=2.8890, Test Accuracy=0.2458
Epoch 56: TrainLoss=2.8000, TrainAcc=0.2683, TestLoss=2.9046, Test Accuracy=0.1802
Epoch 57: TrainLoss=2.8067, TrainAcc=0.2442, TestLoss=2.9576, Test Accuracy=0.2107
Epoch 58: TrainLoss=2.8217, TrainAcc=0.2292, TestLoss=2.8704, Test Accuracy=0.2419
Epoch 59: TrainLoss=2.7996, TrainAcc=0.2533, TestLoss=2.9826, Test Accuracy=0.1490
Epoch 60: TrainLoss=2.8463, TrainAcc=0.2417, TestLoss=2.8837, Test Accuracy=0.2140
Epoch 61: TrainLoss=2.8301, TrainAcc=0.2375, TestLoss=3.0554, Test Accuracy=0.1554
