==== Model Run Details ====
Dataset: adiac
Model type: rnn
Activation: relu
Block init fn: sparse
Train batch size: 16
Test batch size: 128
Epochs: 250
Decay epochs: [80, 160]
Decay scalar: 0.1
Hidden size: 128
Bidirectional: True
Number of layers: 3
L2 regularization: 0.0001
Learning rate: 0.01
Trials: 3
==========================


--- Trial 1/3 ---
Epoch 1: TrainLoss=3.6252, TrainAcc=0.0200, TestLoss=3.6081, Test Accuracy=0.0137
Epoch 2: TrainLoss=3.6070, TrainAcc=0.0225, TestLoss=3.6118, Test Accuracy=0.0137
Epoch 3: TrainLoss=3.6042, TrainAcc=0.0200, TestLoss=3.6163, Test Accuracy=0.0234
Epoch 4: TrainLoss=3.6006, TrainAcc=0.0275, TestLoss=3.6170, Test Accuracy=0.0273
Epoch 5: TrainLoss=3.6056, TrainAcc=0.0225, TestLoss=3.6251, Test Accuracy=0.0273
Epoch 6: TrainLoss=3.6002, TrainAcc=0.0367, TestLoss=3.6213, Test Accuracy=0.0273
Epoch 7: TrainLoss=3.5959, TrainAcc=0.0300, TestLoss=3.6226, Test Accuracy=0.0273
Epoch 8: TrainLoss=3.5900, TrainAcc=0.0300, TestLoss=3.6252, Test Accuracy=0.0273
Epoch 9: TrainLoss=3.5902, TrainAcc=0.0300, TestLoss=3.6169, Test Accuracy=0.0430
Epoch 10: TrainLoss=3.5733, TrainAcc=0.0450, TestLoss=3.5875, Test Accuracy=0.0664
Epoch 11: TrainLoss=3.5430, TrainAcc=0.0450, TestLoss=3.5699, Test Accuracy=0.0508
Epoch 12: TrainLoss=3.4980, TrainAcc=0.0600, TestLoss=3.5610, Test Accuracy=0.0748
Epoch 13: TrainLoss=3.4473, TrainAcc=0.0775, TestLoss=3.5770, Test Accuracy=0.0527
Epoch 14: TrainLoss=3.4547, TrainAcc=0.0825, TestLoss=3.4883, Test Accuracy=0.0488
Epoch 15: TrainLoss=3.4155, TrainAcc=0.1000, TestLoss=3.4896, Test Accuracy=0.1119
Epoch 16: TrainLoss=3.4390, TrainAcc=0.0775, TestLoss=3.4388, Test Accuracy=0.1021
Epoch 17: TrainLoss=3.3030, TrainAcc=0.1167, TestLoss=3.2806, Test Accuracy=0.1021
