==== Model Run Details ====
Dataset: adiac
Model type: scn
Block sizes: [32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32]
Block config: 1
Activation: relu
Coupling topology: 20
Block init fn: sparse
Coupling block init fn: uniform
Train batch size: 16
Test batch size: 128
Epochs: 250
Decay epochs: [80, 160]
Decay scalar: 0.1
Gating: False
Gate bounds: [1e-05, 0.2]
Euler step: 0.1
Learning rate: 0.01
Trials: 3
==========================


--- Trial 1/3 ---
Epoch 1: TrainLoss=4.0793, TrainAcc=0.0142, TestLoss=3.6341, Test Accuracy=0.0195
Epoch 2: TrainLoss=3.6351, TrainAcc=0.0300, TestLoss=3.7003, Test Accuracy=0.0293
Epoch 3: TrainLoss=3.6355, TrainAcc=0.0400, TestLoss=3.6303, Test Accuracy=0.0273
Epoch 4: TrainLoss=3.6022, TrainAcc=0.0275, TestLoss=3.6831, Test Accuracy=0.0176
Epoch 5: TrainLoss=3.5898, TrainAcc=0.0375, TestLoss=3.6412, Test Accuracy=0.0117
Epoch 6: TrainLoss=3.5826, TrainAcc=0.0350, TestLoss=3.6417, Test Accuracy=0.0924
Epoch 7: TrainLoss=3.5767, TrainAcc=0.0575, TestLoss=3.6283, Test Accuracy=0.0254
Epoch 8: TrainLoss=3.5604, TrainAcc=0.0300, TestLoss=3.5983, Test Accuracy=0.0982
Epoch 9: TrainLoss=3.5610, TrainAcc=0.0425, TestLoss=3.6287, Test Accuracy=0.0352
Epoch 10: TrainLoss=3.5516, TrainAcc=0.0400, TestLoss=3.5974, Test Accuracy=0.0787
Epoch 11: TrainLoss=3.5274, TrainAcc=0.0525, TestLoss=3.5684, Test Accuracy=0.0806
Epoch 12: TrainLoss=3.5180, TrainAcc=0.0425, TestLoss=3.5122, Test Accuracy=0.0410
Epoch 13: TrainLoss=3.4722, TrainAcc=0.0650, TestLoss=3.5048, Test Accuracy=0.0865
Epoch 14: TrainLoss=3.4458, TrainAcc=0.0825, TestLoss=3.4258, Test Accuracy=0.1197
Epoch 15: TrainLoss=3.4365, TrainAcc=0.1025, TestLoss=3.4041, Test Accuracy=0.1613
Epoch 16: TrainLoss=3.3647, TrainAcc=0.1083, TestLoss=3.3204, Test Accuracy=0.1652
Epoch 17: TrainLoss=3.3622, TrainAcc=0.1125, TestLoss=3.3560, Test Accuracy=0.1002
Epoch 18: TrainLoss=3.2817, TrainAcc=0.1133, TestLoss=3.3372, Test Accuracy=0.1099
Epoch 19: TrainLoss=3.2531, TrainAcc=0.1342, TestLoss=3.2498, Test Accuracy=0.1177
Epoch 20: TrainLoss=3.2102, TrainAcc=0.1250, TestLoss=3.1509, Test Accuracy=0.1666
Epoch 21: TrainLoss=3.1997, TrainAcc=0.1525, TestLoss=3.0895, Test Accuracy=0.2400
Epoch 22: TrainLoss=3.1658, TrainAcc=0.1642, TestLoss=3.1265, Test Accuracy=0.2062
Epoch 23: TrainLoss=3.1665, TrainAcc=0.1583, TestLoss=3.0887, Test Accuracy=0.2321
Epoch 24: TrainLoss=3.1156, TrainAcc=0.1542, TestLoss=3.0425, Test Accuracy=0.2243
Epoch 25: TrainLoss=3.0595, TrainAcc=0.1758, TestLoss=2.9420, Test Accuracy=0.2614
Epoch 26: TrainLoss=2.9980, TrainAcc=0.1667, TestLoss=2.9277, Test Accuracy=0.1959
Epoch 27: TrainLoss=3.0838, TrainAcc=0.1550, TestLoss=3.0146, Test Accuracy=0.1984
Epoch 28: TrainLoss=2.9806, TrainAcc=0.1775, TestLoss=3.0099, Test Accuracy=0.1769
Epoch 29: TrainLoss=3.0230, TrainAcc=0.1625, TestLoss=3.0046, Test Accuracy=0.2165
Epoch 30: TrainLoss=2.9456, TrainAcc=0.1825, TestLoss=2.9529, Test Accuracy=0.2042
Epoch 31: TrainLoss=2.8838, TrainAcc=0.2258, TestLoss=2.8072, Test Accuracy=0.2614
Epoch 32: TrainLoss=2.7983, TrainAcc=0.2142, TestLoss=2.8209, Test Accuracy=0.2121
Epoch 33: TrainLoss=2.8169, TrainAcc=0.2500, TestLoss=2.6939, Test Accuracy=0.3005
Epoch 34: TrainLoss=2.9320, TrainAcc=0.2142, TestLoss=2.7884, Test Accuracy=0.3309
Epoch 35: TrainLoss=2.8706, TrainAcc=0.2167, TestLoss=2.8210, Test Accuracy=0.2121
Epoch 36: TrainLoss=2.8474, TrainAcc=0.2100, TestLoss=2.8693, Test Accuracy=0.2003
Epoch 37: TrainLoss=2.8163, TrainAcc=0.2100, TestLoss=2.7157, Test Accuracy=0.2815
Epoch 38: TrainLoss=2.8179, TrainAcc=0.2483, TestLoss=2.8271, Test Accuracy=0.2321
Epoch 39: TrainLoss=2.7628, TrainAcc=0.2167, TestLoss=2.6180, Test Accuracy=0.2536
Epoch 40: TrainLoss=2.6690, TrainAcc=0.2608, TestLoss=2.6505, Test Accuracy=0.2517
Epoch 41: TrainLoss=2.6534, TrainAcc=0.2625, TestLoss=2.6226, Test Accuracy=0.2517
Epoch 42: TrainLoss=2.6287, TrainAcc=0.2400, TestLoss=2.6009, Test Accuracy=0.2531
Epoch 43: TrainLoss=2.5689, TrainAcc=0.2917, TestLoss=2.5089, Test Accuracy=0.3025
Epoch 44: TrainLoss=2.6222, TrainAcc=0.2767, TestLoss=2.7536, Test Accuracy=0.2439
Epoch 45: TrainLoss=2.5830, TrainAcc=0.2733, TestLoss=2.4405, Test Accuracy=0.3181
Epoch 46: TrainLoss=2.4973, TrainAcc=0.3092, TestLoss=2.5189, Test Accuracy=0.2907
Epoch 47: TrainLoss=2.4347, TrainAcc=0.3308, TestLoss=2.4028, Test Accuracy=0.2927
Epoch 48: TrainLoss=2.4357, TrainAcc=0.3108, TestLoss=2.4076, Test Accuracy=0.2863
Epoch 49: TrainLoss=2.3807, TrainAcc=0.3258, TestLoss=2.3194, Test Accuracy=0.3876
Epoch 50: TrainLoss=2.6669, TrainAcc=0.2375, TestLoss=2.4249, Test Accuracy=0.3108
Epoch 51: TrainLoss=2.5372, TrainAcc=0.2858, TestLoss=2.6520, Test Accuracy=0.2693
Epoch 52: TrainLoss=2.4998, TrainAcc=0.3042, TestLoss=2.7069, Test Accuracy=0.2414
Epoch 53: TrainLoss=2.3939, TrainAcc=0.3042, TestLoss=2.2880, Test Accuracy=0.3454
Epoch 54: TrainLoss=2.3982, TrainAcc=0.3233, TestLoss=2.2218, Test Accuracy=0.3890
Epoch 55: TrainLoss=2.2094, TrainAcc=0.3783, TestLoss=2.3438, Test Accuracy=0.3694
Epoch 56: TrainLoss=2.3610, TrainAcc=0.3517, TestLoss=2.6000, Test Accuracy=0.2673
Epoch 57: TrainLoss=2.5985, TrainAcc=0.2717, TestLoss=2.4312, Test Accuracy=0.3376
Epoch 58: TrainLoss=2.3094, TrainAcc=0.3167, TestLoss=2.2863, Test Accuracy=0.4032
Epoch 59: TrainLoss=2.1587, TrainAcc=0.3900, TestLoss=2.2090, Test Accuracy=0.4118
Epoch 60: TrainLoss=2.1280, TrainAcc=0.3825, TestLoss=2.0770, Test Accuracy=0.3903
Epoch 61: TrainLoss=2.0864, TrainAcc=0.4058, TestLoss=2.1302, Test Accuracy=0.3909
Epoch 62: TrainLoss=2.0062, TrainAcc=0.4300, TestLoss=2.0521, Test Accuracy=0.4774
Epoch 63: TrainLoss=2.0301, TrainAcc=0.4283, TestLoss=1.9598, Test Accuracy=0.4612
Epoch 64: TrainLoss=2.0099, TrainAcc=0.4058, TestLoss=1.8929, Test Accuracy=0.5248
Epoch 65: TrainLoss=1.9884, TrainAcc=0.4517, TestLoss=2.0276, Test Accuracy=0.4124
