==== Model Run Details ====
Dataset: forda
Model type: adadiag
Block sizes: [8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8]
Block config: 3
Activation: relu
Coupling topology: 20
Block init fn: diagonal
Coupling block init fn: uniform
Train batch size: 128
Test batch size: 128
Epochs: 250
Decay epochs: [80, 160]
Decay scalar: 0.1
Gating: True
Gate bounds: [1e-05, 0.2]
Euler step: 0.01
Learning rate: 0.001
Trials: 3
==========================


--- Trial 1/3 ---
Epoch 1: TrainLoss=0.6938, TrainAcc=0.4797, TestLoss=0.6934, Test Accuracy=0.4970
Epoch 2: TrainLoss=0.6933, TrainAcc=0.5091, TestLoss=0.6934, Test Accuracy=0.5028
Epoch 3: TrainLoss=0.6934, TrainAcc=0.5008, TestLoss=0.6933, Test Accuracy=0.5141
Epoch 4: TrainLoss=0.6935, TrainAcc=0.5022, TestLoss=0.6940, Test Accuracy=0.4805
Epoch 5: TrainLoss=0.6931, TrainAcc=0.5005, TestLoss=0.6934, Test Accuracy=0.4811
Epoch 6: TrainLoss=0.6928, TrainAcc=0.5121, TestLoss=0.6933, Test Accuracy=0.4977
Epoch 7: TrainLoss=0.6933, TrainAcc=0.5134, TestLoss=0.6933, Test Accuracy=0.5071
Epoch 8: TrainLoss=0.6928, TrainAcc=0.5169, TestLoss=0.6933, Test Accuracy=0.5074
Epoch 9: TrainLoss=0.6930, TrainAcc=0.5120, TestLoss=0.6937, Test Accuracy=0.4908
Epoch 10: TrainLoss=0.6930, TrainAcc=0.5092, TestLoss=0.6932, Test Accuracy=0.4926
Epoch 11: TrainLoss=0.6927, TrainAcc=0.5185, TestLoss=0.6931, Test Accuracy=0.5077
Epoch 12: TrainLoss=0.6922, TrainAcc=0.5188, TestLoss=0.6931, Test Accuracy=0.4950
Epoch 13: TrainLoss=0.6920, TrainAcc=0.5204, TestLoss=0.6925, Test Accuracy=0.5031
Epoch 14: TrainLoss=0.6907, TrainAcc=0.5429, TestLoss=0.6912, Test Accuracy=0.5291
Epoch 15: TrainLoss=0.6893, TrainAcc=0.5569, TestLoss=0.6897, Test Accuracy=0.4974
Epoch 16: TrainLoss=0.6873, TrainAcc=0.5565, TestLoss=0.6864, Test Accuracy=0.5831
Epoch 17: TrainLoss=0.6810, TrainAcc=0.5647, TestLoss=0.6802, Test Accuracy=0.5183
Epoch 18: TrainLoss=0.6684, TrainAcc=0.5518, TestLoss=0.6674, Test Accuracy=0.5557
Epoch 19: TrainLoss=0.6528, TrainAcc=0.6003, TestLoss=0.6466, Test Accuracy=0.5852
Epoch 20: TrainLoss=0.6277, TrainAcc=0.6150, TestLoss=0.6276, Test Accuracy=0.6433
Epoch 21: TrainLoss=0.5987, TrainAcc=0.6620, TestLoss=0.5961, Test Accuracy=0.6554
Epoch 22: TrainLoss=0.5659, TrainAcc=0.6995, TestLoss=0.5477, Test Accuracy=0.7348
Epoch 23: TrainLoss=0.5095, TrainAcc=0.7422, TestLoss=0.4823, Test Accuracy=0.7841
Epoch 24: TrainLoss=0.4592, TrainAcc=0.8043, TestLoss=0.4469, Test Accuracy=0.7906
Epoch 25: TrainLoss=0.4294, TrainAcc=0.8161, TestLoss=0.4167, Test Accuracy=0.8330
Epoch 26: TrainLoss=0.4048, TrainAcc=0.8280, TestLoss=0.3958, Test Accuracy=0.8408
Epoch 27: TrainLoss=0.3799, TrainAcc=0.8490, TestLoss=0.3785, Test Accuracy=0.8467
Epoch 28: TrainLoss=0.3703, TrainAcc=0.8490, TestLoss=0.3614, Test Accuracy=0.8560
Epoch 29: TrainLoss=0.3543, TrainAcc=0.8580, TestLoss=0.3590, Test Accuracy=0.8598
Epoch 30: TrainLoss=0.3417, TrainAcc=0.8627, TestLoss=0.3478, Test Accuracy=0.8558
Epoch 31: TrainLoss=0.3395, TrainAcc=0.8602, TestLoss=0.3347, Test Accuracy=0.8659
Epoch 32: TrainLoss=0.3403, TrainAcc=0.8587, TestLoss=0.3242, Test Accuracy=0.8696
Epoch 33: TrainLoss=0.3191, TrainAcc=0.8716, TestLoss=0.3225, Test Accuracy=0.8690
