==== Model Run Details ====
Dataset: forda
Model type: lstm
Activation: relu
Block init fn: sparse
Train batch size: 128
Test batch size: 128
Epochs: 250
Decay epochs: [80, 160]
Decay scalar: 0.1
Hidden size: 64
Bidirectional: True
Number of layers: 3
L2 regularization: 0.0
Learning rate: 0.01
Trials: 3
==========================


--- Trial 1/3 ---
Epoch 1: TrainLoss=0.6942, TrainAcc=0.5081, TestLoss=0.6941, Test Accuracy=0.5102
Epoch 2: TrainLoss=0.6937, TrainAcc=0.5061, TestLoss=0.6931, Test Accuracy=0.5102
Epoch 3: TrainLoss=0.6936, TrainAcc=0.4960, TestLoss=0.6930, Test Accuracy=0.5102
Epoch 4: TrainLoss=0.6929, TrainAcc=0.5074, TestLoss=0.6934, Test Accuracy=0.5102
Epoch 5: TrainLoss=0.6934, TrainAcc=0.5050, TestLoss=0.6931, Test Accuracy=0.5129
Epoch 6: TrainLoss=0.6941, TrainAcc=0.5095, TestLoss=0.6936, Test Accuracy=0.5102
Epoch 7: TrainLoss=0.6933, TrainAcc=0.4991, TestLoss=0.6930, Test Accuracy=0.5102
Epoch 8: TrainLoss=0.6931, TrainAcc=0.5079, TestLoss=0.6930, Test Accuracy=0.5102
Epoch 9: TrainLoss=0.6929, TrainAcc=0.5001, TestLoss=0.6930, Test Accuracy=0.5102
Epoch 10: TrainLoss=0.6930, TrainAcc=0.5131, TestLoss=0.6931, Test Accuracy=0.5095
Epoch 11: TrainLoss=0.6930, TrainAcc=0.5111, TestLoss=0.6930, Test Accuracy=0.5095
Epoch 12: TrainLoss=0.6930, TrainAcc=0.5121, TestLoss=0.6930, Test Accuracy=0.5102
Epoch 13: TrainLoss=0.6925, TrainAcc=0.5152, TestLoss=0.6930, Test Accuracy=0.5105
Epoch 14: TrainLoss=0.6930, TrainAcc=0.5158, TestLoss=0.6930, Test Accuracy=0.5102
Epoch 15: TrainLoss=0.6934, TrainAcc=0.5058, TestLoss=0.6931, Test Accuracy=0.5102
Epoch 16: TrainLoss=0.6932, TrainAcc=0.5095, TestLoss=0.6931, Test Accuracy=0.5178
Epoch 17: TrainLoss=0.6935, TrainAcc=0.5111, TestLoss=0.6935, Test Accuracy=0.5102
Epoch 18: TrainLoss=0.6930, TrainAcc=0.5149, TestLoss=0.6930, Test Accuracy=0.5102
Epoch 19: TrainLoss=0.6929, TrainAcc=0.5114, TestLoss=0.6930, Test Accuracy=0.5102
Epoch 20: TrainLoss=0.6928, TrainAcc=0.5131, TestLoss=0.6930, Test Accuracy=0.5102
Epoch 21: TrainLoss=0.6931, TrainAcc=0.5079, TestLoss=0.6930, Test Accuracy=0.5102
Epoch 22: TrainLoss=0.6927, TrainAcc=0.5149, TestLoss=0.6930, Test Accuracy=0.5102
Epoch 23: TrainLoss=0.6929, TrainAcc=0.5114, TestLoss=0.6930, Test Accuracy=0.5102
Epoch 24: TrainLoss=0.6927, TrainAcc=0.5149, TestLoss=0.6930, Test Accuracy=0.5102
Epoch 25: TrainLoss=0.6927, TrainAcc=0.5149, TestLoss=0.6930, Test Accuracy=0.5102
Epoch 26: TrainLoss=0.6926, TrainAcc=0.5184, TestLoss=0.6930, Test Accuracy=0.5102
Epoch 27: TrainLoss=0.6930, TrainAcc=0.5096, TestLoss=0.6930, Test Accuracy=0.5102
Epoch 28: TrainLoss=0.6931, TrainAcc=0.5079, TestLoss=0.6930, Test Accuracy=0.5102
Epoch 29: TrainLoss=0.6929, TrainAcc=0.5114, TestLoss=0.6930, Test Accuracy=0.5102
Epoch 30: TrainLoss=0.6926, TrainAcc=0.5167, TestLoss=0.6930, Test Accuracy=0.5102
Epoch 31: TrainLoss=0.6926, TrainAcc=0.5167, TestLoss=0.6929, Test Accuracy=0.5102
Epoch 32: TrainLoss=0.6930, TrainAcc=0.5096, TestLoss=0.6928, Test Accuracy=0.5102
Epoch 33: TrainLoss=0.6930, TrainAcc=0.5114, TestLoss=0.6929, Test Accuracy=0.5102
Epoch 34: TrainLoss=0.6930, TrainAcc=0.5096, TestLoss=0.6928, Test Accuracy=0.5102
Epoch 35: TrainLoss=0.6930, TrainAcc=0.5079, TestLoss=0.6929, Test Accuracy=0.5102
Epoch 36: TrainLoss=0.6925, TrainAcc=0.5167, TestLoss=0.6928, Test Accuracy=0.5102
Epoch 37: TrainLoss=0.6927, TrainAcc=0.5116, TestLoss=0.6928, Test Accuracy=0.5151
Epoch 38: TrainLoss=0.6934, TrainAcc=0.5164, TestLoss=0.6930, Test Accuracy=0.5081
Epoch 39: TrainLoss=0.6928, TrainAcc=0.5129, TestLoss=0.6930, Test Accuracy=0.5102
Epoch 40: TrainLoss=0.6930, TrainAcc=0.5096, TestLoss=0.6930, Test Accuracy=0.5102
Epoch 41: TrainLoss=0.6929, TrainAcc=0.5096, TestLoss=0.6930, Test Accuracy=0.5102
Epoch 42: TrainLoss=0.6930, TrainAcc=0.5079, TestLoss=0.6930, Test Accuracy=0.5102
Epoch 43: TrainLoss=0.6928, TrainAcc=0.5114, TestLoss=0.6930, Test Accuracy=0.5048
Epoch 44: TrainLoss=0.6927, TrainAcc=0.5126, TestLoss=0.6930, Test Accuracy=0.5102
Epoch 45: TrainLoss=0.6927, TrainAcc=0.5152, TestLoss=0.6927, Test Accuracy=0.5195
Epoch 46: TrainLoss=0.6931, TrainAcc=0.4936, TestLoss=0.6931, Test Accuracy=0.5102
Epoch 47: TrainLoss=0.6931, TrainAcc=0.5149, TestLoss=0.6931, Test Accuracy=0.5102
Epoch 48: TrainLoss=0.6931, TrainAcc=0.5114, TestLoss=0.6930, Test Accuracy=0.5102
Epoch 49: TrainLoss=0.6931, TrainAcc=0.5096, TestLoss=0.6930, Test Accuracy=0.5102
Epoch 50: TrainLoss=0.6932, TrainAcc=0.5079, TestLoss=0.6929, Test Accuracy=0.5102
Epoch 51: TrainLoss=0.6932, TrainAcc=0.5079, TestLoss=0.6929, Test Accuracy=0.5102
Epoch 52: TrainLoss=0.6927, TrainAcc=0.5167, TestLoss=0.6929, Test Accuracy=0.5102
Epoch 53: TrainLoss=0.6931, TrainAcc=0.5079, TestLoss=0.6929, Test Accuracy=0.5102
Epoch 54: TrainLoss=0.6930, TrainAcc=0.5096, TestLoss=0.6929, Test Accuracy=0.5102
Epoch 55: TrainLoss=0.6926, TrainAcc=0.5167, TestLoss=0.6929, Test Accuracy=0.5102
Epoch 56: TrainLoss=0.6931, TrainAcc=0.5079, TestLoss=0.6929, Test Accuracy=0.5102
Epoch 57: TrainLoss=0.6932, TrainAcc=0.5043, TestLoss=0.6929, Test Accuracy=0.5102
Epoch 58: TrainLoss=0.6926, TrainAcc=0.5184, TestLoss=0.6929, Test Accuracy=0.5102
Epoch 59: TrainLoss=0.6928, TrainAcc=0.5131, TestLoss=0.6929, Test Accuracy=0.5102
Epoch 60: TrainLoss=0.6929, TrainAcc=0.5114, TestLoss=0.6929, Test Accuracy=0.5102
Epoch 61: TrainLoss=0.6926, TrainAcc=0.5167, TestLoss=0.6929, Test Accuracy=0.5102
Epoch 62: TrainLoss=0.6930, TrainAcc=0.5096, TestLoss=0.6929, Test Accuracy=0.5102
Epoch 63: TrainLoss=0.6926, TrainAcc=0.5167, TestLoss=0.6929, Test Accuracy=0.5102
Epoch 64: TrainLoss=0.6926, TrainAcc=0.5167, TestLoss=0.6929, Test Accuracy=0.5102
Epoch 65: TrainLoss=0.6931, TrainAcc=0.5061, TestLoss=0.6929, Test Accuracy=0.5102
Epoch 66: TrainLoss=0.6928, TrainAcc=0.5131, TestLoss=0.6929, Test Accuracy=0.5102
Epoch 67: TrainLoss=0.6929, TrainAcc=0.5114, TestLoss=0.6929, Test Accuracy=0.5102
Epoch 68: TrainLoss=0.6930, TrainAcc=0.5096, TestLoss=0.6929, Test Accuracy=0.5102
Epoch 69: TrainLoss=0.6927, TrainAcc=0.5149, TestLoss=0.6929, Test Accuracy=0.5102
Epoch 70: TrainLoss=0.6926, TrainAcc=0.5167, TestLoss=0.6929, Test Accuracy=0.5102
Epoch 71: TrainLoss=0.6926, TrainAcc=0.5167, TestLoss=0.6929, Test Accuracy=0.5102
Epoch 72: TrainLoss=0.6929, TrainAcc=0.5114, TestLoss=0.6929, Test Accuracy=0.5102
Epoch 73: TrainLoss=0.6931, TrainAcc=0.5061, TestLoss=0.6929, Test Accuracy=0.5102
Epoch 74: TrainLoss=0.6928, TrainAcc=0.5131, TestLoss=0.6929, Test Accuracy=0.5102
Epoch 75: TrainLoss=0.6929, TrainAcc=0.5114, TestLoss=0.6929, Test Accuracy=0.5102
Epoch 76: TrainLoss=0.6930, TrainAcc=0.5096, TestLoss=0.6929, Test Accuracy=0.5102
Epoch 77: TrainLoss=0.6931, TrainAcc=0.5079, TestLoss=0.6929, Test Accuracy=0.5102
Epoch 78: TrainLoss=0.6929, TrainAcc=0.5114, TestLoss=0.6929, Test Accuracy=0.5102
