==== Model Run Details ====
Dataset: forda
Model type: rnn
Activation: relu
Block init fn: sparse
Train batch size: 128
Test batch size: 128
Epochs: 250
Decay epochs: [80, 160]
Decay scalar: 0.1
Hidden size: 128
Bidirectional: True
Number of layers: 2
L2 regularization: 0.0
Learning rate: 0.01
Trials: 3
==========================


--- Trial 1/3 ---
Epoch 1: TrainLoss=0.6982, TrainAcc=0.5110, TestLoss=0.6931, Test Accuracy=0.5102
Epoch 2: TrainLoss=0.6933, TrainAcc=0.4999, TestLoss=0.6932, Test Accuracy=0.5020
Epoch 3: TrainLoss=0.6936, TrainAcc=0.5106, TestLoss=0.6931, Test Accuracy=0.5102
Epoch 4: TrainLoss=0.6932, TrainAcc=0.5162, TestLoss=0.6939, Test Accuracy=0.5102
Epoch 5: TrainLoss=0.6931, TrainAcc=0.5110, TestLoss=0.6933, Test Accuracy=0.5088
Epoch 6: TrainLoss=0.6931, TrainAcc=0.5096, TestLoss=0.6930, Test Accuracy=0.5074
Epoch 7: TrainLoss=0.6933, TrainAcc=0.4974, TestLoss=0.6931, Test Accuracy=0.5102
Epoch 8: TrainLoss=0.6933, TrainAcc=0.5079, TestLoss=0.6930, Test Accuracy=0.5102
Epoch 9: TrainLoss=0.6933, TrainAcc=0.5022, TestLoss=0.6930, Test Accuracy=0.5102
Epoch 10: TrainLoss=0.6928, TrainAcc=0.5131, TestLoss=0.6931, Test Accuracy=0.5095
Epoch 11: TrainLoss=0.6928, TrainAcc=0.5131, TestLoss=0.6931, Test Accuracy=0.5102
Epoch 12: TrainLoss=0.6929, TrainAcc=0.5108, TestLoss=0.6932, Test Accuracy=0.4994
Epoch 13: TrainLoss=0.6932, TrainAcc=0.5116, TestLoss=0.6931, Test Accuracy=0.5102
Epoch 14: TrainLoss=0.6925, TrainAcc=0.5219, TestLoss=0.6934, Test Accuracy=0.5030
Epoch 15: TrainLoss=0.6928, TrainAcc=0.5130, TestLoss=0.6934, Test Accuracy=0.5102
Epoch 16: TrainLoss=nan, TrainAcc=0.5161, TestLoss=nan, Test Accuracy=0.5102
Epoch 17: TrainLoss=nan, TrainAcc=0.5096, TestLoss=nan, Test Accuracy=0.5102
Epoch 18: TrainLoss=nan, TrainAcc=0.5114, TestLoss=nan, Test Accuracy=0.5102
Epoch 19: TrainLoss=nan, TrainAcc=0.5131, TestLoss=nan, Test Accuracy=0.5102
Epoch 20: TrainLoss=nan, TrainAcc=0.5096, TestLoss=nan, Test Accuracy=0.5102
Epoch 21: TrainLoss=nan, TrainAcc=0.5114, TestLoss=nan, Test Accuracy=0.5102
Epoch 22: TrainLoss=nan, TrainAcc=0.5096, TestLoss=nan, Test Accuracy=0.5102
Epoch 23: TrainLoss=nan, TrainAcc=0.5114, TestLoss=nan, Test Accuracy=0.5102
Epoch 24: TrainLoss=nan, TrainAcc=0.5079, TestLoss=nan, Test Accuracy=0.5102
Epoch 25: TrainLoss=nan, TrainAcc=0.5079, TestLoss=nan, Test Accuracy=0.5102
Epoch 26: TrainLoss=nan, TrainAcc=0.5079, TestLoss=nan, Test Accuracy=0.5102
Epoch 27: TrainLoss=nan, TrainAcc=0.5167, TestLoss=nan, Test Accuracy=0.5102
Epoch 28: TrainLoss=nan, TrainAcc=0.5184, TestLoss=nan, Test Accuracy=0.5102
Epoch 29: TrainLoss=nan, TrainAcc=0.5184, TestLoss=nan, Test Accuracy=0.5102
Epoch 30: TrainLoss=nan, TrainAcc=0.5219, TestLoss=nan, Test Accuracy=0.5102
Epoch 31: TrainLoss=nan, TrainAcc=0.5131, TestLoss=nan, Test Accuracy=0.5102
Epoch 32: TrainLoss=nan, TrainAcc=0.5149, TestLoss=nan, Test Accuracy=0.5102
Epoch 33: TrainLoss=nan, TrainAcc=0.5096, TestLoss=nan, Test Accuracy=0.5102
Epoch 34: TrainLoss=nan, TrainAcc=0.5096, TestLoss=nan, Test Accuracy=0.5102
Epoch 35: TrainLoss=nan, TrainAcc=0.5096, TestLoss=nan, Test Accuracy=0.5102
Epoch 36: TrainLoss=nan, TrainAcc=0.5131, TestLoss=nan, Test Accuracy=0.5102
Epoch 37: TrainLoss=nan, TrainAcc=0.5114, TestLoss=nan, Test Accuracy=0.5102
Epoch 38: TrainLoss=nan, TrainAcc=0.5096, TestLoss=nan, Test Accuracy=0.5102
Epoch 39: TrainLoss=nan, TrainAcc=0.5079, TestLoss=nan, Test Accuracy=0.5102
Epoch 40: TrainLoss=nan, TrainAcc=0.5167, TestLoss=nan, Test Accuracy=0.5102
Epoch 41: TrainLoss=nan, TrainAcc=0.5149, TestLoss=nan, Test Accuracy=0.5102
