==== Model Run Details ====
Dataset: forda
Model type: scn
Block sizes: [32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32]
Block config: 2
Activation: relu
Coupling topology: 500
Block init fn: sparse
Coupling block init fn: uniform
Train batch size: 128
Test batch size: 128
Epochs: 250
Decay epochs: [80, 160]
Decay scalar: 0.1
Gating: False
Gate bounds: [1e-05, 0.2]
Euler step: 0.1
Learning rate: 0.001
Trials: 3
==========================


--- Trial 1/3 ---
Epoch 1: TrainLoss=0.6952, TrainAcc=0.5079, TestLoss=0.6955, Test Accuracy=0.4658
Epoch 2: TrainLoss=0.6932, TrainAcc=0.5151, TestLoss=0.6963, Test Accuracy=0.4915
Epoch 3: TrainLoss=0.6922, TrainAcc=0.5188, TestLoss=0.6967, Test Accuracy=0.4794
Epoch 4: TrainLoss=0.6914, TrainAcc=0.5199, TestLoss=0.6978, Test Accuracy=0.4727
Epoch 5: TrainLoss=0.6907, TrainAcc=0.5277, TestLoss=0.6966, Test Accuracy=0.4794
Epoch 6: TrainLoss=0.6911, TrainAcc=0.5242, TestLoss=0.6982, Test Accuracy=0.4723
Epoch 7: TrainLoss=0.6906, TrainAcc=0.5238, TestLoss=0.6966, Test Accuracy=0.4764
Epoch 8: TrainLoss=0.6907, TrainAcc=0.5250, TestLoss=0.6954, Test Accuracy=0.4702
Epoch 9: TrainLoss=0.6900, TrainAcc=0.5235, TestLoss=0.6963, Test Accuracy=0.4692
Epoch 10: TrainLoss=0.6894, TrainAcc=0.5195, TestLoss=0.6932, Test Accuracy=0.4866
Epoch 11: TrainLoss=0.6885, TrainAcc=0.5203, TestLoss=0.6948, Test Accuracy=0.4847
Epoch 12: TrainLoss=0.7021, TrainAcc=0.5208, TestLoss=0.6935, Test Accuracy=0.4960
Epoch 13: TrainLoss=0.6866, TrainAcc=0.5319, TestLoss=0.6925, Test Accuracy=0.4875
Epoch 14: TrainLoss=0.6871, TrainAcc=0.5173, TestLoss=0.6906, Test Accuracy=0.4966
Epoch 15: TrainLoss=0.6874, TrainAcc=0.5199, TestLoss=0.6911, Test Accuracy=0.4911
Epoch 16: TrainLoss=0.6856, TrainAcc=0.5147, TestLoss=0.6902, Test Accuracy=0.5011
Epoch 17: TrainLoss=0.6837, TrainAcc=0.5206, TestLoss=0.6876, Test Accuracy=0.5287
Epoch 18: TrainLoss=0.6847, TrainAcc=0.5293, TestLoss=0.6875, Test Accuracy=0.5162
Epoch 19: TrainLoss=0.6827, TrainAcc=0.5245, TestLoss=0.6863, Test Accuracy=0.5148
Epoch 20: TrainLoss=0.6824, TrainAcc=0.5391, TestLoss=0.6871, Test Accuracy=0.5206
Epoch 21: TrainLoss=0.6795, TrainAcc=0.5512, TestLoss=0.6856, Test Accuracy=0.5287
Epoch 22: TrainLoss=0.6801, TrainAcc=0.5561, TestLoss=0.6835, Test Accuracy=0.5283
Epoch 23: TrainLoss=0.6793, TrainAcc=0.5443, TestLoss=0.6852, Test Accuracy=0.5344
Epoch 24: TrainLoss=0.6784, TrainAcc=0.5580, TestLoss=0.6784, Test Accuracy=0.5697
Epoch 25: TrainLoss=0.6760, TrainAcc=0.5650, TestLoss=0.6817, Test Accuracy=0.5382
Epoch 26: TrainLoss=0.6750, TrainAcc=0.5592, TestLoss=0.6808, Test Accuracy=0.5605
Epoch 27: TrainLoss=0.6739, TrainAcc=0.5715, TestLoss=0.6755, Test Accuracy=0.5676
Epoch 28: TrainLoss=0.6737, TrainAcc=0.5851, TestLoss=0.6753, Test Accuracy=0.5604
Epoch 29: TrainLoss=0.6824, TrainAcc=0.5692, TestLoss=0.6906, Test Accuracy=0.5361
Epoch 30: TrainLoss=0.6790, TrainAcc=0.5626, TestLoss=0.6764, Test Accuracy=0.5777
Epoch 31: TrainLoss=0.6744, TrainAcc=0.5808, TestLoss=0.6775, Test Accuracy=0.5830
Epoch 32: TrainLoss=0.6706, TrainAcc=0.5824, TestLoss=0.6717, Test Accuracy=0.5837
