==== Model Run Details ====
Dataset: fordb
Model type: adadiag
Block sizes: [32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32]
Block config: 3
Activation: relu
Coupling topology: 5
Block init fn: diagonal
Coupling block init fn: uniform
Train batch size: 128
Test batch size: 128
Epochs: 250
Decay epochs: [80, 160]
Decay scalar: 0.1
Gating: True
Gate bounds: [1e-05, 0.2]
Euler step: 0.01
Learning rate: 0.01
Trials: 3
==========================


--- Trial 1/3 ---
Epoch 1: TrainLoss=0.6955, TrainAcc=0.4964, TestLoss=0.6923, Test Accuracy=0.5001
Epoch 2: TrainLoss=0.6874, TrainAcc=0.5482, TestLoss=0.6870, Test Accuracy=0.5358
Epoch 3: TrainLoss=0.5597, TrainAcc=0.7166, TestLoss=0.5906, Test Accuracy=0.6813
Epoch 4: TrainLoss=0.3337, TrainAcc=0.8511, TestLoss=0.5227, Test Accuracy=0.7159
Epoch 5: TrainLoss=0.2406, TrainAcc=0.9014, TestLoss=0.6240, Test Accuracy=0.7281
Epoch 6: TrainLoss=0.2091, TrainAcc=0.9146, TestLoss=0.6100, Test Accuracy=0.7427
Epoch 7: TrainLoss=0.1975, TrainAcc=0.9207, TestLoss=0.5010, Test Accuracy=0.7896
Epoch 8: TrainLoss=0.1834, TrainAcc=0.9270, TestLoss=0.7138, Test Accuracy=0.7505
Epoch 9: TrainLoss=0.1914, TrainAcc=0.9264, TestLoss=0.5212, Test Accuracy=0.7693
Epoch 10: TrainLoss=0.1883, TrainAcc=0.9217, TestLoss=0.5688, Test Accuracy=0.7696
Epoch 11: TrainLoss=0.1685, TrainAcc=0.9354, TestLoss=0.4882, Test Accuracy=0.7997
Epoch 12: TrainLoss=0.1620, TrainAcc=0.9358, TestLoss=0.4497, Test Accuracy=0.8098
Epoch 13: TrainLoss=0.1507, TrainAcc=0.9373, TestLoss=0.5094, Test Accuracy=0.7830
Epoch 14: TrainLoss=0.1377, TrainAcc=0.9432, TestLoss=0.4907, Test Accuracy=0.8019
Epoch 15: TrainLoss=0.1573, TrainAcc=0.9383, TestLoss=0.4794, Test Accuracy=0.8009
Epoch 16: TrainLoss=0.1455, TrainAcc=0.9431, TestLoss=0.5016, Test Accuracy=0.8043
Epoch 17: TrainLoss=0.1375, TrainAcc=0.9471, TestLoss=0.5604, Test Accuracy=0.7794
Epoch 18: TrainLoss=0.1354, TrainAcc=0.9441, TestLoss=0.5099, Test Accuracy=0.7839
Epoch 19: TrainLoss=0.1234, TrainAcc=0.9549, TestLoss=0.6131, Test Accuracy=0.7683
Epoch 20: TrainLoss=0.1345, TrainAcc=0.9465, TestLoss=0.6212, Test Accuracy=0.7740
Epoch 21: TrainLoss=0.1268, TrainAcc=0.9525, TestLoss=0.5526, Test Accuracy=0.7918
Epoch 22: TrainLoss=0.1158, TrainAcc=0.9546, TestLoss=0.5935, Test Accuracy=0.7716
Epoch 23: TrainLoss=0.1291, TrainAcc=0.9482, TestLoss=0.6740, Test Accuracy=0.7437
Epoch 24: TrainLoss=0.1305, TrainAcc=0.9482, TestLoss=0.5263, Test Accuracy=0.8042
Epoch 25: TrainLoss=0.1064, TrainAcc=0.9600, TestLoss=0.6680, Test Accuracy=0.7615
Epoch 26: TrainLoss=0.1051, TrainAcc=0.9578, TestLoss=0.4940, Test Accuracy=0.8042
Epoch 27: TrainLoss=0.1004, TrainAcc=0.9628, TestLoss=0.5425, Test Accuracy=0.7908
Epoch 28: TrainLoss=0.1170, TrainAcc=0.9541, TestLoss=0.5441, Test Accuracy=0.8010
Epoch 29: TrainLoss=0.1113, TrainAcc=0.9566, TestLoss=0.5725, Test Accuracy=0.7852
Epoch 30: TrainLoss=0.0964, TrainAcc=0.9608, TestLoss=0.5631, Test Accuracy=0.8008
Epoch 31: TrainLoss=0.0924, TrainAcc=0.9638, TestLoss=0.5258, Test Accuracy=0.8054
Epoch 32: TrainLoss=0.0931, TrainAcc=0.9603, TestLoss=0.6251, Test Accuracy=0.7661
Epoch 33: TrainLoss=0.1148, TrainAcc=0.9558, TestLoss=0.6695, Test Accuracy=0.7739
Epoch 34: TrainLoss=0.0993, TrainAcc=0.9620, TestLoss=0.4893, Test Accuracy=0.8065
Epoch 35: TrainLoss=0.1045, TrainAcc=0.9606, TestLoss=0.6103, Test Accuracy=0.7975
Epoch 36: TrainLoss=0.0907, TrainAcc=0.9647, TestLoss=0.6165, Test Accuracy=0.8054
Epoch 37: TrainLoss=0.0775, TrainAcc=0.9708, TestLoss=0.6479, Test Accuracy=0.7818
Epoch 38: TrainLoss=0.0731, TrainAcc=0.9715, TestLoss=0.6074, Test Accuracy=0.7930
Epoch 39: TrainLoss=0.0773, TrainAcc=0.9720, TestLoss=0.6571, Test Accuracy=0.7795
Epoch 40: TrainLoss=0.0928, TrainAcc=0.9632, TestLoss=0.5862, Test Accuracy=0.8053
Epoch 41: TrainLoss=0.0830, TrainAcc=0.9692, TestLoss=0.6068, Test Accuracy=0.7896
Epoch 42: TrainLoss=0.0951, TrainAcc=0.9648, TestLoss=0.6341, Test Accuracy=0.7985
Epoch 43: TrainLoss=0.0693, TrainAcc=0.9759, TestLoss=0.5889, Test Accuracy=0.8043
Epoch 44: TrainLoss=0.2321, TrainAcc=0.9285, TestLoss=0.6052, Test Accuracy=0.8043
Epoch 45: TrainLoss=0.1104, TrainAcc=0.9565, TestLoss=0.5845, Test Accuracy=0.7976
Epoch 46: TrainLoss=0.0818, TrainAcc=0.9696, TestLoss=0.6681, Test Accuracy=0.7706
Epoch 47: TrainLoss=0.0783, TrainAcc=0.9690, TestLoss=0.6627, Test Accuracy=0.7986
Epoch 48: TrainLoss=0.0817, TrainAcc=0.9669, TestLoss=0.6078, Test Accuracy=0.7907
Epoch 49: TrainLoss=0.0636, TrainAcc=0.9735, TestLoss=0.6668, Test Accuracy=0.8033
Epoch 50: TrainLoss=0.0809, TrainAcc=0.9692, TestLoss=0.8224, Test Accuracy=0.7697
Epoch 51: TrainLoss=0.1067, TrainAcc=0.9584, TestLoss=0.6319, Test Accuracy=0.8009
Epoch 52: TrainLoss=0.0939, TrainAcc=0.9632, TestLoss=0.5678, Test Accuracy=0.8144
Epoch 53: TrainLoss=0.0628, TrainAcc=0.9771, TestLoss=0.6968, Test Accuracy=0.7794
Epoch 54: TrainLoss=0.0548, TrainAcc=0.9816, TestLoss=0.7181, Test Accuracy=0.7840
Epoch 55: TrainLoss=0.0570, TrainAcc=0.9777, TestLoss=0.6081, Test Accuracy=0.7997
