==== Model Run Details ====
Dataset: fordb
Model type: lstm
Activation: relu
Block init fn: sparse
Train batch size: 128
Test batch size: 128
Epochs: 250
Decay epochs: [80, 160]
Decay scalar: 0.1
Hidden size: 128
Bidirectional: True
Number of layers: 3
L2 regularization: 0.0
Learning rate: 0.01
Trials: 3
==========================


--- Trial 1/3 ---
Epoch 1: TrainLoss=0.7015, TrainAcc=0.5008, TestLoss=0.6931, Test Accuracy=0.4944
Epoch 2: TrainLoss=0.6934, TrainAcc=0.5074, TestLoss=0.6937, Test Accuracy=0.5001
Epoch 3: TrainLoss=0.6933, TrainAcc=0.5086, TestLoss=0.6931, Test Accuracy=0.5043
Epoch 4: TrainLoss=0.6932, TrainAcc=0.5120, TestLoss=0.6932, Test Accuracy=0.5012
Epoch 5: TrainLoss=0.6932, TrainAcc=0.5089, TestLoss=0.6932, Test Accuracy=0.4933
Epoch 6: TrainLoss=0.6930, TrainAcc=0.5185, TestLoss=0.6946, Test Accuracy=0.5001
Epoch 7: TrainLoss=0.6935, TrainAcc=0.5036, TestLoss=0.6936, Test Accuracy=0.4956
Epoch 8: TrainLoss=0.6930, TrainAcc=0.5084, TestLoss=0.6935, Test Accuracy=0.5001
Epoch 9: TrainLoss=0.6939, TrainAcc=0.5072, TestLoss=0.6935, Test Accuracy=0.5001
Epoch 10: TrainLoss=0.6932, TrainAcc=0.5062, TestLoss=0.6935, Test Accuracy=0.4992
Epoch 11: TrainLoss=0.6965, TrainAcc=0.5007, TestLoss=0.6933, Test Accuracy=0.5001
Epoch 12: TrainLoss=0.6935, TrainAcc=0.5117, TestLoss=0.6933, Test Accuracy=0.5001
Epoch 13: TrainLoss=0.6929, TrainAcc=0.5113, TestLoss=0.6933, Test Accuracy=0.5001
Epoch 14: TrainLoss=0.6928, TrainAcc=0.5129, TestLoss=0.6933, Test Accuracy=0.5001
Epoch 15: TrainLoss=0.6929, TrainAcc=0.5125, TestLoss=0.6933, Test Accuracy=0.5001
Epoch 16: TrainLoss=0.6929, TrainAcc=0.5105, TestLoss=0.6933, Test Accuracy=0.5001
Epoch 17: TrainLoss=0.6929, TrainAcc=0.5121, TestLoss=0.6933, Test Accuracy=0.5001
Epoch 18: TrainLoss=0.6928, TrainAcc=0.5129, TestLoss=0.6933, Test Accuracy=0.5001
Epoch 19: TrainLoss=0.6929, TrainAcc=0.5117, TestLoss=0.6933, Test Accuracy=0.5001
Epoch 20: TrainLoss=0.6928, TrainAcc=0.5141, TestLoss=0.6933, Test Accuracy=0.5001
Epoch 21: TrainLoss=0.6929, TrainAcc=0.5125, TestLoss=0.6933, Test Accuracy=0.5001
Epoch 22: TrainLoss=0.6928, TrainAcc=0.5145, TestLoss=0.6933, Test Accuracy=0.5001
Epoch 23: TrainLoss=0.6929, TrainAcc=0.5121, TestLoss=0.6933, Test Accuracy=0.5001
Epoch 24: TrainLoss=0.6929, TrainAcc=0.5117, TestLoss=0.6933, Test Accuracy=0.5001
Epoch 25: TrainLoss=0.6929, TrainAcc=0.5105, TestLoss=0.6933, Test Accuracy=0.5001
Epoch 26: TrainLoss=0.6928, TrainAcc=0.5129, TestLoss=0.6933, Test Accuracy=0.5001
Epoch 27: TrainLoss=0.6929, TrainAcc=0.5125, TestLoss=0.6933, Test Accuracy=0.5001
Epoch 28: TrainLoss=0.6929, TrainAcc=0.5113, TestLoss=0.6933, Test Accuracy=0.5001
Epoch 29: TrainLoss=0.6929, TrainAcc=0.5105, TestLoss=0.6933, Test Accuracy=0.5001
Epoch 30: TrainLoss=0.6929, TrainAcc=0.5125, TestLoss=0.6933, Test Accuracy=0.5001
Epoch 31: TrainLoss=0.6929, TrainAcc=0.5113, TestLoss=0.6933, Test Accuracy=0.5001
Epoch 32: TrainLoss=0.6930, TrainAcc=0.5086, TestLoss=0.6933, Test Accuracy=0.5001
Epoch 33: TrainLoss=0.6929, TrainAcc=0.5117, TestLoss=0.6933, Test Accuracy=0.5001
Epoch 34: TrainLoss=0.6928, TrainAcc=0.5141, TestLoss=0.6933, Test Accuracy=0.5001
Epoch 35: TrainLoss=0.6929, TrainAcc=0.5121, TestLoss=0.6933, Test Accuracy=0.5001
Epoch 36: TrainLoss=0.6928, TrainAcc=0.5133, TestLoss=0.6933, Test Accuracy=0.5001
Epoch 37: TrainLoss=0.6928, TrainAcc=0.5133, TestLoss=0.6933, Test Accuracy=0.5001
Epoch 38: TrainLoss=0.6929, TrainAcc=0.5105, TestLoss=0.6933, Test Accuracy=0.5001
Epoch 39: TrainLoss=0.6929, TrainAcc=0.5121, TestLoss=0.6933, Test Accuracy=0.5001
Epoch 40: TrainLoss=0.6929, TrainAcc=0.5105, TestLoss=0.6933, Test Accuracy=0.5001
Epoch 41: TrainLoss=0.6929, TrainAcc=0.5105, TestLoss=0.6933, Test Accuracy=0.5001
Epoch 42: TrainLoss=0.6929, TrainAcc=0.5109, TestLoss=0.6933, Test Accuracy=0.5001
Epoch 43: TrainLoss=0.6929, TrainAcc=0.5125, TestLoss=0.6933, Test Accuracy=0.5001
Epoch 44: TrainLoss=0.6929, TrainAcc=0.5109, TestLoss=0.6933, Test Accuracy=0.5001
Epoch 45: TrainLoss=0.6929, TrainAcc=0.5105, TestLoss=0.6933, Test Accuracy=0.5001
Epoch 46: TrainLoss=0.6929, TrainAcc=0.5117, TestLoss=0.6933, Test Accuracy=0.5001
Epoch 47: TrainLoss=0.6929, TrainAcc=0.5113, TestLoss=0.6933, Test Accuracy=0.5001
Epoch 48: TrainLoss=0.6928, TrainAcc=0.5133, TestLoss=0.6933, Test Accuracy=0.5001
Epoch 49: TrainLoss=0.6929, TrainAcc=0.5121, TestLoss=0.6933, Test Accuracy=0.5001
Epoch 50: TrainLoss=0.6928, TrainAcc=0.5129, TestLoss=0.6933, Test Accuracy=0.5001
Epoch 51: TrainLoss=0.6929, TrainAcc=0.5105, TestLoss=0.6933, Test Accuracy=0.5001
Epoch 52: TrainLoss=0.6929, TrainAcc=0.5109, TestLoss=0.6933, Test Accuracy=0.5001
Epoch 53: TrainLoss=0.6928, TrainAcc=0.5149, TestLoss=0.6933, Test Accuracy=0.5001
Epoch 54: TrainLoss=0.6929, TrainAcc=0.5121, TestLoss=0.6933, Test Accuracy=0.5001
Epoch 55: TrainLoss=0.6929, TrainAcc=0.5121, TestLoss=0.6933, Test Accuracy=0.5001
Epoch 56: TrainLoss=0.6929, TrainAcc=0.5105, TestLoss=0.6933, Test Accuracy=0.5001
Epoch 57: TrainLoss=0.6929, TrainAcc=0.5113, TestLoss=0.6933, Test Accuracy=0.5001
Epoch 58: TrainLoss=0.6929, TrainAcc=0.5109, TestLoss=0.6933, Test Accuracy=0.5001
Epoch 59: TrainLoss=0.6930, TrainAcc=0.5086, TestLoss=0.6933, Test Accuracy=0.5001
Epoch 60: TrainLoss=0.6930, TrainAcc=0.5093, TestLoss=0.6933, Test Accuracy=0.5001
Epoch 61: TrainLoss=0.6930, TrainAcc=0.5097, TestLoss=0.6933, Test Accuracy=0.5001
Epoch 62: TrainLoss=0.6930, TrainAcc=0.5078, TestLoss=0.6933, Test Accuracy=0.5001
Epoch 63: TrainLoss=0.6928, TrainAcc=0.5129, TestLoss=0.6933, Test Accuracy=0.5001
Epoch 64: TrainLoss=0.6930, TrainAcc=0.5093, TestLoss=0.6933, Test Accuracy=0.5001
Epoch 65: TrainLoss=0.6928, TrainAcc=0.5129, TestLoss=0.6933, Test Accuracy=0.5001
Epoch 66: TrainLoss=0.6929, TrainAcc=0.5125, TestLoss=0.6933, Test Accuracy=0.5001
Epoch 67: TrainLoss=0.6930, TrainAcc=0.5093, TestLoss=0.6933, Test Accuracy=0.5001
Epoch 68: TrainLoss=0.6929, TrainAcc=0.5113, TestLoss=0.6933, Test Accuracy=0.5001
Epoch 69: TrainLoss=0.6929, TrainAcc=0.5121, TestLoss=0.6933, Test Accuracy=0.5001
Epoch 70: TrainLoss=0.6929, TrainAcc=0.5101, TestLoss=0.6933, Test Accuracy=0.5001
Epoch 71: TrainLoss=0.6929, TrainAcc=0.5109, TestLoss=0.6933, Test Accuracy=0.5001
Epoch 72: TrainLoss=0.6929, TrainAcc=0.5101, TestLoss=0.6933, Test Accuracy=0.5001
Epoch 73: TrainLoss=0.6930, TrainAcc=0.5097, TestLoss=0.6933, Test Accuracy=0.5001
Epoch 74: TrainLoss=0.6929, TrainAcc=0.5113, TestLoss=0.6933, Test Accuracy=0.5001
Epoch 75: TrainLoss=0.6928, TrainAcc=0.5129, TestLoss=0.6933, Test Accuracy=0.5001
Epoch 76: TrainLoss=0.6929, TrainAcc=0.5113, TestLoss=0.6933, Test Accuracy=0.5001
Epoch 77: TrainLoss=0.6928, TrainAcc=0.5133, TestLoss=0.6933, Test Accuracy=0.5001
Epoch 78: TrainLoss=0.6930, TrainAcc=0.5097, TestLoss=0.6933, Test Accuracy=0.5001
Epoch 79: TrainLoss=0.6929, TrainAcc=0.5125, TestLoss=0.6933, Test Accuracy=0.5001
Epoch 80: TrainLoss=0.6929, TrainAcc=0.5101, TestLoss=0.6933, Test Accuracy=0.5001
Epoch 81: TrainLoss=0.6929, TrainAcc=0.5105, TestLoss=0.6933, Test Accuracy=0.5001
Epoch 82: TrainLoss=0.6929, TrainAcc=0.5113, TestLoss=0.6933, Test Accuracy=0.5001
Epoch 83: TrainLoss=0.6928, TrainAcc=0.5137, TestLoss=0.6933, Test Accuracy=0.5001
Epoch 84: TrainLoss=0.6929, TrainAcc=0.5121, TestLoss=0.6933, Test Accuracy=0.5001
Epoch 85: TrainLoss=0.6929, TrainAcc=0.5109, TestLoss=0.6933, Test Accuracy=0.5001
Epoch 86: TrainLoss=0.6928, TrainAcc=0.5141, TestLoss=0.6933, Test Accuracy=0.5001
Epoch 87: TrainLoss=0.6928, TrainAcc=0.5129, TestLoss=0.6933, Test Accuracy=0.5001
Epoch 88: TrainLoss=0.6929, TrainAcc=0.5121, TestLoss=0.6933, Test Accuracy=0.5001
Epoch 89: TrainLoss=0.6929, TrainAcc=0.5121, TestLoss=0.6933, Test Accuracy=0.5001
Epoch 90: TrainLoss=0.6929, TrainAcc=0.5105, TestLoss=0.6933, Test Accuracy=0.5001
Epoch 91: TrainLoss=0.6928, TrainAcc=0.5149, TestLoss=0.6933, Test Accuracy=0.5001
Epoch 92: TrainLoss=0.6929, TrainAcc=0.5117, TestLoss=0.6933, Test Accuracy=0.5001
Epoch 93: TrainLoss=0.6930, TrainAcc=0.5093, TestLoss=0.6933, Test Accuracy=0.5001
Epoch 94: TrainLoss=0.6929, TrainAcc=0.5109, TestLoss=0.6933, Test Accuracy=0.5001
Epoch 95: TrainLoss=0.6929, TrainAcc=0.5121, TestLoss=0.6933, Test Accuracy=0.5001
Epoch 96: TrainLoss=0.6929, TrainAcc=0.5125, TestLoss=0.6933, Test Accuracy=0.5001
Epoch 97: TrainLoss=0.6929, TrainAcc=0.5109, TestLoss=0.6933, Test Accuracy=0.5001
Epoch 98: TrainLoss=0.6928, TrainAcc=0.5129, TestLoss=0.6933, Test Accuracy=0.5001
Epoch 99: TrainLoss=0.6928, TrainAcc=0.5137, TestLoss=0.6933, Test Accuracy=0.5001
Epoch 100: TrainLoss=0.6928, TrainAcc=0.5137, TestLoss=0.6934, Test Accuracy=0.5001
Epoch 101: TrainLoss=0.6930, TrainAcc=0.5101, TestLoss=0.6934, Test Accuracy=0.5001
Epoch 102: TrainLoss=0.6928, TrainAcc=0.5137, TestLoss=0.6933, Test Accuracy=0.5001
Epoch 103: TrainLoss=0.6928, TrainAcc=0.5137, TestLoss=0.6933, Test Accuracy=0.5001
Epoch 104: TrainLoss=0.6928, TrainAcc=0.5121, TestLoss=0.6933, Test Accuracy=0.5001
Epoch 105: TrainLoss=0.6928, TrainAcc=0.5133, TestLoss=0.6934, Test Accuracy=0.5001
Epoch 106: TrainLoss=0.6928, TrainAcc=0.5129, TestLoss=0.6934, Test Accuracy=0.5001
Epoch 107: TrainLoss=0.6927, TrainAcc=0.5141, TestLoss=0.6934, Test Accuracy=0.5001
Epoch 108: TrainLoss=0.6929, TrainAcc=0.5109, TestLoss=0.6934, Test Accuracy=0.5001
Epoch 109: TrainLoss=0.6929, TrainAcc=0.5097, TestLoss=0.6934, Test Accuracy=0.5001
Epoch 110: TrainLoss=0.6928, TrainAcc=0.5113, TestLoss=0.6933, Test Accuracy=0.5001
Epoch 111: TrainLoss=0.6929, TrainAcc=0.5101, TestLoss=0.6934, Test Accuracy=0.5001
Epoch 112: TrainLoss=0.6928, TrainAcc=0.5109, TestLoss=0.6933, Test Accuracy=0.5001
Epoch 113: TrainLoss=0.6928, TrainAcc=0.5113, TestLoss=0.6934, Test Accuracy=0.5001
Epoch 114: TrainLoss=0.6927, TrainAcc=0.5117, TestLoss=0.6932, Test Accuracy=0.5001
Epoch 115: TrainLoss=0.6925, TrainAcc=0.5141, TestLoss=0.6933, Test Accuracy=0.5001
Epoch 116: TrainLoss=0.6927, TrainAcc=0.5093, TestLoss=0.6930, Test Accuracy=0.5001
Epoch 117: TrainLoss=0.6929, TrainAcc=0.5117, TestLoss=0.6933, Test Accuracy=0.5001
Epoch 118: TrainLoss=0.6928, TrainAcc=0.5113, TestLoss=0.6932, Test Accuracy=0.5001
Epoch 119: TrainLoss=0.6927, TrainAcc=0.5141, TestLoss=0.6931, Test Accuracy=0.5001
Epoch 120: TrainLoss=0.6928, TrainAcc=0.5113, TestLoss=0.6929, Test Accuracy=0.5001
Epoch 121: TrainLoss=0.6928, TrainAcc=0.5101, TestLoss=0.6932, Test Accuracy=0.5001
Epoch 122: TrainLoss=0.6928, TrainAcc=0.5105, TestLoss=0.6932, Test Accuracy=0.5001
