==== Model Run Details ====
Dataset: fordb
Model type: rnn
Activation: relu
Block init fn: sparse
Train batch size: 128
Test batch size: 128
Epochs: 250
Decay epochs: [80, 160]
Decay scalar: 0.1
Hidden size: 64
Bidirectional: False
Number of layers: 2
L2 regularization: 0.0001
Learning rate: 0.01
Trials: 3
==========================


--- Trial 1/3 ---
Epoch 1: TrainLoss=0.6939, TrainAcc=0.5063, TestLoss=0.6938, Test Accuracy=0.5001
Epoch 2: TrainLoss=0.6929, TrainAcc=0.5097, TestLoss=0.6931, Test Accuracy=0.4988
Epoch 3: TrainLoss=0.6929, TrainAcc=0.5142, TestLoss=0.6930, Test Accuracy=0.4944
Epoch 4: TrainLoss=0.6928, TrainAcc=0.5097, TestLoss=0.6929, Test Accuracy=0.5010
Epoch 5: TrainLoss=0.6934, TrainAcc=0.5119, TestLoss=0.6935, Test Accuracy=0.4945
Epoch 6: TrainLoss=0.6928, TrainAcc=0.5097, TestLoss=0.6929, Test Accuracy=0.4977
Epoch 7: TrainLoss=0.6929, TrainAcc=0.5070, TestLoss=0.6928, Test Accuracy=0.4965
Epoch 8: TrainLoss=0.6930, TrainAcc=0.5118, TestLoss=0.6933, Test Accuracy=0.5001
Epoch 9: TrainLoss=0.6925, TrainAcc=0.5109, TestLoss=0.6932, Test Accuracy=0.5001
Epoch 10: TrainLoss=0.6932, TrainAcc=0.5066, TestLoss=0.6937, Test Accuracy=0.5001
Epoch 11: TrainLoss=0.6929, TrainAcc=0.5117, TestLoss=0.6930, Test Accuracy=0.5001
Epoch 12: TrainLoss=0.6927, TrainAcc=0.5105, TestLoss=0.6927, Test Accuracy=0.5001
Epoch 13: TrainLoss=0.6922, TrainAcc=0.5113, TestLoss=0.6923, Test Accuracy=0.5001
Epoch 14: TrainLoss=0.6930, TrainAcc=0.5094, TestLoss=0.6925, Test Accuracy=0.5001
Epoch 15: TrainLoss=0.6927, TrainAcc=0.5109, TestLoss=0.6924, Test Accuracy=0.5001
Epoch 16: TrainLoss=0.6925, TrainAcc=0.5059, TestLoss=0.6924, Test Accuracy=0.5267
Epoch 17: TrainLoss=0.6925, TrainAcc=0.5073, TestLoss=0.6925, Test Accuracy=0.5001
Epoch 18: TrainLoss=0.6924, TrainAcc=0.5035, TestLoss=0.6922, Test Accuracy=0.5012
Epoch 19: TrainLoss=0.6922, TrainAcc=0.5038, TestLoss=0.6924, Test Accuracy=0.5001
Epoch 20: TrainLoss=0.6922, TrainAcc=0.5084, TestLoss=0.6925, Test Accuracy=0.4989
Epoch 21: TrainLoss=0.6920, TrainAcc=0.5140, TestLoss=0.6920, Test Accuracy=0.5098
Epoch 22: TrainLoss=0.6929, TrainAcc=0.5045, TestLoss=0.6923, Test Accuracy=0.5233
Epoch 23: TrainLoss=0.6925, TrainAcc=0.5180, TestLoss=0.6926, Test Accuracy=0.5001
Epoch 24: TrainLoss=0.6922, TrainAcc=0.5086, TestLoss=0.6921, Test Accuracy=0.5143
Epoch 25: TrainLoss=0.6920, TrainAcc=0.5101, TestLoss=0.6924, Test Accuracy=0.5233
Epoch 26: TrainLoss=0.6922, TrainAcc=0.5106, TestLoss=0.6921, Test Accuracy=0.5166
Epoch 27: TrainLoss=0.6926, TrainAcc=0.5066, TestLoss=0.6928, Test Accuracy=0.5001
Epoch 28: TrainLoss=0.6922, TrainAcc=0.5117, TestLoss=0.6926, Test Accuracy=0.5001
Epoch 29: TrainLoss=0.6920, TrainAcc=0.5113, TestLoss=0.6924, Test Accuracy=0.5001
Epoch 30: TrainLoss=0.6919, TrainAcc=0.5104, TestLoss=0.6922, Test Accuracy=0.5176
Epoch 31: TrainLoss=0.6921, TrainAcc=0.5222, TestLoss=0.6935, Test Accuracy=0.5001
Epoch 32: TrainLoss=0.6923, TrainAcc=0.5117, TestLoss=0.6923, Test Accuracy=0.5001
Epoch 33: TrainLoss=0.6918, TrainAcc=0.5121, TestLoss=0.6930, Test Accuracy=0.5001
Epoch 34: TrainLoss=0.6922, TrainAcc=0.5119, TestLoss=0.6923, Test Accuracy=0.5154
Epoch 35: TrainLoss=0.6921, TrainAcc=0.5070, TestLoss=0.6926, Test Accuracy=0.5211
Epoch 36: TrainLoss=0.6921, TrainAcc=0.5050, TestLoss=0.6921, Test Accuracy=0.5132
Epoch 37: TrainLoss=0.6923, TrainAcc=0.4949, TestLoss=0.6925, Test Accuracy=0.5001
Epoch 38: TrainLoss=0.6921, TrainAcc=0.5113, TestLoss=0.6925, Test Accuracy=0.5001
Epoch 39: TrainLoss=0.6920, TrainAcc=0.5057, TestLoss=0.6925, Test Accuracy=0.5155
Epoch 40: TrainLoss=0.6916, TrainAcc=0.5111, TestLoss=0.6929, Test Accuracy=0.5200
Epoch 41: TrainLoss=0.6916, TrainAcc=0.5183, TestLoss=0.6918, Test Accuracy=0.5131
Epoch 42: TrainLoss=0.6926, TrainAcc=0.5049, TestLoss=0.6926, Test Accuracy=0.5001
Epoch 43: TrainLoss=0.6921, TrainAcc=0.5125, TestLoss=0.6925, Test Accuracy=0.5001
Epoch 44: TrainLoss=0.6917, TrainAcc=0.5117, TestLoss=0.6924, Test Accuracy=0.5001
Epoch 45: TrainLoss=0.6917, TrainAcc=0.5059, TestLoss=0.6922, Test Accuracy=0.5188
Epoch 46: TrainLoss=0.6922, TrainAcc=0.5084, TestLoss=0.6925, Test Accuracy=0.5001
Epoch 47: TrainLoss=0.6921, TrainAcc=0.5014, TestLoss=0.6923, Test Accuracy=0.5012
Epoch 48: TrainLoss=0.6921, TrainAcc=0.5104, TestLoss=0.6924, Test Accuracy=0.5001
Epoch 49: TrainLoss=0.6923, TrainAcc=0.5068, TestLoss=0.6926, Test Accuracy=0.5012
Epoch 50: TrainLoss=0.6931, TrainAcc=0.5082, TestLoss=0.6924, Test Accuracy=0.5001
Epoch 51: TrainLoss=0.6922, TrainAcc=0.5030, TestLoss=0.6917, Test Accuracy=0.5165
Epoch 52: TrainLoss=0.6918, TrainAcc=0.5148, TestLoss=0.6926, Test Accuracy=0.5001
Epoch 53: TrainLoss=0.6917, TrainAcc=0.5093, TestLoss=0.6920, Test Accuracy=0.4955
Epoch 54: TrainLoss=0.6920, TrainAcc=0.5069, TestLoss=0.6922, Test Accuracy=0.5210
