==== Model Run Details ====
Dataset: fordb
Model type: scn
Block sizes: [32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32]
Block config: 2
Activation: relu
Coupling topology: 20
Block init fn: sparse
Coupling block init fn: uniform
Train batch size: 128
Test batch size: 128
Epochs: 250
Decay epochs: [80, 160]
Decay scalar: 0.1
Gating: False
Gate bounds: [1e-05, 0.2]
Euler step: 0.1
Learning rate: 0.001
Trials: 3
==========================


--- Trial 1/3 ---
Epoch 1: TrainLoss=0.6941, TrainAcc=0.5095, TestLoss=0.6933, Test Accuracy=0.5022
Epoch 2: TrainLoss=0.6934, TrainAcc=0.5028, TestLoss=0.6941, Test Accuracy=0.4987
Epoch 3: TrainLoss=0.6921, TrainAcc=0.5150, TestLoss=0.6932, Test Accuracy=0.5023
Epoch 4: TrainLoss=0.6919, TrainAcc=0.5104, TestLoss=0.6934, Test Accuracy=0.4989
Epoch 5: TrainLoss=0.6914, TrainAcc=0.5117, TestLoss=0.6935, Test Accuracy=0.4989
Epoch 6: TrainLoss=0.6913, TrainAcc=0.5094, TestLoss=0.6937, Test Accuracy=0.5044
Epoch 7: TrainLoss=0.6905, TrainAcc=0.5154, TestLoss=0.6927, Test Accuracy=0.5001
Epoch 8: TrainLoss=0.6907, TrainAcc=0.5011, TestLoss=0.6963, Test Accuracy=0.4955
Epoch 9: TrainLoss=0.6900, TrainAcc=0.5215, TestLoss=0.6936, Test Accuracy=0.5066
Epoch 10: TrainLoss=0.6885, TrainAcc=0.5210, TestLoss=0.6929, Test Accuracy=0.5001
Epoch 11: TrainLoss=0.6885, TrainAcc=0.5152, TestLoss=0.6928, Test Accuracy=0.5011
Epoch 12: TrainLoss=0.6886, TrainAcc=0.5237, TestLoss=0.6927, Test Accuracy=0.4888
Epoch 13: TrainLoss=0.6884, TrainAcc=0.5279, TestLoss=0.6936, Test Accuracy=0.5168
Epoch 14: TrainLoss=0.6849, TrainAcc=0.5193, TestLoss=0.6955, Test Accuracy=0.5101
Epoch 15: TrainLoss=0.6833, TrainAcc=0.5333, TestLoss=0.6923, Test Accuracy=0.4979
Epoch 16: TrainLoss=0.6809, TrainAcc=0.5448, TestLoss=0.6939, Test Accuracy=0.5179
Epoch 17: TrainLoss=0.6781, TrainAcc=0.5590, TestLoss=0.6941, Test Accuracy=0.5270
Epoch 18: TrainLoss=0.6759, TrainAcc=0.5641, TestLoss=0.6940, Test Accuracy=0.5045
Epoch 19: TrainLoss=0.6625, TrainAcc=0.6225, TestLoss=0.6925, Test Accuracy=0.5539
Epoch 20: TrainLoss=0.6491, TrainAcc=0.6242, TestLoss=0.6834, Test Accuracy=0.5627
Epoch 21: TrainLoss=0.6369, TrainAcc=0.6416, TestLoss=0.6754, Test Accuracy=0.5727
Epoch 22: TrainLoss=0.6183, TrainAcc=0.6589, TestLoss=0.6768, Test Accuracy=0.5917
Epoch 23: TrainLoss=0.6176, TrainAcc=0.6671, TestLoss=0.6694, Test Accuracy=0.5884
Epoch 24: TrainLoss=0.5992, TrainAcc=0.6872, TestLoss=0.6536, Test Accuracy=0.6355
Epoch 25: TrainLoss=0.5895, TrainAcc=0.6914, TestLoss=0.6314, Test Accuracy=0.6489
