==== Model Run Details ====
Dataset: har2
Model type: adadiag
Block sizes: [8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8]
Block config: 3
Activation: relu
Coupling topology: 20
Block init fn: diagonal
Coupling block init fn: uniform
Train batch size: 128
Test batch size: 128
Epochs: 250
Decay epochs: [80, 160]
Decay scalar: 0.1
Gating: True
Gate bounds: [1e-05, 0.2]
Euler step: 0.01
Learning rate: 0.01
Trials: 3
==========================


--- Trial 1/3 ---
Epoch 1: TrainLoss=0.4181, TrainAcc=0.7984, TestLoss=0.2675, Test Accuracy=0.8978
Epoch 2: TrainLoss=0.1611, TrainAcc=0.9345, TestLoss=0.2119, Test Accuracy=0.9173
Epoch 3: TrainLoss=0.1229, TrainAcc=0.9479, TestLoss=0.1858, Test Accuracy=0.9271
Epoch 4: TrainLoss=0.1080, TrainAcc=0.9500, TestLoss=0.1683, Test Accuracy=0.9333
Epoch 5: TrainLoss=0.1162, TrainAcc=0.9470, TestLoss=0.1502, Test Accuracy=0.9417
Epoch 6: TrainLoss=0.1038, TrainAcc=0.9530, TestLoss=0.1443, Test Accuracy=0.9424
Epoch 7: TrainLoss=0.1031, TrainAcc=0.9531, TestLoss=0.1413, Test Accuracy=0.9430
Epoch 8: TrainLoss=0.1001, TrainAcc=0.9563, TestLoss=0.1375, Test Accuracy=0.9443
Epoch 9: TrainLoss=0.0996, TrainAcc=0.9559, TestLoss=0.1285, Test Accuracy=0.9447
Epoch 10: TrainLoss=0.0973, TrainAcc=0.9564, TestLoss=0.1423, Test Accuracy=0.9486
Epoch 11: TrainLoss=0.0984, TrainAcc=0.9542, TestLoss=0.1499, Test Accuracy=0.9417
Epoch 12: TrainLoss=0.0988, TrainAcc=0.9548, TestLoss=0.1566, Test Accuracy=0.9378
