==== Model Run Details ====
Dataset: har2
Model type: lstm
Activation: relu
Block init fn: sparse
Train batch size: 128
Test batch size: 128
Epochs: 250
Decay epochs: [80, 160]
Decay scalar: 0.1
Hidden size: 128
Bidirectional: True
Number of layers: 3
L2 regularization: 0.0
Learning rate: 0.01
Trials: 3
==========================


--- Trial 1/3 ---
Epoch 1: TrainLoss=0.5530, TrainAcc=0.6933, TestLoss=0.5463, Test Accuracy=0.6872
Epoch 2: TrainLoss=0.4469, TrainAcc=0.7677, TestLoss=0.4870, Test Accuracy=0.7665
Epoch 3: TrainLoss=0.3986, TrainAcc=0.8068, TestLoss=0.4734, Test Accuracy=0.7507
Epoch 4: TrainLoss=0.3687, TrainAcc=0.8227, TestLoss=0.4636, Test Accuracy=0.7695
Epoch 5: TrainLoss=0.3445, TrainAcc=0.8361, TestLoss=0.4410, Test Accuracy=0.7593
Epoch 6: TrainLoss=0.3222, TrainAcc=0.8484, TestLoss=0.4557, Test Accuracy=0.7707
Epoch 7: TrainLoss=0.3154, TrainAcc=0.8559, TestLoss=0.4562, Test Accuracy=0.7837
Epoch 8: TrainLoss=0.2989, TrainAcc=0.8670, TestLoss=0.4572, Test Accuracy=0.7899
Epoch 9: TrainLoss=0.2840, TrainAcc=0.8750, TestLoss=0.4914, Test Accuracy=0.7817
Epoch 10: TrainLoss=0.3557, TrainAcc=0.8395, TestLoss=0.5381, Test Accuracy=0.8185
Epoch 11: TrainLoss=0.2848, TrainAcc=0.8738, TestLoss=0.4564, Test Accuracy=0.7931
Epoch 12: TrainLoss=0.2747, TrainAcc=0.8730, TestLoss=0.4863, Test Accuracy=0.7766
Epoch 13: TrainLoss=0.2679, TrainAcc=0.8786, TestLoss=0.4660, Test Accuracy=0.7885
Epoch 14: TrainLoss=0.2513, TrainAcc=0.8894, TestLoss=0.4576, Test Accuracy=0.8038
Epoch 15: TrainLoss=0.2392, TrainAcc=0.8925, TestLoss=0.4857, Test Accuracy=0.8010
Epoch 16: TrainLoss=0.2414, TrainAcc=0.8952, TestLoss=0.5046, Test Accuracy=0.7934
Epoch 17: TrainLoss=0.2253, TrainAcc=0.9035, TestLoss=0.4756, Test Accuracy=0.8198
Epoch 18: TrainLoss=0.2245, TrainAcc=0.9034, TestLoss=0.5060, Test Accuracy=0.8038
Epoch 19: TrainLoss=0.1959, TrainAcc=0.9148, TestLoss=0.4564, Test Accuracy=0.8237
Epoch 20: TrainLoss=0.1907, TrainAcc=0.9180, TestLoss=0.4427, Test Accuracy=0.8331
Epoch 21: TrainLoss=0.1622, TrainAcc=0.9312, TestLoss=0.3948, Test Accuracy=0.8513
Epoch 22: TrainLoss=0.1272, TrainAcc=0.9473, TestLoss=0.3885, Test Accuracy=0.8539
Epoch 23: TrainLoss=0.1189, TrainAcc=0.9509, TestLoss=0.4346, Test Accuracy=0.8452
Epoch 24: TrainLoss=0.1108, TrainAcc=0.9517, TestLoss=0.4224, Test Accuracy=0.8575
Epoch 25: TrainLoss=0.1083, TrainAcc=0.9544, TestLoss=0.4994, Test Accuracy=0.8188
