==== Model Run Details ====
Dataset: har2
Model type: rnn
Activation: relu
Block init fn: sparse
Train batch size: 128
Test batch size: 128
Epochs: 250
Decay epochs: [80, 160]
Decay scalar: 0.1
Hidden size: 128
Bidirectional: True
Number of layers: 3
L2 regularization: 0.0001
Learning rate: 0.01
Trials: 3
==========================


--- Trial 1/3 ---
Epoch 1: TrainLoss=1470655.5898, TrainAcc=0.6478, TestLoss=0.5575, Test Accuracy=0.6937
Epoch 2: TrainLoss=0.4562, TrainAcc=0.7725, TestLoss=0.5311, Test Accuracy=0.7324
Epoch 3: TrainLoss=0.3968, TrainAcc=0.8059, TestLoss=0.4593, Test Accuracy=0.7697
Epoch 4: TrainLoss=0.3755, TrainAcc=0.8240, TestLoss=0.4801, Test Accuracy=0.7541
Epoch 5: TrainLoss=0.3411, TrainAcc=0.8388, TestLoss=0.5176, Test Accuracy=0.7611
Epoch 6: TrainLoss=0.3362, TrainAcc=0.8421, TestLoss=0.4715, Test Accuracy=0.7781
Epoch 7: TrainLoss=0.3371, TrainAcc=0.8434, TestLoss=0.4589, Test Accuracy=0.7665
Epoch 8: TrainLoss=0.3272, TrainAcc=0.8488, TestLoss=0.4952, Test Accuracy=0.7752
Epoch 9: TrainLoss=0.3159, TrainAcc=0.8539, TestLoss=0.5284, Test Accuracy=0.7604
Epoch 10: TrainLoss=0.3085, TrainAcc=0.8632, TestLoss=0.5158, Test Accuracy=0.7480
Epoch 11: TrainLoss=0.3042, TrainAcc=0.8634, TestLoss=0.5111, Test Accuracy=0.7764
Epoch 12: TrainLoss=0.2989, TrainAcc=0.8625, TestLoss=0.5156, Test Accuracy=0.7526
Epoch 13: TrainLoss=0.2922, TrainAcc=0.8680, TestLoss=0.5167, Test Accuracy=0.7753
Epoch 14: TrainLoss=0.2828, TrainAcc=0.8681, TestLoss=0.5097, Test Accuracy=0.7694
Epoch 15: TrainLoss=0.2842, TrainAcc=0.8726, TestLoss=0.5387, Test Accuracy=0.7704
Epoch 16: TrainLoss=0.2800, TrainAcc=0.8749, TestLoss=0.5837, Test Accuracy=0.7630
Epoch 17: TrainLoss=0.2770, TrainAcc=0.8714, TestLoss=0.6264, Test Accuracy=0.7766
Epoch 18: TrainLoss=0.2758, TrainAcc=0.8790, TestLoss=0.5730, Test Accuracy=0.7520
Epoch 19: TrainLoss=0.2678, TrainAcc=0.8769, TestLoss=0.5703, Test Accuracy=0.7782
Epoch 20: TrainLoss=0.2692, TrainAcc=0.8799, TestLoss=0.5013, Test Accuracy=0.7617
Epoch 21: TrainLoss=0.2698, TrainAcc=0.8753, TestLoss=0.5894, Test Accuracy=0.7629
Epoch 22: TrainLoss=0.2676, TrainAcc=0.8817, TestLoss=0.5280, Test Accuracy=0.7776
Epoch 23: TrainLoss=0.2525, TrainAcc=0.8831, TestLoss=0.5808, Test Accuracy=0.7669
Epoch 24: TrainLoss=nan, TrainAcc=0.6506, TestLoss=nan, Test Accuracy=0.5286
Epoch 25: TrainLoss=nan, TrainAcc=0.5121, TestLoss=nan, Test Accuracy=0.5286
Epoch 26: TrainLoss=nan, TrainAcc=0.5121, TestLoss=nan, Test Accuracy=0.5286
Epoch 27: TrainLoss=nan, TrainAcc=0.5126, TestLoss=nan, Test Accuracy=0.5286
Epoch 28: TrainLoss=nan, TrainAcc=0.5102, TestLoss=nan, Test Accuracy=0.5286
Epoch 29: TrainLoss=nan, TrainAcc=0.5114, TestLoss=nan, Test Accuracy=0.5286
Epoch 30: TrainLoss=nan, TrainAcc=0.5114, TestLoss=nan, Test Accuracy=0.5286
Epoch 31: TrainLoss=nan, TrainAcc=0.5128, TestLoss=nan, Test Accuracy=0.5286
Epoch 32: TrainLoss=nan, TrainAcc=0.5121, TestLoss=nan, Test Accuracy=0.5286
Epoch 33: TrainLoss=nan, TrainAcc=0.5116, TestLoss=nan, Test Accuracy=0.5286
Epoch 34: TrainLoss=nan, TrainAcc=0.5123, TestLoss=nan, Test Accuracy=0.5286
Epoch 35: TrainLoss=nan, TrainAcc=0.5119, TestLoss=nan, Test Accuracy=0.5286
Epoch 36: TrainLoss=nan, TrainAcc=0.5116, TestLoss=nan, Test Accuracy=0.5286
Epoch 37: TrainLoss=nan, TrainAcc=0.5121, TestLoss=nan, Test Accuracy=0.5286
Epoch 38: TrainLoss=nan, TrainAcc=0.5119, TestLoss=nan, Test Accuracy=0.5286
Epoch 39: TrainLoss=nan, TrainAcc=0.5126, TestLoss=nan, Test Accuracy=0.5286
Epoch 40: TrainLoss=nan, TrainAcc=0.5119, TestLoss=nan, Test Accuracy=0.5286
Epoch 41: TrainLoss=nan, TrainAcc=0.5130, TestLoss=nan, Test Accuracy=0.5286
Epoch 42: TrainLoss=nan, TrainAcc=0.5126, TestLoss=nan, Test Accuracy=0.5286
Epoch 43: TrainLoss=nan, TrainAcc=0.5132, TestLoss=nan, Test Accuracy=0.5286
Epoch 44: TrainLoss=nan, TrainAcc=0.5121, TestLoss=nan, Test Accuracy=0.5286
Epoch 45: TrainLoss=nan, TrainAcc=0.5137, TestLoss=nan, Test Accuracy=0.5286
Epoch 46: TrainLoss=nan, TrainAcc=0.5118, TestLoss=nan, Test Accuracy=0.5286
Epoch 47: TrainLoss=nan, TrainAcc=0.5119, TestLoss=nan, Test Accuracy=0.5286
Epoch 48: TrainLoss=nan, TrainAcc=0.5126, TestLoss=nan, Test Accuracy=0.5286
Epoch 49: TrainLoss=nan, TrainAcc=0.5126, TestLoss=nan, Test Accuracy=0.5286
Epoch 50: TrainLoss=nan, TrainAcc=0.5111, TestLoss=nan, Test Accuracy=0.5286
Epoch 51: TrainLoss=nan, TrainAcc=0.5114, TestLoss=nan, Test Accuracy=0.5286
Epoch 52: TrainLoss=nan, TrainAcc=0.5114, TestLoss=nan, Test Accuracy=0.5286
Epoch 53: TrainLoss=nan, TrainAcc=0.5118, TestLoss=nan, Test Accuracy=0.5286
