==== Model Run Details ====
Dataset: har2
Model type: scn
Block sizes: [32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32]
Block config: 2
Activation: relu
Coupling topology: 20
Block init fn: sparse
Coupling block init fn: uniform
Train batch size: 128
Test batch size: 128
Epochs: 250
Decay epochs: [80, 160]
Decay scalar: 0.1
Gating: False
Gate bounds: [1e-05, 0.2]
Euler step: 0.1
Learning rate: 0.001
Trials: 3
==========================


--- Trial 1/3 ---
Epoch 1: TrainLoss=0.5707, TrainAcc=0.7376, TestLoss=0.6127, Test Accuracy=0.7035
Epoch 2: TrainLoss=0.5179, TrainAcc=0.7707, TestLoss=0.5896, Test Accuracy=0.7135
Epoch 3: TrainLoss=0.4794, TrainAcc=0.7817, TestLoss=0.5504, Test Accuracy=0.7188
Epoch 4: TrainLoss=0.4345, TrainAcc=0.8021, TestLoss=0.5035, Test Accuracy=0.7256
Epoch 5: TrainLoss=0.3957, TrainAcc=0.8139, TestLoss=0.4525, Test Accuracy=0.7512
Epoch 6: TrainLoss=0.3641, TrainAcc=0.8370, TestLoss=0.4289, Test Accuracy=0.7585
Epoch 7: TrainLoss=0.3375, TrainAcc=0.8522, TestLoss=0.3839, Test Accuracy=0.8074
Epoch 8: TrainLoss=0.3137, TrainAcc=0.8653, TestLoss=0.3696, Test Accuracy=0.8214
Epoch 9: TrainLoss=0.2919, TrainAcc=0.8736, TestLoss=0.3313, Test Accuracy=0.8779
Epoch 10: TrainLoss=0.2668, TrainAcc=0.8864, TestLoss=0.3111, Test Accuracy=0.8763
Epoch 11: TrainLoss=0.2368, TrainAcc=0.9034, TestLoss=0.2777, Test Accuracy=0.8844
Epoch 12: TrainLoss=0.2036, TrainAcc=0.9203, TestLoss=0.2527, Test Accuracy=0.8906
Epoch 13: TrainLoss=0.1823, TrainAcc=0.9319, TestLoss=0.2395, Test Accuracy=0.8958
Epoch 14: TrainLoss=0.1683, TrainAcc=0.9372, TestLoss=0.2238, Test Accuracy=0.9115
Epoch 15: TrainLoss=0.1553, TrainAcc=0.9434, TestLoss=0.2344, Test Accuracy=0.8971
Epoch 16: TrainLoss=0.1528, TrainAcc=0.9404, TestLoss=0.2079, Test Accuracy=0.9131
Epoch 17: TrainLoss=0.1376, TrainAcc=0.9495, TestLoss=0.2024, Test Accuracy=0.9163
Epoch 18: TrainLoss=0.1308, TrainAcc=0.9505, TestLoss=0.1969, Test Accuracy=0.9154
Epoch 19: TrainLoss=0.1255, TrainAcc=0.9533, TestLoss=0.1881, Test Accuracy=0.9173
Epoch 20: TrainLoss=0.1247, TrainAcc=0.9522, TestLoss=0.1815, Test Accuracy=0.9238
Epoch 21: TrainLoss=0.1209, TrainAcc=0.9530, TestLoss=0.1841, Test Accuracy=0.9238
Epoch 22: TrainLoss=0.1164, TrainAcc=0.9549, TestLoss=0.1881, Test Accuracy=0.9069
Epoch 23: TrainLoss=0.1151, TrainAcc=0.9548, TestLoss=0.1899, Test Accuracy=0.9131
Epoch 24: TrainLoss=0.1141, TrainAcc=0.9552, TestLoss=0.1741, Test Accuracy=0.9268
Epoch 25: TrainLoss=0.1113, TrainAcc=0.9569, TestLoss=0.1804, Test Accuracy=0.9242
Epoch 26: TrainLoss=0.1111, TrainAcc=0.9572, TestLoss=0.1719, Test Accuracy=0.9251
Epoch 27: TrainLoss=0.1103, TrainAcc=0.9561, TestLoss=0.1728, Test Accuracy=0.9320
Epoch 28: TrainLoss=0.1082, TrainAcc=0.9571, TestLoss=0.1746, Test Accuracy=0.9238
Epoch 29: TrainLoss=0.1067, TrainAcc=0.9565, TestLoss=0.1674, Test Accuracy=0.9336
Epoch 30: TrainLoss=0.1062, TrainAcc=0.9573, TestLoss=0.1710, Test Accuracy=0.9339
Epoch 31: TrainLoss=0.1060, TrainAcc=0.9570, TestLoss=0.1715, Test Accuracy=0.9313
Epoch 32: TrainLoss=0.1037, TrainAcc=0.9568, TestLoss=0.1701, Test Accuracy=0.9287
Epoch 33: TrainLoss=0.1028, TrainAcc=0.9564, TestLoss=0.1639, Test Accuracy=0.9352
Epoch 34: TrainLoss=0.1019, TrainAcc=0.9589, TestLoss=0.1687, Test Accuracy=0.9290
Epoch 35: TrainLoss=0.1033, TrainAcc=0.9565, TestLoss=0.1716, Test Accuracy=0.9300
Epoch 36: TrainLoss=0.1007, TrainAcc=0.9566, TestLoss=0.1658, Test Accuracy=0.9329
Epoch 37: TrainLoss=0.0997, TrainAcc=0.9569, TestLoss=0.1594, Test Accuracy=0.9368
Epoch 38: TrainLoss=0.0991, TrainAcc=0.9579, TestLoss=0.1609, Test Accuracy=0.9365
Epoch 39: TrainLoss=0.1006, TrainAcc=0.9580, TestLoss=0.1582, Test Accuracy=0.9355
Epoch 40: TrainLoss=0.0966, TrainAcc=0.9588, TestLoss=0.1590, Test Accuracy=0.9372
Epoch 41: TrainLoss=0.0963, TrainAcc=0.9591, TestLoss=0.1545, Test Accuracy=0.9395
Epoch 42: TrainLoss=0.0983, TrainAcc=0.9595, TestLoss=0.1748, Test Accuracy=0.9163
Epoch 43: TrainLoss=0.1013, TrainAcc=0.9576, TestLoss=0.1595, Test Accuracy=0.9372
Epoch 44: TrainLoss=0.0993, TrainAcc=0.9574, TestLoss=0.1642, Test Accuracy=0.9303
Epoch 45: TrainLoss=0.0985, TrainAcc=0.9571, TestLoss=0.1637, Test Accuracy=0.9320
Epoch 46: TrainLoss=0.0955, TrainAcc=0.9607, TestLoss=0.1599, Test Accuracy=0.9378
