==== Model Run Details ====
Dataset: ieeeppg
Model type: adadiag
Block sizes: [8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8]
Block config: 3
Activation: relu
Coupling topology: 5
Block init fn: diagonal
Coupling block init fn: uniform
Train batch size: 128
Test batch size: 128
Epochs: 50
Decay epochs: [80, 160]
Decay scalar: 0.1
Gating: True
Gate bounds: [1e-05, 0.2]
Euler step: 0.01
Learning rate: 0.01
Trials: 3
==========================


--- Trial 1/3 ---
Epoch 1: TrainLoss=6606.9241, TestLoss=3366.7344, Test RMSE=62.8530
Epoch 2: TrainLoss=3603.3504, TestLoss=1994.2151, Test RMSE=45.5134
Epoch 3: TrainLoss=2012.5386, TestLoss=2722.5990, Test RMSE=48.5877
Epoch 4: TrainLoss=2084.3602, TestLoss=2097.7078, Test RMSE=48.1696
Epoch 5: TrainLoss=1651.3711, TestLoss=1885.2317, Test RMSE=46.5732
Epoch 6: TrainLoss=1622.7711, TestLoss=1363.6221, Test RMSE=37.3992
Epoch 7: TrainLoss=1549.3828, TestLoss=1466.8141, Test RMSE=40.5400
Epoch 8: TrainLoss=1248.7231, TestLoss=1230.4519, Test RMSE=36.1988
Epoch 9: TrainLoss=1044.3499, TestLoss=1004.4281, Test RMSE=32.8283
Epoch 10: TrainLoss=872.9519, TestLoss=1022.3404, Test RMSE=31.1918
Epoch 11: TrainLoss=806.8029, TestLoss=820.3972, Test RMSE=30.0199
Epoch 12: TrainLoss=735.0360, TestLoss=1081.2495, Test RMSE=35.5315
Epoch 13: TrainLoss=680.6164, TestLoss=745.1220, Test RMSE=29.4273
Epoch 14: TrainLoss=673.3153, TestLoss=675.8781, Test RMSE=26.6937
Epoch 15: TrainLoss=585.5235, TestLoss=638.5805, Test RMSE=25.4710
Epoch 16: TrainLoss=575.3886, TestLoss=656.6703, Test RMSE=26.6799
Epoch 17: TrainLoss=600.8444, TestLoss=727.7865, Test RMSE=29.2696
Epoch 18: TrainLoss=572.1618, TestLoss=605.4241, Test RMSE=25.4620
Epoch 19: TrainLoss=491.8093, TestLoss=600.9262, Test RMSE=25.9221
Epoch 20: TrainLoss=475.7921, TestLoss=599.8750, Test RMSE=25.9943
Epoch 21: TrainLoss=454.8799, TestLoss=614.9561, Test RMSE=24.9706
Epoch 22: TrainLoss=445.4859, TestLoss=536.3184, Test RMSE=23.2941
Epoch 23: TrainLoss=435.3165, TestLoss=614.5939, Test RMSE=26.3883
Epoch 24: TrainLoss=422.2996, TestLoss=580.6847, Test RMSE=25.7928
Epoch 25: TrainLoss=449.1185, TestLoss=610.9971, Test RMSE=26.5727
Epoch 26: TrainLoss=443.0129, TestLoss=608.7316, Test RMSE=26.6058
Epoch 27: TrainLoss=386.9607, TestLoss=505.7436, Test RMSE=22.4979
Epoch 28: TrainLoss=338.9563, TestLoss=490.2894, Test RMSE=23.0266
Epoch 29: TrainLoss=329.7268, TestLoss=522.2236, Test RMSE=23.5139
Epoch 30: TrainLoss=350.5036, TestLoss=489.4491, Test RMSE=23.3940
Epoch 31: TrainLoss=288.7875, TestLoss=443.9909, Test RMSE=21.4797
Epoch 32: TrainLoss=271.9417, TestLoss=461.6973, Test RMSE=22.5921
Epoch 33: TrainLoss=329.6804, TestLoss=526.5703, Test RMSE=24.5338
Epoch 34: TrainLoss=316.1235, TestLoss=463.8138, Test RMSE=22.3398
Epoch 35: TrainLoss=313.4052, TestLoss=411.3919, Test RMSE=20.3395
Epoch 36: TrainLoss=359.8428, TestLoss=477.0555, Test RMSE=22.3172
Epoch 37: TrainLoss=340.5714, TestLoss=484.2837, Test RMSE=22.4919
Epoch 38: TrainLoss=364.8059, TestLoss=496.3092, Test RMSE=23.1087
Epoch 39: TrainLoss=342.6552, TestLoss=518.5819, Test RMSE=23.5031
Epoch 40: TrainLoss=348.2956, TestLoss=522.4764, Test RMSE=23.8844
Epoch 41: TrainLoss=334.9495, TestLoss=483.0072, Test RMSE=22.3687
Epoch 42: TrainLoss=316.1665, TestLoss=580.3496, Test RMSE=22.0661
Epoch 43: TrainLoss=340.2210, TestLoss=433.4010, Test RMSE=21.0542
