==== Model Run Details ====
Dataset: ieeeppg
Model type: lstm
Activation: relu
Block init fn: sparse
Train batch size: 128
Test batch size: 128
Epochs: 50
Decay epochs: [20, 40]
Decay scalar: 0.1
Hidden size: 128
Bidirectional: True
Number of layers: 3
L2 regularization: 0.0
Learning rate: 0.001
Trials: 3
==========================


--- Trial 1/3 ---
Epoch 1: TrainLoss=16389.5483, TestLoss=12174.4819, Test RMSE=116.7476
Epoch 2: TrainLoss=15489.9110, TestLoss=12066.7562, Test RMSE=116.2539
Epoch 3: TrainLoss=15488.6179, TestLoss=12065.1087, Test RMSE=116.2463
Epoch 4: TrainLoss=15463.5343, TestLoss=12053.7207, Test RMSE=116.1941
Epoch 5: TrainLoss=15455.0950, TestLoss=12051.2837, Test RMSE=116.1829
Epoch 6: TrainLoss=15462.5221, TestLoss=12050.3413, Test RMSE=116.1786
Epoch 7: TrainLoss=15452.9349, TestLoss=12050.2170, Test RMSE=116.1781
Epoch 8: TrainLoss=15453.1771, TestLoss=12050.0290, Test RMSE=116.1772
Epoch 9: TrainLoss=15473.2573, TestLoss=12049.9725, Test RMSE=116.1769
Epoch 10: TrainLoss=15448.8612, TestLoss=12049.9250, Test RMSE=116.1767
Epoch 11: TrainLoss=15449.3545, TestLoss=12049.8864, Test RMSE=116.1765
Epoch 12: TrainLoss=15453.6060, TestLoss=12049.8527, Test RMSE=116.1764
Epoch 13: TrainLoss=15458.7176, TestLoss=12049.8245, Test RMSE=116.1763
Epoch 14: TrainLoss=15459.6815, TestLoss=12049.7990, Test RMSE=116.1761
Epoch 15: TrainLoss=15464.3067, TestLoss=12049.7769, Test RMSE=116.1760
Epoch 16: TrainLoss=15456.9711, TestLoss=12049.7567, Test RMSE=116.1760
Epoch 17: TrainLoss=15450.5143, TestLoss=12048.4023, Test RMSE=116.1697
Epoch 18: TrainLoss=15459.5615, TestLoss=12047.8826, Test RMSE=116.1674
Epoch 19: TrainLoss=15465.2915, TestLoss=12047.7891, Test RMSE=116.1669
Epoch 20: TrainLoss=15465.7951, TestLoss=12047.7754, Test RMSE=116.1669
Epoch 21: TrainLoss=15460.0956, TestLoss=12047.7744, Test RMSE=116.1669
Epoch 22: TrainLoss=15445.4672, TestLoss=12047.7734, Test RMSE=116.1669
Epoch 23: TrainLoss=15447.9568, TestLoss=12047.7720, Test RMSE=116.1669
Epoch 24: TrainLoss=15442.2828, TestLoss=12047.7710, Test RMSE=116.1668
Epoch 25: TrainLoss=15450.1136, TestLoss=12047.7700, Test RMSE=116.1668
Epoch 26: TrainLoss=15449.7422, TestLoss=12047.7690, Test RMSE=116.1668
Epoch 27: TrainLoss=15460.6736, TestLoss=12047.7676, Test RMSE=116.1668
Epoch 28: TrainLoss=15439.8869, TestLoss=12047.7663, Test RMSE=116.1668
Epoch 29: TrainLoss=15446.8322, TestLoss=12047.7650, Test RMSE=116.1668
Epoch 30: TrainLoss=15446.7849, TestLoss=12047.7635, Test RMSE=116.1668
Epoch 31: TrainLoss=15452.9828, TestLoss=12047.7622, Test RMSE=116.1668
Epoch 32: TrainLoss=15466.0425, TestLoss=12047.7614, Test RMSE=116.1668
Epoch 33: TrainLoss=15450.7886, TestLoss=12047.7606, Test RMSE=116.1668
Epoch 34: TrainLoss=15452.3343, TestLoss=12047.7590, Test RMSE=116.1668
Epoch 35: TrainLoss=15444.6365, TestLoss=12047.7572, Test RMSE=116.1668
Epoch 36: TrainLoss=15457.3490, TestLoss=12047.7562, Test RMSE=116.1668
Epoch 37: TrainLoss=15455.9250, TestLoss=12047.7549, Test RMSE=116.1668
Epoch 38: TrainLoss=15462.2634, TestLoss=12047.7542, Test RMSE=116.1668
Epoch 39: TrainLoss=15455.7761, TestLoss=12047.7526, Test RMSE=116.1668
Epoch 40: TrainLoss=15459.1630, TestLoss=12047.7511, Test RMSE=116.1668
Epoch 41: TrainLoss=15450.0546, TestLoss=12047.7511, Test RMSE=116.1668
Epoch 42: TrainLoss=15456.3203, TestLoss=12047.7511, Test RMSE=116.1668
