==== Model Run Details ====
Dataset: ieeeppg
Model type: rnn
Activation: relu
Block init fn: sparse
Train batch size: 128
Test batch size: 128
Epochs: 50
Decay epochs: [20, 40]
Decay scalar: 0.1
Hidden size: 128
Bidirectional: True
Number of layers: 3
L2 regularization: 0.0
Learning rate: 0.01
Trials: 3
==========================


--- Trial 1/3 ---
Epoch 1: TrainLoss=18646.2016, TestLoss=7452.6808, Test RMSE=87.4503
Epoch 2: TrainLoss=6915.8234, TestLoss=4478.2500, Test RMSE=72.7701
Epoch 3: TrainLoss=4250.9497, TestLoss=2224.5404, Test RMSE=49.7287
Epoch 4: TrainLoss=1944.3211, TestLoss=1448.7009, Test RMSE=38.3739
Epoch 5: TrainLoss=1141.6539, TestLoss=980.3087, Test RMSE=30.5585
Epoch 6: TrainLoss=859.6924, TestLoss=1025.1008, Test RMSE=29.8918
Epoch 7: TrainLoss=765.0019, TestLoss=916.4504, Test RMSE=27.3846
Epoch 8: TrainLoss=792.7015, TestLoss=921.8800, Test RMSE=27.6480
Epoch 9: TrainLoss=971.4370, TestLoss=999.8730, Test RMSE=29.6396
Epoch 10: TrainLoss=805.8863, TestLoss=918.8210, Test RMSE=28.6218
Epoch 11: TrainLoss=769.7554, TestLoss=842.1236, Test RMSE=26.6429
Epoch 12: TrainLoss=712.2707, TestLoss=886.2215, Test RMSE=26.5745
Epoch 13: TrainLoss=779.1288, TestLoss=1062.9112, Test RMSE=28.7748
Epoch 14: TrainLoss=749.2665, TestLoss=1036.0545, Test RMSE=28.6759
Epoch 15: TrainLoss=708.2535, TestLoss=986.2651, Test RMSE=27.8531
Epoch 16: TrainLoss=690.5622, TestLoss=881.5230, Test RMSE=26.4776
Epoch 17: TrainLoss=816.6287, TestLoss=768.0005, Test RMSE=26.7268
Epoch 18: TrainLoss=940.7095, TestLoss=1195.9986, Test RMSE=30.6220
Epoch 19: TrainLoss=794.4378, TestLoss=838.0153, Test RMSE=27.2456
Epoch 20: TrainLoss=781.5655, TestLoss=955.4044, Test RMSE=28.0335
Epoch 21: TrainLoss=663.0939, TestLoss=942.6152, Test RMSE=27.5434
Epoch 22: TrainLoss=648.0952, TestLoss=975.7286, Test RMSE=27.6611
Epoch 23: TrainLoss=633.2543, TestLoss=1014.6349, Test RMSE=28.2060
Epoch 24: TrainLoss=623.2599, TestLoss=988.7326, Test RMSE=28.1008
Epoch 25: TrainLoss=612.3956, TestLoss=945.0093, Test RMSE=27.5850
Epoch 26: TrainLoss=601.0008, TestLoss=978.5016, Test RMSE=28.0731
Epoch 27: TrainLoss=593.1799, TestLoss=963.9356, Test RMSE=28.0158
Epoch 28: TrainLoss=586.6945, TestLoss=920.9459, Test RMSE=27.6293
Epoch 29: TrainLoss=606.7548, TestLoss=937.5133, Test RMSE=27.9067
Epoch 30: TrainLoss=596.3924, TestLoss=945.7362, Test RMSE=28.0367
Epoch 31: TrainLoss=594.1137, TestLoss=924.5153, Test RMSE=27.6471
Epoch 32: TrainLoss=607.5627, TestLoss=930.2040, Test RMSE=27.5436
Epoch 33: TrainLoss=591.3030, TestLoss=960.7701, Test RMSE=28.3252
Epoch 34: TrainLoss=593.7353, TestLoss=984.0455, Test RMSE=28.2211
Epoch 35: TrainLoss=582.3033, TestLoss=919.3001, Test RMSE=27.4180
Epoch 36: TrainLoss=578.3038, TestLoss=965.9703, Test RMSE=28.1745
Epoch 37: TrainLoss=577.6183, TestLoss=998.8296, Test RMSE=28.4824
Epoch 38: TrainLoss=587.7147, TestLoss=963.3486, Test RMSE=28.3216
Epoch 39: TrainLoss=598.3815, TestLoss=941.3839, Test RMSE=28.0831
Epoch 40: TrainLoss=577.9634, TestLoss=897.9622, Test RMSE=27.3377
Epoch 41: TrainLoss=566.5884, TestLoss=942.6002, Test RMSE=27.9411
Epoch 42: TrainLoss=558.2406, TestLoss=982.2563, Test RMSE=28.4760
Epoch 43: TrainLoss=555.1304, TestLoss=985.8341, Test RMSE=28.4864
Epoch 44: TrainLoss=550.9892, TestLoss=989.2298, Test RMSE=28.5817
Epoch 45: TrainLoss=546.9539, TestLoss=984.7071, Test RMSE=28.5365
Epoch 46: TrainLoss=548.4536, TestLoss=982.9465, Test RMSE=28.4737
Epoch 47: TrainLoss=543.3563, TestLoss=991.3980, Test RMSE=28.5925
Epoch 48: TrainLoss=541.4925, TestLoss=990.6286, Test RMSE=28.6015
Epoch 49: TrainLoss=539.2109, TestLoss=999.8823, Test RMSE=28.7231
Epoch 50: TrainLoss=538.0237, TestLoss=1005.8325, Test RMSE=28.7783
Trial 1/3: FinalEpochScore=28.7783, BestEpochScore=26.4776

--- Trial 2/3 ---
Epoch 1: TrainLoss=nan, TestLoss=nan, Test RMSE=nan
Epoch 2: TrainLoss=nan, TestLoss=nan, Test RMSE=nan
Epoch 3: TrainLoss=nan, TestLoss=nan, Test RMSE=nan
Epoch 4: TrainLoss=nan, TestLoss=nan, Test RMSE=nan
Epoch 5: TrainLoss=nan, TestLoss=nan, Test RMSE=nan
Epoch 6: TrainLoss=nan, TestLoss=nan, Test RMSE=nan
Epoch 7: TrainLoss=nan, TestLoss=nan, Test RMSE=nan
Epoch 8: TrainLoss=nan, TestLoss=nan, Test RMSE=nan
Epoch 9: TrainLoss=nan, TestLoss=nan, Test RMSE=nan
Epoch 10: TrainLoss=nan, TestLoss=nan, Test RMSE=nan
Epoch 11: TrainLoss=nan, TestLoss=nan, Test RMSE=nan
Epoch 12: TrainLoss=nan, TestLoss=nan, Test RMSE=nan
Epoch 13: TrainLoss=nan, TestLoss=nan, Test RMSE=nan
Epoch 14: TrainLoss=nan, TestLoss=nan, Test RMSE=nan
Epoch 15: TrainLoss=nan, TestLoss=nan, Test RMSE=nan
Epoch 16: TrainLoss=nan, TestLoss=nan, Test RMSE=nan
Epoch 17: TrainLoss=nan, TestLoss=nan, Test RMSE=nan
Epoch 18: TrainLoss=nan, TestLoss=nan, Test RMSE=nan
Epoch 19: TrainLoss=nan, TestLoss=nan, Test RMSE=nan
Epoch 20: TrainLoss=nan, TestLoss=nan, Test RMSE=nan
Epoch 21: TrainLoss=nan, TestLoss=nan, Test RMSE=nan
Epoch 22: TrainLoss=nan, TestLoss=nan, Test RMSE=nan
Epoch 23: TrainLoss=nan, TestLoss=nan, Test RMSE=nan
Epoch 24: TrainLoss=nan, TestLoss=nan, Test RMSE=nan
Epoch 25: TrainLoss=nan, TestLoss=nan, Test RMSE=nan
Epoch 26: TrainLoss=nan, TestLoss=nan, Test RMSE=nan
Epoch 27: TrainLoss=nan, TestLoss=nan, Test RMSE=nan
Epoch 28: TrainLoss=nan, TestLoss=nan, Test RMSE=nan
Epoch 29: TrainLoss=nan, TestLoss=nan, Test RMSE=nan
Epoch 30: TrainLoss=nan, TestLoss=nan, Test RMSE=nan
Epoch 31: TrainLoss=nan, TestLoss=nan, Test RMSE=nan
Epoch 32: TrainLoss=nan, TestLoss=nan, Test RMSE=nan
Epoch 33: TrainLoss=nan, TestLoss=nan, Test RMSE=nan
Epoch 34: TrainLoss=nan, TestLoss=nan, Test RMSE=nan
Epoch 35: TrainLoss=nan, TestLoss=nan, Test RMSE=nan
Epoch 36: TrainLoss=nan, TestLoss=nan, Test RMSE=nan
Epoch 37: TrainLoss=nan, TestLoss=nan, Test RMSE=nan
Epoch 38: TrainLoss=nan, TestLoss=nan, Test RMSE=nan
Epoch 39: TrainLoss=nan, TestLoss=nan, Test RMSE=nan
Epoch 40: TrainLoss=nan, TestLoss=nan, Test RMSE=nan
Epoch 41: TrainLoss=nan, TestLoss=nan, Test RMSE=nan
