==== Model Run Details ====
Dataset: ieeeppg
Model type: scn
Block sizes: [32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32]
Block config: 2
Activation: relu
Coupling topology: 5
Block init fn: sparse
Coupling block init fn: uniform
Train batch size: 128
Test batch size: 128
Epochs: 50
Decay epochs: [80, 160]
Decay scalar: 0.1
Gating: False
Gate bounds: [1e-05, 0.2]
Euler step: 0.1
Learning rate: 0.01
Trials: 3
==========================


--- Trial 1/3 ---
Epoch 1: TrainLoss=11420.5419, TestLoss=5917.2052, Test RMSE=78.8757
Epoch 2: TrainLoss=5833.1644, TestLoss=4549.3378, Test RMSE=69.9290
Epoch 3: TrainLoss=4920.7514, TestLoss=3888.1036, Test RMSE=65.5375
Epoch 4: TrainLoss=4410.3825, TestLoss=3813.1651, Test RMSE=64.6034
Epoch 5: TrainLoss=4076.6546, TestLoss=3732.2137, Test RMSE=65.1159
Epoch 6: TrainLoss=3971.3671, TestLoss=3838.6864, Test RMSE=65.5720
Epoch 7: TrainLoss=3779.2811, TestLoss=3942.7662, Test RMSE=66.5471
Epoch 8: TrainLoss=3928.0924, TestLoss=4373.0396, Test RMSE=68.9841
Epoch 9: TrainLoss=3293.8542, TestLoss=3619.7307, Test RMSE=64.2745
Epoch 10: TrainLoss=2945.3225, TestLoss=3403.4714, Test RMSE=62.5057
Epoch 11: TrainLoss=2711.6456, TestLoss=3794.7692, Test RMSE=66.4616
Epoch 12: TrainLoss=2619.7983, TestLoss=3686.6047, Test RMSE=63.7886
Epoch 13: TrainLoss=2485.6900, TestLoss=3350.2686, Test RMSE=62.9934
Epoch 14: TrainLoss=2219.3466, TestLoss=3670.7951, Test RMSE=63.6360
Epoch 15: TrainLoss=2159.4371, TestLoss=2531.3317, Test RMSE=53.8576
Epoch 16: TrainLoss=1806.7196, TestLoss=2194.1966, Test RMSE=49.9022
Epoch 17: TrainLoss=1485.1661, TestLoss=1561.8414, Test RMSE=42.8625
Epoch 18: TrainLoss=1317.4037, TestLoss=1328.1857, Test RMSE=39.2010
Epoch 19: TrainLoss=1201.6203, TestLoss=1160.8914, Test RMSE=36.4338
Epoch 20: TrainLoss=1206.4318, TestLoss=1142.5615, Test RMSE=36.0370
Epoch 21: TrainLoss=1196.8487, TestLoss=1208.6588, Test RMSE=37.2830
Epoch 22: TrainLoss=1054.3467, TestLoss=865.4105, Test RMSE=31.4282
Epoch 23: TrainLoss=1055.5058, TestLoss=779.8645, Test RMSE=29.8555
Epoch 24: TrainLoss=1054.4121, TestLoss=926.8519, Test RMSE=32.3616
Epoch 25: TrainLoss=981.8973, TestLoss=748.5815, Test RMSE=29.5244
Epoch 26: TrainLoss=937.0739, TestLoss=820.9994, Test RMSE=30.1315
Epoch 27: TrainLoss=944.9293, TestLoss=711.7340, Test RMSE=28.8241
Epoch 28: TrainLoss=928.7271, TestLoss=777.5491, Test RMSE=29.5766
Epoch 29: TrainLoss=925.5345, TestLoss=788.0734, Test RMSE=29.6496
Epoch 30: TrainLoss=875.3516, TestLoss=734.7837, Test RMSE=28.9558
Epoch 31: TrainLoss=895.3035, TestLoss=720.3455, Test RMSE=28.8173
Epoch 32: TrainLoss=889.9813, TestLoss=856.4876, Test RMSE=31.4469
Epoch 33: TrainLoss=812.8555, TestLoss=755.4102, Test RMSE=29.5280
Epoch 34: TrainLoss=796.4125, TestLoss=862.9346, Test RMSE=31.3504
Epoch 35: TrainLoss=808.6420, TestLoss=764.1245, Test RMSE=29.6369
Epoch 36: TrainLoss=761.2806, TestLoss=749.2177, Test RMSE=29.3159
