==== Model Run Details ====
Dataset: japanesevowels
Model type: adadiag
Block sizes: [32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32]
Block config: 3
Activation: relu
Coupling topology: 20
Block init fn: diagonal
Coupling block init fn: uniform
Train batch size: 16
Test batch size: 128
Epochs: 250
Decay epochs: [80, 160]
Decay scalar: 0.1
Gating: True
Gate bounds: [1e-05, 0.2]
Euler step: 0.1
Learning rate: 0.01
Trials: 3
==========================


--- Trial 1/3 ---
Epoch 1: TrainLoss=1.4017, TrainAcc=0.5751, TestLoss=0.6313, Test Accuracy=0.8807
Epoch 2: TrainLoss=0.4657, TrainAcc=0.8524, TestLoss=0.2420, Test Accuracy=0.9473
Epoch 3: TrainLoss=0.1988, TrainAcc=0.9412, TestLoss=0.2069, Test Accuracy=0.9261
Epoch 4: TrainLoss=0.1653, TrainAcc=0.9364, TestLoss=0.1308, Test Accuracy=0.9730
Epoch 5: TrainLoss=0.1666, TrainAcc=0.9375, TestLoss=0.1134, Test Accuracy=0.9623
Epoch 6: TrainLoss=0.1021, TrainAcc=0.9743, TestLoss=0.1196, Test Accuracy=0.9785
Epoch 7: TrainLoss=0.0885, TrainAcc=0.9706, TestLoss=0.0979, Test Accuracy=0.9681
Epoch 8: TrainLoss=0.0307, TrainAcc=1.0000, TestLoss=0.0766, Test Accuracy=0.9811
Epoch 9: TrainLoss=0.0205, TrainAcc=1.0000, TestLoss=0.0753, Test Accuracy=0.9759
Epoch 10: TrainLoss=0.0151, TrainAcc=1.0000, TestLoss=0.0686, Test Accuracy=0.9815
Epoch 11: TrainLoss=0.0089, TrainAcc=1.0000, TestLoss=0.0736, Test Accuracy=0.9788
Epoch 12: TrainLoss=0.0066, TrainAcc=1.0000, TestLoss=0.0694, Test Accuracy=0.9785
Epoch 13: TrainLoss=0.0052, TrainAcc=1.0000, TestLoss=0.0736, Test Accuracy=0.9815
Epoch 14: TrainLoss=0.0045, TrainAcc=1.0000, TestLoss=0.0727, Test Accuracy=0.9788
Epoch 15: TrainLoss=0.0037, TrainAcc=1.0000, TestLoss=0.0777, Test Accuracy=0.9788
Epoch 16: TrainLoss=0.0034, TrainAcc=1.0000, TestLoss=0.0742, Test Accuracy=0.9788
Epoch 17: TrainLoss=0.0028, TrainAcc=1.0000, TestLoss=0.0761, Test Accuracy=0.9815
Epoch 18: TrainLoss=0.0023, TrainAcc=1.0000, TestLoss=0.0743, Test Accuracy=0.9815
Epoch 19: TrainLoss=0.0020, TrainAcc=1.0000, TestLoss=0.0760, Test Accuracy=0.9788
Epoch 20: TrainLoss=0.0020, TrainAcc=1.0000, TestLoss=0.0747, Test Accuracy=0.9815
Epoch 21: TrainLoss=0.0017, TrainAcc=1.0000, TestLoss=0.0786, Test Accuracy=0.9788
Epoch 22: TrainLoss=0.0016, TrainAcc=1.0000, TestLoss=0.0777, Test Accuracy=0.9815
Epoch 23: TrainLoss=0.0014, TrainAcc=1.0000, TestLoss=0.0775, Test Accuracy=0.9759
Epoch 24: TrainLoss=0.0013, TrainAcc=1.0000, TestLoss=0.0734, Test Accuracy=0.9785
Epoch 25: TrainLoss=0.0012, TrainAcc=1.0000, TestLoss=0.0788, Test Accuracy=0.9785
Epoch 26: TrainLoss=0.0011, TrainAcc=1.0000, TestLoss=0.0780, Test Accuracy=0.9785
Epoch 27: TrainLoss=0.0010, TrainAcc=1.0000, TestLoss=0.0796, Test Accuracy=0.9785
Epoch 28: TrainLoss=0.0009, TrainAcc=1.0000, TestLoss=0.0789, Test Accuracy=0.9759
Epoch 29: TrainLoss=0.0008, TrainAcc=1.0000, TestLoss=0.0773, Test Accuracy=0.9785
Epoch 30: TrainLoss=0.0008, TrainAcc=1.0000, TestLoss=0.0800, Test Accuracy=0.9785
Epoch 31: TrainLoss=0.0007, TrainAcc=1.0000, TestLoss=0.0787, Test Accuracy=0.9785
Epoch 32: TrainLoss=0.0007, TrainAcc=1.0000, TestLoss=0.0798, Test Accuracy=0.9785
Epoch 33: TrainLoss=0.0006, TrainAcc=1.0000, TestLoss=0.0783, Test Accuracy=0.9785
Epoch 34: TrainLoss=0.0006, TrainAcc=1.0000, TestLoss=0.0815, Test Accuracy=0.9785
Epoch 35: TrainLoss=0.0006, TrainAcc=1.0000, TestLoss=0.0825, Test Accuracy=0.9785
Epoch 36: TrainLoss=0.0006, TrainAcc=1.0000, TestLoss=0.0811, Test Accuracy=0.9785
Epoch 37: TrainLoss=0.0005, TrainAcc=1.0000, TestLoss=0.0826, Test Accuracy=0.9785
Epoch 38: TrainLoss=0.0005, TrainAcc=1.0000, TestLoss=0.0823, Test Accuracy=0.9785
Epoch 39: TrainLoss=0.0004, TrainAcc=1.0000, TestLoss=0.0802, Test Accuracy=0.9785
Epoch 40: TrainLoss=0.0004, TrainAcc=1.0000, TestLoss=0.0830, Test Accuracy=0.9785
Epoch 41: TrainLoss=0.0004, TrainAcc=1.0000, TestLoss=0.0838, Test Accuracy=0.9785
Epoch 42: TrainLoss=0.0004, TrainAcc=1.0000, TestLoss=0.0839, Test Accuracy=0.9785
Epoch 43: TrainLoss=0.0004, TrainAcc=1.0000, TestLoss=0.0836, Test Accuracy=0.9785
Epoch 44: TrainLoss=0.0004, TrainAcc=1.0000, TestLoss=0.0842, Test Accuracy=0.9785
Epoch 45: TrainLoss=0.0003, TrainAcc=1.0000, TestLoss=0.0830, Test Accuracy=0.9785
Epoch 46: TrainLoss=0.0003, TrainAcc=1.0000, TestLoss=0.0837, Test Accuracy=0.9785
Epoch 47: TrainLoss=0.0003, TrainAcc=1.0000, TestLoss=0.0828, Test Accuracy=0.9785
Epoch 48: TrainLoss=0.0003, TrainAcc=1.0000, TestLoss=0.0867, Test Accuracy=0.9785
Epoch 49: TrainLoss=0.0003, TrainAcc=1.0000, TestLoss=0.0843, Test Accuracy=0.9785
Epoch 50: TrainLoss=0.0003, TrainAcc=1.0000, TestLoss=0.0847, Test Accuracy=0.9785
Epoch 51: TrainLoss=0.0003, TrainAcc=1.0000, TestLoss=0.0848, Test Accuracy=0.9785
Epoch 52: TrainLoss=0.0002, TrainAcc=1.0000, TestLoss=0.0854, Test Accuracy=0.9785
Epoch 53: TrainLoss=0.0002, TrainAcc=1.0000, TestLoss=0.0846, Test Accuracy=0.9785
Epoch 54: TrainLoss=0.0002, TrainAcc=1.0000, TestLoss=0.0860, Test Accuracy=0.9785
Epoch 55: TrainLoss=0.0002, TrainAcc=1.0000, TestLoss=0.0856, Test Accuracy=0.9785
Epoch 56: TrainLoss=0.0002, TrainAcc=1.0000, TestLoss=0.0862, Test Accuracy=0.9759
Epoch 57: TrainLoss=0.0002, TrainAcc=1.0000, TestLoss=0.0858, Test Accuracy=0.9785
