==== Model Run Details ====
Dataset: japanesevowels
Model type: lstm
Activation: relu
Block init fn: sparse
Train batch size: 16
Test batch size: 128
Epochs: 250
Decay epochs: [80, 160]
Decay scalar: 0.1
Hidden size: 128
Bidirectional: True
Number of layers: 3
L2 regularization: 0.0
Learning rate: 0.001
Trials: 3
==========================


--- Trial 1/3 ---
Epoch 1: TrainLoss=2.1708, TrainAcc=0.1523, TestLoss=2.0211, Test Accuracy=0.3372
Epoch 2: TrainLoss=1.8172, TrainAcc=0.3482, TestLoss=1.6232, Test Accuracy=0.4904
Epoch 3: TrainLoss=1.4609, TrainAcc=0.4821, TestLoss=1.2679, Test Accuracy=0.5170
Epoch 4: TrainLoss=1.2579, TrainAcc=0.5000, TestLoss=1.1345, Test Accuracy=0.6044
Epoch 5: TrainLoss=1.0747, TrainAcc=0.5746, TestLoss=0.9803, Test Accuracy=0.6799
Epoch 6: TrainLoss=1.0372, TrainAcc=0.6161, TestLoss=0.9477, Test Accuracy=0.6900
Epoch 7: TrainLoss=0.9020, TrainAcc=0.6602, TestLoss=0.8905, Test Accuracy=0.6786
Epoch 8: TrainLoss=0.8184, TrainAcc=0.7138, TestLoss=0.6617, Test Accuracy=0.7875
Epoch 9: TrainLoss=0.7420, TrainAcc=0.7096, TestLoss=0.7114, Test Accuracy=0.7394
Epoch 10: TrainLoss=0.7572, TrainAcc=0.7306, TestLoss=0.6195, Test Accuracy=0.7943
Epoch 11: TrainLoss=0.6636, TrainAcc=0.7489, TestLoss=0.6477, Test Accuracy=0.7807
Epoch 12: TrainLoss=0.7415, TrainAcc=0.7290, TestLoss=0.6768, Test Accuracy=0.7892
Epoch 13: TrainLoss=0.6998, TrainAcc=0.7631, TestLoss=0.6689, Test Accuracy=0.7791
Epoch 14: TrainLoss=0.6388, TrainAcc=0.7673, TestLoss=0.6170, Test Accuracy=0.8302
Epoch 15: TrainLoss=0.6211, TrainAcc=0.8072, TestLoss=0.5900, Test Accuracy=0.8035
Epoch 16: TrainLoss=0.5447, TrainAcc=0.8309, TestLoss=0.4639, Test Accuracy=0.8825
Epoch 17: TrainLoss=0.4235, TrainAcc=0.9002, TestLoss=0.3715, Test Accuracy=0.9180
Epoch 18: TrainLoss=0.4035, TrainAcc=0.9081, TestLoss=0.3952, Test Accuracy=0.9073
