==== Model Run Details ====
Dataset: japanesevowels
Model type: rnn
Activation: relu
Block init fn: sparse
Train batch size: 16
Test batch size: 128
Epochs: 250
Decay epochs: [80, 160]
Decay scalar: 0.1
Hidden size: 128
Bidirectional: True
Number of layers: 3
L2 regularization: 0.0001
Learning rate: 0.001
Trials: 3
==========================


--- Trial 1/3 ---
Epoch 1: TrainLoss=2.1616, TrainAcc=0.1775, TestLoss=2.0546, Test Accuracy=0.4951
Epoch 2: TrainLoss=1.7844, TrainAcc=0.3298, TestLoss=1.2677, Test Accuracy=0.3676
Epoch 3: TrainLoss=1.2971, TrainAcc=0.4753, TestLoss=1.1011, Test Accuracy=0.6003
Epoch 4: TrainLoss=1.0771, TrainAcc=0.5898, TestLoss=0.9229, Test Accuracy=0.6514
Epoch 5: TrainLoss=1.0353, TrainAcc=0.5956, TestLoss=1.1479, Test Accuracy=0.5393
Epoch 6: TrainLoss=0.8563, TrainAcc=0.7069, TestLoss=0.7329, Test Accuracy=0.7202
Epoch 7: TrainLoss=0.6513, TrainAcc=0.7752, TestLoss=0.9271, Test Accuracy=0.6650
Epoch 8: TrainLoss=0.7637, TrainAcc=0.7006, TestLoss=0.5282, Test Accuracy=0.8204
Epoch 9: TrainLoss=0.4637, TrainAcc=0.8661, TestLoss=0.3703, Test Accuracy=0.8839
Epoch 10: TrainLoss=0.4823, TrainAcc=0.8487, TestLoss=0.4699, Test Accuracy=0.8465
Epoch 11: TrainLoss=0.3299, TrainAcc=0.8892, TestLoss=0.2714, Test Accuracy=0.9115
Epoch 12: TrainLoss=0.3319, TrainAcc=0.8876, TestLoss=0.5523, Test Accuracy=0.8243
Epoch 13: TrainLoss=0.5652, TrainAcc=0.8225, TestLoss=0.3229, Test Accuracy=0.9109
Epoch 14: TrainLoss=0.3294, TrainAcc=0.9154, TestLoss=0.2865, Test Accuracy=0.9131
Epoch 15: TrainLoss=0.2458, TrainAcc=0.9328, TestLoss=0.2054, Test Accuracy=0.9252
Epoch 16: TrainLoss=0.1812, TrainAcc=0.9296, TestLoss=0.2127, Test Accuracy=0.9336
Epoch 17: TrainLoss=0.1553, TrainAcc=0.9407, TestLoss=0.1729, Test Accuracy=0.9362
