==== Model Run Details ====
Dataset: japanesevowels
Model type: scn
Block sizes: [32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32]
Block config: 1
Activation: relu
Coupling topology: 20
Block init fn: sparse
Coupling block init fn: uniform
Train batch size: 16
Test batch size: 128
Epochs: 250
Decay epochs: [80, 160]
Decay scalar: 0.1
Gating: False
Gate bounds: [1e-05, 0.2]
Euler step: 0.1
Learning rate: 0.01
Trials: 3
==========================


--- Trial 1/3 ---
Epoch 1: TrainLoss=1.4686, TrainAcc=0.5242, TestLoss=0.7378, Test Accuracy=0.8384
Epoch 2: TrainLoss=0.4976, TrainAcc=0.8965, TestLoss=0.2449, Test Accuracy=0.9506
Epoch 3: TrainLoss=0.2784, TrainAcc=0.9228, TestLoss=0.1745, Test Accuracy=0.9567
Epoch 4: TrainLoss=0.2148, TrainAcc=0.9259, TestLoss=0.1483, Test Accuracy=0.9564
Epoch 5: TrainLoss=0.1776, TrainAcc=0.9338, TestLoss=0.1172, Test Accuracy=0.9675
Epoch 6: TrainLoss=0.1123, TrainAcc=0.9669, TestLoss=0.1069, Test Accuracy=0.9707
Epoch 7: TrainLoss=0.0643, TrainAcc=0.9926, TestLoss=0.0840, Test Accuracy=0.9759
Epoch 8: TrainLoss=0.0489, TrainAcc=0.9890, TestLoss=0.0882, Test Accuracy=0.9759
Epoch 9: TrainLoss=0.0498, TrainAcc=0.9774, TestLoss=0.1294, Test Accuracy=0.9603
Epoch 10: TrainLoss=0.0479, TrainAcc=0.9926, TestLoss=0.1023, Test Accuracy=0.9704
Epoch 11: TrainLoss=0.0500, TrainAcc=0.9816, TestLoss=0.1063, Test Accuracy=0.9626
Epoch 12: TrainLoss=0.0397, TrainAcc=0.9890, TestLoss=0.0878, Test Accuracy=0.9733
Epoch 13: TrainLoss=0.0260, TrainAcc=0.9963, TestLoss=0.0869, Test Accuracy=0.9759
Epoch 14: TrainLoss=0.0266, TrainAcc=0.9926, TestLoss=0.0862, Test Accuracy=0.9756
Epoch 15: TrainLoss=0.0144, TrainAcc=1.0000, TestLoss=0.0821, Test Accuracy=0.9785
Epoch 16: TrainLoss=0.0102, TrainAcc=1.0000, TestLoss=0.0833, Test Accuracy=0.9785
Epoch 17: TrainLoss=0.0078, TrainAcc=1.0000, TestLoss=0.0817, Test Accuracy=0.9785
Epoch 18: TrainLoss=0.0065, TrainAcc=1.0000, TestLoss=0.0889, Test Accuracy=0.9785
Epoch 19: TrainLoss=0.0063, TrainAcc=1.0000, TestLoss=0.0832, Test Accuracy=0.9785
Epoch 20: TrainLoss=0.0046, TrainAcc=1.0000, TestLoss=0.0861, Test Accuracy=0.9785
Epoch 21: TrainLoss=0.0041, TrainAcc=1.0000, TestLoss=0.0833, Test Accuracy=0.9785
Epoch 22: TrainLoss=0.0037, TrainAcc=1.0000, TestLoss=0.0826, Test Accuracy=0.9785
Epoch 23: TrainLoss=0.0037, TrainAcc=1.0000, TestLoss=0.0852, Test Accuracy=0.9785
Epoch 24: TrainLoss=0.0031, TrainAcc=1.0000, TestLoss=0.0861, Test Accuracy=0.9785
Epoch 25: TrainLoss=0.0028, TrainAcc=1.0000, TestLoss=0.0839, Test Accuracy=0.9785
Epoch 26: TrainLoss=0.0032, TrainAcc=1.0000, TestLoss=0.0889, Test Accuracy=0.9785
Epoch 27: TrainLoss=0.0029, TrainAcc=1.0000, TestLoss=0.0825, Test Accuracy=0.9785
Epoch 28: TrainLoss=0.0023, TrainAcc=1.0000, TestLoss=0.0882, Test Accuracy=0.9785
Epoch 29: TrainLoss=0.0021, TrainAcc=1.0000, TestLoss=0.0881, Test Accuracy=0.9785
Epoch 30: TrainLoss=0.0019, TrainAcc=1.0000, TestLoss=0.0846, Test Accuracy=0.9785
Epoch 31: TrainLoss=0.0019, TrainAcc=1.0000, TestLoss=0.0855, Test Accuracy=0.9785
Epoch 32: TrainLoss=0.0017, TrainAcc=1.0000, TestLoss=0.0859, Test Accuracy=0.9785
Epoch 33: TrainLoss=0.0017, TrainAcc=1.0000, TestLoss=0.0874, Test Accuracy=0.9785
Epoch 34: TrainLoss=0.0016, TrainAcc=1.0000, TestLoss=0.0891, Test Accuracy=0.9785
Epoch 35: TrainLoss=0.0014, TrainAcc=1.0000, TestLoss=0.0874, Test Accuracy=0.9785
Epoch 36: TrainLoss=0.0014, TrainAcc=1.0000, TestLoss=0.0868, Test Accuracy=0.9785
Epoch 37: TrainLoss=0.0013, TrainAcc=1.0000, TestLoss=0.0866, Test Accuracy=0.9785
Epoch 38: TrainLoss=0.0012, TrainAcc=1.0000, TestLoss=0.0883, Test Accuracy=0.9785
Epoch 39: TrainLoss=0.0012, TrainAcc=1.0000, TestLoss=0.0882, Test Accuracy=0.9785
Epoch 40: TrainLoss=0.0011, TrainAcc=1.0000, TestLoss=0.0872, Test Accuracy=0.9785
