==== Model Run Details ====
Dataset: newstitlesentiment
Model type: adadiag
Block sizes: [8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8]
Block config: 3
Activation: relu
Coupling topology: 5
Block init fn: diagonal
Coupling block init fn: uniform
Train batch size: 1024
Test batch size: 1024
Epochs: 50
Decay epochs: [20, 40]
Decay scalar: 0.1
Gating: True
Gate bounds: [1e-05, 0.2]
Euler step: 0.01
Learning rate: 0.001
Trials: 3
==========================


--- Trial 1/3 ---
Epoch 1: TrainLoss=0.1590, TestLoss=0.0298, Test RMSE=0.1775
Epoch 2: TrainLoss=0.1207, TestLoss=0.2274, Test RMSE=0.4998
Epoch 3: TrainLoss=0.2863, TestLoss=0.2115, Test RMSE=0.4821
Epoch 4: TrainLoss=0.0629, TestLoss=0.0511, Test RMSE=0.2348
Epoch 5: TrainLoss=0.0475, TestLoss=0.0355, Test RMSE=0.1945
Epoch 6: TrainLoss=0.0341, TestLoss=0.0266, Test RMSE=0.1673
Epoch 7: TrainLoss=0.0224, TestLoss=0.0205, Test RMSE=0.1457
Epoch 8: TrainLoss=0.0214, TestLoss=0.0249, Test RMSE=0.1615
Epoch 9: TrainLoss=0.0381, TestLoss=0.0242, Test RMSE=0.1590
Epoch 10: TrainLoss=0.0268, TestLoss=0.0203, Test RMSE=0.1450
Epoch 11: TrainLoss=0.0278, TestLoss=0.0211, Test RMSE=0.1480
Epoch 12: TrainLoss=0.0238, TestLoss=0.0228, Test RMSE=0.1544
Epoch 13: TrainLoss=0.0197, TestLoss=0.0192, Test RMSE=0.1408
Epoch 14: TrainLoss=0.0194, TestLoss=0.0192, Test RMSE=0.1407
Epoch 15: TrainLoss=0.0198, TestLoss=0.0198, Test RMSE=0.1433
Epoch 16: TrainLoss=0.0198, TestLoss=0.0196, Test RMSE=0.1422
Epoch 17: TrainLoss=0.0191, TestLoss=0.0195, Test RMSE=0.1417
Epoch 18: TrainLoss=0.0195, TestLoss=0.0196, Test RMSE=0.1424
Epoch 19: TrainLoss=0.0520, TestLoss=0.0407, Test RMSE=0.2086
Epoch 20: TrainLoss=0.2321, TestLoss=0.0224, Test RMSE=0.1528
Epoch 21: TrainLoss=0.0209, TestLoss=0.0201, Test RMSE=0.1444
Epoch 22: TrainLoss=0.0200, TestLoss=0.0199, Test RMSE=0.1436
Epoch 23: TrainLoss=0.0199, TestLoss=0.0198, Test RMSE=0.1432
