==== Model Run Details ====
Dataset: pems
Model type: adadiag
Block sizes: [32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32]
Block config: 3
Activation: relu
Coupling topology: 500
Block init fn: diagonal
Coupling block init fn: uniform
Train batch size: 16
Test batch size: 128
Epochs: 250
Decay epochs: [80, 160]
Decay scalar: 0.1
Gating: True
Gate bounds: [1e-05, 0.2]
Euler step: 0.01
Learning rate: 0.01
Trials: 3
==========================


--- Trial 1/3 ---
Epoch 1: TrainLoss=2.0287, TrainAcc=0.2269, TestLoss=1.6357, Test Accuracy=0.2701
Epoch 2: TrainLoss=1.1328, TrainAcc=0.5338, TestLoss=0.6818, Test Accuracy=0.8089
Epoch 3: TrainLoss=1.1271, TrainAcc=0.5702, TestLoss=0.8582, Test Accuracy=0.6759
Epoch 4: TrainLoss=0.7269, TrainAcc=0.6661, TestLoss=0.5393, Test Accuracy=0.7861
Epoch 5: TrainLoss=0.4645, TrainAcc=0.7928, TestLoss=0.6483, Test Accuracy=0.6843
Epoch 6: TrainLoss=0.5113, TrainAcc=0.8219, TestLoss=0.5672, Test Accuracy=0.7417
Epoch 7: TrainLoss=0.5291, TrainAcc=0.8035, TestLoss=0.5519, Test Accuracy=0.7188
Epoch 8: TrainLoss=0.4435, TrainAcc=0.8072, TestLoss=0.6046, Test Accuracy=0.8291
Epoch 9: TrainLoss=0.6253, TrainAcc=0.7614, TestLoss=0.8896, Test Accuracy=0.6242
Epoch 10: TrainLoss=0.4925, TrainAcc=0.7908, TestLoss=0.9684, Test Accuracy=0.6954
Epoch 11: TrainLoss=0.4249, TrainAcc=0.8422, TestLoss=0.7643, Test Accuracy=0.7260
Epoch 12: TrainLoss=0.4314, TrainAcc=0.8255, TestLoss=0.4123, Test Accuracy=0.8741
Epoch 13: TrainLoss=0.1836, TrainAcc=0.9435, TestLoss=0.3671, Test Accuracy=0.8519
Epoch 14: TrainLoss=0.1580, TrainAcc=0.9338, TestLoss=0.2950, Test Accuracy=0.9048
Epoch 15: TrainLoss=0.1508, TrainAcc=0.9375, TestLoss=1.0222, Test Accuracy=0.6464
Epoch 16: TrainLoss=0.5472, TrainAcc=0.7924, TestLoss=0.6196, Test Accuracy=0.7384
Epoch 17: TrainLoss=0.2927, TrainAcc=0.9064, TestLoss=0.5035, Test Accuracy=0.8390
Epoch 18: TrainLoss=0.1251, TrainAcc=0.9596, TestLoss=0.4077, Test Accuracy=0.9126
Epoch 19: TrainLoss=0.0532, TrainAcc=0.9890, TestLoss=0.3624, Test Accuracy=0.9243
Epoch 20: TrainLoss=0.0280, TrainAcc=0.9963, TestLoss=0.3300, Test Accuracy=0.9237
Epoch 21: TrainLoss=0.0113, TrainAcc=1.0000, TestLoss=0.3994, Test Accuracy=0.9015
Epoch 22: TrainLoss=0.0098, TrainAcc=1.0000, TestLoss=0.4822, Test Accuracy=0.9171
Epoch 23: TrainLoss=0.0034, TrainAcc=1.0000, TestLoss=0.4432, Test Accuracy=0.9354
Epoch 24: TrainLoss=0.0017, TrainAcc=1.0000, TestLoss=0.4718, Test Accuracy=0.9093
Epoch 25: TrainLoss=0.0014, TrainAcc=1.0000, TestLoss=0.4524, Test Accuracy=0.9132
Epoch 26: TrainLoss=0.0009, TrainAcc=1.0000, TestLoss=0.4292, Test Accuracy=0.9243
Epoch 27: TrainLoss=0.0007, TrainAcc=1.0000, TestLoss=0.4508, Test Accuracy=0.9132
Epoch 28: TrainLoss=0.0006, TrainAcc=1.0000, TestLoss=0.4729, Test Accuracy=0.9132
Epoch 29: TrainLoss=0.0006, TrainAcc=1.0000, TestLoss=0.4481, Test Accuracy=0.9243
Epoch 30: TrainLoss=0.0005, TrainAcc=1.0000, TestLoss=0.4682, Test Accuracy=0.9132
Epoch 31: TrainLoss=0.0004, TrainAcc=1.0000, TestLoss=0.4827, Test Accuracy=0.9132
Epoch 32: TrainLoss=0.0004, TrainAcc=1.0000, TestLoss=0.4766, Test Accuracy=0.9132
Epoch 33: TrainLoss=0.0003, TrainAcc=1.0000, TestLoss=0.4805, Test Accuracy=0.9132
Epoch 34: TrainLoss=0.0003, TrainAcc=1.0000, TestLoss=0.4848, Test Accuracy=0.9132
Epoch 35: TrainLoss=0.0003, TrainAcc=1.0000, TestLoss=0.4855, Test Accuracy=0.9132
Epoch 36: TrainLoss=0.0003, TrainAcc=1.0000, TestLoss=0.4885, Test Accuracy=0.9132
Epoch 37: TrainLoss=0.0003, TrainAcc=1.0000, TestLoss=0.4949, Test Accuracy=0.9132
Epoch 38: TrainLoss=0.0002, TrainAcc=1.0000, TestLoss=0.4907, Test Accuracy=0.9132
Epoch 39: TrainLoss=0.0002, TrainAcc=1.0000, TestLoss=0.5004, Test Accuracy=0.9132
Epoch 40: TrainLoss=0.0002, TrainAcc=1.0000, TestLoss=0.4984, Test Accuracy=0.9132
Epoch 41: TrainLoss=0.0002, TrainAcc=1.0000, TestLoss=0.5039, Test Accuracy=0.9132
Epoch 42: TrainLoss=0.0002, TrainAcc=1.0000, TestLoss=0.5095, Test Accuracy=0.9132
Epoch 43: TrainLoss=0.0002, TrainAcc=1.0000, TestLoss=0.5090, Test Accuracy=0.9132
Epoch 44: TrainLoss=0.0002, TrainAcc=1.0000, TestLoss=0.5175, Test Accuracy=0.9132
Epoch 45: TrainLoss=0.0002, TrainAcc=1.0000, TestLoss=0.5142, Test Accuracy=0.9132
Epoch 46: TrainLoss=0.0002, TrainAcc=1.0000, TestLoss=0.5171, Test Accuracy=0.9132
Epoch 47: TrainLoss=0.0001, TrainAcc=1.0000, TestLoss=0.5243, Test Accuracy=0.9132
Epoch 48: TrainLoss=0.0001, TrainAcc=1.0000, TestLoss=0.5256, Test Accuracy=0.9132
Epoch 49: TrainLoss=0.0001, TrainAcc=1.0000, TestLoss=0.5261, Test Accuracy=0.9132
Epoch 50: TrainLoss=0.0001, TrainAcc=1.0000, TestLoss=0.5267, Test Accuracy=0.9132
Epoch 51: TrainLoss=0.0001, TrainAcc=1.0000, TestLoss=0.5363, Test Accuracy=0.9132
Epoch 52: TrainLoss=0.0001, TrainAcc=1.0000, TestLoss=0.5388, Test Accuracy=0.9132
Epoch 53: TrainLoss=0.0001, TrainAcc=1.0000, TestLoss=0.5375, Test Accuracy=0.9132
Epoch 54: TrainLoss=0.0001, TrainAcc=1.0000, TestLoss=0.5379, Test Accuracy=0.9132
Epoch 55: TrainLoss=0.0001, TrainAcc=1.0000, TestLoss=0.5420, Test Accuracy=0.9132
Epoch 56: TrainLoss=0.0001, TrainAcc=1.0000, TestLoss=0.5400, Test Accuracy=0.9132
Epoch 57: TrainLoss=0.0001, TrainAcc=1.0000, TestLoss=0.5468, Test Accuracy=0.9132
Epoch 58: TrainLoss=0.0001, TrainAcc=1.0000, TestLoss=0.5508, Test Accuracy=0.9132
Epoch 59: TrainLoss=0.0001, TrainAcc=1.0000, TestLoss=0.5486, Test Accuracy=0.9132
Epoch 60: TrainLoss=0.0001, TrainAcc=1.0000, TestLoss=0.5553, Test Accuracy=0.9132
Epoch 61: TrainLoss=0.0001, TrainAcc=1.0000, TestLoss=0.5579, Test Accuracy=0.9132
Epoch 62: TrainLoss=0.0001, TrainAcc=1.0000, TestLoss=0.5588, Test Accuracy=0.9132
Epoch 63: TrainLoss=0.0001, TrainAcc=1.0000, TestLoss=0.5556, Test Accuracy=0.9132
