==== Model Run Details ====
Dataset: pems
Model type: lstm
Activation: relu
Block init fn: sparse
Train batch size: 16
Test batch size: 128
Epochs: 250
Decay epochs: [80, 160]
Decay scalar: 0.1
Hidden size: 128
Bidirectional: True
Number of layers: 2
L2 regularization: 0.0
Learning rate: 0.001
Trials: 3
==========================


--- Trial 1/3 ---
Epoch 1: TrainLoss=1.9431, TrainAcc=0.1688, TestLoss=1.9458, Test Accuracy=0.1141
Epoch 2: TrainLoss=1.9032, TrainAcc=0.1618, TestLoss=1.8740, Test Accuracy=0.1292
Epoch 3: TrainLoss=1.8242, TrainAcc=0.2406, TestLoss=1.8711, Test Accuracy=0.1253
Epoch 4: TrainLoss=1.6994, TrainAcc=0.3041, TestLoss=1.6982, Test Accuracy=0.2583
Epoch 5: TrainLoss=1.4334, TrainAcc=0.4662, TestLoss=1.8995, Test Accuracy=0.2589
Epoch 6: TrainLoss=1.4174, TrainAcc=0.3780, TestLoss=1.3745, Test Accuracy=0.4671
Epoch 7: TrainLoss=1.2843, TrainAcc=0.4111, TestLoss=1.2744, Test Accuracy=0.5656
Epoch 8: TrainLoss=1.1281, TrainAcc=0.5779, TestLoss=1.2317, Test Accuracy=0.4677
Epoch 9: TrainLoss=1.0200, TrainAcc=0.5849, TestLoss=0.9958, Test Accuracy=0.6053
Epoch 10: TrainLoss=0.8878, TrainAcc=0.6842, TestLoss=1.1324, Test Accuracy=0.5722
Epoch 11: TrainLoss=0.7340, TrainAcc=0.6898, TestLoss=0.6122, Test Accuracy=0.8324
Epoch 12: TrainLoss=0.9295, TrainAcc=0.6016, TestLoss=0.7748, Test Accuracy=0.6726
Epoch 13: TrainLoss=0.6324, TrainAcc=0.7878, TestLoss=0.7431, Test Accuracy=0.7339
Epoch 14: TrainLoss=0.5138, TrainAcc=0.8439, TestLoss=0.6246, Test Accuracy=0.7423
Epoch 15: TrainLoss=0.4015, TrainAcc=0.8549, TestLoss=0.5963, Test Accuracy=0.7834
Epoch 16: TrainLoss=0.5459, TrainAcc=0.7557, TestLoss=0.5275, Test Accuracy=0.8546
Epoch 17: TrainLoss=0.4197, TrainAcc=0.8697, TestLoss=0.4047, Test Accuracy=0.8741
Epoch 18: TrainLoss=0.5067, TrainAcc=0.7998, TestLoss=0.5471, Test Accuracy=0.7711
Epoch 19: TrainLoss=0.5889, TrainAcc=0.7373, TestLoss=0.5172, Test Accuracy=0.8579
Epoch 20: TrainLoss=0.5419, TrainAcc=0.7597, TestLoss=0.5338, Test Accuracy=0.8141
Epoch 21: TrainLoss=0.4130, TrainAcc=0.8880, TestLoss=0.4500, Test Accuracy=0.8525
Epoch 22: TrainLoss=0.4272, TrainAcc=0.8553, TestLoss=0.5609, Test Accuracy=0.7483
Epoch 23: TrainLoss=0.3438, TrainAcc=0.8864, TestLoss=0.3434, Test Accuracy=0.9015
Epoch 24: TrainLoss=0.2818, TrainAcc=0.9191, TestLoss=0.3257, Test Accuracy=0.8976
Epoch 25: TrainLoss=0.2375, TrainAcc=0.9412, TestLoss=0.3590, Test Accuracy=0.8943
Epoch 26: TrainLoss=0.2310, TrainAcc=0.9449, TestLoss=0.4201, Test Accuracy=0.8441
Epoch 27: TrainLoss=0.5337, TrainAcc=0.7527, TestLoss=0.8477, Test Accuracy=0.6170
Epoch 28: TrainLoss=0.3112, TrainAcc=0.8867, TestLoss=0.4907, Test Accuracy=0.8258
Epoch 29: TrainLoss=0.2980, TrainAcc=0.8934, TestLoss=0.3390, Test Accuracy=0.8747
Epoch 30: TrainLoss=0.1799, TrainAcc=0.9706, TestLoss=0.3266, Test Accuracy=0.8904
Epoch 31: TrainLoss=0.3384, TrainAcc=0.8827, TestLoss=0.4540, Test Accuracy=0.8468
Epoch 32: TrainLoss=0.2608, TrainAcc=0.9248, TestLoss=0.3614, Test Accuracy=0.8898
