==== Model Run Details ====
Dataset: pems
Model type: rnn
Activation: relu
Block init fn: sparse
Train batch size: 16
Test batch size: 128
Epochs: 250
Decay epochs: [80, 160]
Decay scalar: 0.1
Hidden size: 128
Bidirectional: True
Number of layers: 3
L2 regularization: 0.0
Learning rate: 0.01
Trials: 3
==========================


--- Trial 1/3 ---
Epoch 1: TrainLoss=1.9529, TrainAcc=0.1451, TestLoss=1.9502, Test Accuracy=0.1220
Epoch 2: TrainLoss=1.8855, TrainAcc=0.1868, TestLoss=1.8381, Test Accuracy=0.1141
Epoch 3: TrainLoss=1.8147, TrainAcc=0.1875, TestLoss=1.9558, Test Accuracy=0.1292
Epoch 4: TrainLoss=1.8995, TrainAcc=0.1598, TestLoss=1.7693, Test Accuracy=0.3073
Epoch 5: TrainLoss=1.6389, TrainAcc=0.2423, TestLoss=1.6094, Test Accuracy=0.2100
Epoch 6: TrainLoss=1.3457, TrainAcc=0.3670, TestLoss=1.3217, Test Accuracy=0.3941
Epoch 7: TrainLoss=1.1638, TrainAcc=0.3686, TestLoss=1.1558, Test Accuracy=0.4554
Epoch 8: TrainLoss=1.0997, TrainAcc=0.4736, TestLoss=1.3976, Test Accuracy=0.2917
Epoch 9: TrainLoss=148922.1892, TrainAcc=0.3964, TestLoss=8.3066, Test Accuracy=0.1141
Epoch 10: TrainLoss=4.6798, TrainAcc=0.1761, TestLoss=1.8964, Test Accuracy=0.2556
Epoch 11: TrainLoss=1.8060, TrainAcc=0.2457, TestLoss=1.7665, Test Accuracy=0.2100
Epoch 12: TrainLoss=1.6367, TrainAcc=0.3048, TestLoss=1.7507, Test Accuracy=0.2499
Epoch 13: TrainLoss=1.5714, TrainAcc=0.2697, TestLoss=1.5290, Test Accuracy=0.2773
Epoch 14: TrainLoss=1.4320, TrainAcc=0.3285, TestLoss=1.3900, Test Accuracy=0.4064
Epoch 15: TrainLoss=1.3552, TrainAcc=0.3269, TestLoss=1.5383, Test Accuracy=0.2445
Epoch 16: TrainLoss=1.2509, TrainAcc=0.3944, TestLoss=1.3417, Test Accuracy=0.4025
Epoch 17: TrainLoss=1.0937, TrainAcc=0.4900, TestLoss=1.5609, Test Accuracy=0.3563
Epoch 18: TrainLoss=1.3305, TrainAcc=0.3857, TestLoss=1.3857, Test Accuracy=0.3608
Epoch 19: TrainLoss=1.2201, TrainAcc=0.4091, TestLoss=1.3432, Test Accuracy=0.3809
Epoch 20: TrainLoss=1.4785, TrainAcc=0.3964, TestLoss=1.3786, Test Accuracy=0.3190
Epoch 21: TrainLoss=1.1104, TrainAcc=0.5287, TestLoss=1.1239, Test Accuracy=0.5023
Epoch 22: TrainLoss=1.0067, TrainAcc=0.5742, TestLoss=1.1520, Test Accuracy=0.4671
Epoch 23: TrainLoss=0.9284, TrainAcc=0.6203, TestLoss=1.1468, Test Accuracy=0.5500
Epoch 24: TrainLoss=0.8775, TrainAcc=0.6273, TestLoss=1.0167, Test Accuracy=0.5903
Epoch 25: TrainLoss=0.7978, TrainAcc=0.6935, TestLoss=1.0682, Test Accuracy=0.5506
Epoch 26: TrainLoss=0.7585, TrainAcc=0.6918, TestLoss=1.0786, Test Accuracy=0.5101
Epoch 27: TrainLoss=0.7248, TrainAcc=0.7022, TestLoss=1.1569, Test Accuracy=0.5740
Epoch 28: TrainLoss=0.6691, TrainAcc=0.7510, TestLoss=1.5070, Test Accuracy=0.4860
Epoch 29: TrainLoss=0.6988, TrainAcc=0.7376, TestLoss=0.9844, Test Accuracy=0.6002
Epoch 30: TrainLoss=0.6993, TrainAcc=0.7029, TestLoss=1.1383, Test Accuracy=0.5062
Epoch 31: TrainLoss=0.6065, TrainAcc=0.7473, TestLoss=1.1118, Test Accuracy=0.5740
Epoch 32: TrainLoss=0.8518, TrainAcc=0.6166, TestLoss=1.2735, Test Accuracy=0.5089
Epoch 33: TrainLoss=0.7187, TrainAcc=0.6791, TestLoss=1.0269, Test Accuracy=0.6497
Epoch 34: TrainLoss=0.4862, TrainAcc=0.8292, TestLoss=0.9832, Test Accuracy=0.6915
Epoch 35: TrainLoss=0.3622, TrainAcc=0.9158, TestLoss=1.3084, Test Accuracy=0.6125
Epoch 36: TrainLoss=0.3882, TrainAcc=0.8443, TestLoss=1.0040, Test Accuracy=0.6236
Epoch 37: TrainLoss=0.6312, TrainAcc=0.7400, TestLoss=0.8891, Test Accuracy=0.6927
Epoch 38: TrainLoss=0.5924, TrainAcc=0.7226, TestLoss=0.8314, Test Accuracy=0.6648
Epoch 39: TrainLoss=0.4107, TrainAcc=0.8386, TestLoss=0.9652, Test Accuracy=0.6837
Epoch 40: TrainLoss=0.2481, TrainAcc=0.9485, TestLoss=1.0150, Test Accuracy=0.7260
Epoch 41: TrainLoss=0.1762, TrainAcc=0.9616, TestLoss=1.1247, Test Accuracy=0.7182
Epoch 42: TrainLoss=0.1280, TrainAcc=0.9853, TestLoss=1.1510, Test Accuracy=0.7801
Epoch 43: TrainLoss=0.1243, TrainAcc=0.9743, TestLoss=1.4775, Test Accuracy=0.7456
Epoch 44: TrainLoss=0.0843, TrainAcc=0.9816, TestLoss=1.2406, Test Accuracy=0.7567
Epoch 45: TrainLoss=0.0668, TrainAcc=0.9853, TestLoss=1.3227, Test Accuracy=0.7456
Epoch 46: TrainLoss=0.0648, TrainAcc=0.9963, TestLoss=1.4621, Test Accuracy=0.7378
Epoch 47: TrainLoss=0.0820, TrainAcc=0.9672, TestLoss=1.3094, Test Accuracy=0.7789
Epoch 48: TrainLoss=0.0585, TrainAcc=0.9926, TestLoss=1.2930, Test Accuracy=0.7978
