==== Model Run Details ====
Dataset: pems
Model type: scn
Block sizes: [32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32]
Block config: 2
Activation: relu
Coupling topology: 20
Block init fn: sparse
Coupling block init fn: uniform
Train batch size: 16
Test batch size: 128
Epochs: 250
Decay epochs: [80, 160]
Decay scalar: 0.1
Gating: False
Gate bounds: [1e-05, 0.2]
Euler step: 0.01
Learning rate: 0.01
Trials: 3
==========================


--- Trial 1/3 ---
Epoch 1: TrainLoss=2.9696, TrainAcc=0.1026, TestLoss=2.2296, Test Accuracy=0.1532
Epoch 2: TrainLoss=2.0293, TrainAcc=0.2109, TestLoss=2.0234, Test Accuracy=0.1481
Epoch 3: TrainLoss=1.7927, TrainAcc=0.2854, TestLoss=1.7743, Test Accuracy=0.2863
Epoch 4: TrainLoss=1.6262, TrainAcc=0.3506, TestLoss=1.6143, Test Accuracy=0.2674
Epoch 5: TrainLoss=1.2915, TrainAcc=0.4846, TestLoss=1.2565, Test Accuracy=0.4800
Epoch 6: TrainLoss=1.2641, TrainAcc=0.4552, TestLoss=1.2747, Test Accuracy=0.4305
Epoch 7: TrainLoss=1.1874, TrainAcc=0.5137, TestLoss=1.2586, Test Accuracy=0.4344
Epoch 8: TrainLoss=1.0875, TrainAcc=0.5508, TestLoss=1.2933, Test Accuracy=0.3797
Epoch 9: TrainLoss=1.0216, TrainAcc=0.5672, TestLoss=0.9836, Test Accuracy=0.5786
Epoch 10: TrainLoss=1.0402, TrainAcc=0.5745, TestLoss=1.0805, Test Accuracy=0.5368
Epoch 11: TrainLoss=0.9471, TrainAcc=0.6090, TestLoss=1.3395, Test Accuracy=0.4671
Epoch 12: TrainLoss=0.8165, TrainAcc=0.6898, TestLoss=0.8435, Test Accuracy=0.6503
Epoch 13: TrainLoss=0.8017, TrainAcc=0.6935, TestLoss=1.1350, Test Accuracy=0.5401
Epoch 14: TrainLoss=0.6122, TrainAcc=0.7888, TestLoss=0.8475, Test Accuracy=0.6332
Epoch 15: TrainLoss=0.6088, TrainAcc=0.7356, TestLoss=1.5651, Test Accuracy=0.4272
Epoch 16: TrainLoss=0.7450, TrainAcc=0.6628, TestLoss=0.8700, Test Accuracy=0.6431
Epoch 17: TrainLoss=0.6547, TrainAcc=0.7283, TestLoss=0.7764, Test Accuracy=0.7038
Epoch 18: TrainLoss=0.4830, TrainAcc=0.8035, TestLoss=0.9170, Test Accuracy=0.5909
Epoch 19: TrainLoss=0.6294, TrainAcc=0.7413, TestLoss=1.0065, Test Accuracy=0.5852
Epoch 20: TrainLoss=0.5319, TrainAcc=0.7704, TestLoss=1.0562, Test Accuracy=0.5942
Epoch 21: TrainLoss=0.5875, TrainAcc=0.7704, TestLoss=0.9652, Test Accuracy=0.5819
Epoch 22: TrainLoss=0.4011, TrainAcc=0.8676, TestLoss=0.7626, Test Accuracy=0.7227
Epoch 23: TrainLoss=0.3094, TrainAcc=0.8917, TestLoss=0.9446, Test Accuracy=0.6242
Epoch 24: TrainLoss=0.3382, TrainAcc=0.8770, TestLoss=0.8733, Test Accuracy=0.6098
Epoch 25: TrainLoss=0.4132, TrainAcc=0.8356, TestLoss=0.9023, Test Accuracy=0.6308
Epoch 26: TrainLoss=0.4013, TrainAcc=0.8349, TestLoss=1.5487, Test Accuracy=0.5356
Epoch 27: TrainLoss=0.3542, TrainAcc=0.8586, TestLoss=0.9617, Test Accuracy=0.6503
Epoch 28: TrainLoss=0.2719, TrainAcc=0.8974, TestLoss=1.2098, Test Accuracy=0.6098
Epoch 29: TrainLoss=0.3337, TrainAcc=0.8697, TestLoss=0.6763, Test Accuracy=0.7678
Epoch 30: TrainLoss=0.2693, TrainAcc=0.8994, TestLoss=0.8063, Test Accuracy=0.7071
Epoch 31: TrainLoss=0.2742, TrainAcc=0.9084, TestLoss=1.1225, Test Accuracy=0.6654
Epoch 32: TrainLoss=0.2944, TrainAcc=0.8917, TestLoss=1.0802, Test Accuracy=0.6326
Epoch 33: TrainLoss=0.3663, TrainAcc=0.8713, TestLoss=0.7286, Test Accuracy=0.7273
Epoch 34: TrainLoss=0.1568, TrainAcc=0.9522, TestLoss=0.7292, Test Accuracy=0.7795
Epoch 35: TrainLoss=0.1157, TrainAcc=0.9522, TestLoss=0.7204, Test Accuracy=0.7567
Epoch 36: TrainLoss=0.0995, TrainAcc=0.9779, TestLoss=0.9147, Test Accuracy=0.6744
Epoch 37: TrainLoss=0.1638, TrainAcc=0.9322, TestLoss=0.7251, Test Accuracy=0.7411
Epoch 38: TrainLoss=0.1191, TrainAcc=0.9743, TestLoss=0.6819, Test Accuracy=0.7306
Epoch 39: TrainLoss=0.0584, TrainAcc=0.9926, TestLoss=0.6360, Test Accuracy=0.7684
Epoch 40: TrainLoss=0.0518, TrainAcc=0.9926, TestLoss=0.6398, Test Accuracy=0.7873
Epoch 41: TrainLoss=0.0362, TrainAcc=0.9963, TestLoss=0.6210, Test Accuracy=0.7612
Epoch 42: TrainLoss=0.0474, TrainAcc=0.9926, TestLoss=0.6241, Test Accuracy=0.7957
Epoch 43: TrainLoss=0.0787, TrainAcc=0.9816, TestLoss=0.6808, Test Accuracy=0.7801
Epoch 44: TrainLoss=0.0540, TrainAcc=0.9926, TestLoss=0.7027, Test Accuracy=0.7795
Epoch 45: TrainLoss=0.0504, TrainAcc=0.9890, TestLoss=0.6048, Test Accuracy=0.7801
Epoch 46: TrainLoss=0.0617, TrainAcc=0.9853, TestLoss=0.8343, Test Accuracy=0.7456
Epoch 47: TrainLoss=0.0445, TrainAcc=0.9963, TestLoss=0.8319, Test Accuracy=0.7345
Epoch 48: TrainLoss=0.0570, TrainAcc=0.9816, TestLoss=0.8822, Test Accuracy=0.7912
Epoch 49: TrainLoss=0.0431, TrainAcc=1.0000, TestLoss=0.6658, Test Accuracy=0.7762
Epoch 50: TrainLoss=0.0320, TrainAcc=0.9890, TestLoss=0.6801, Test Accuracy=0.7723
Epoch 51: TrainLoss=0.0549, TrainAcc=0.9799, TestLoss=1.4326, Test Accuracy=0.6960
Epoch 52: TrainLoss=0.1145, TrainAcc=0.9542, TestLoss=0.5883, Test Accuracy=0.8363
Epoch 53: TrainLoss=0.0427, TrainAcc=0.9890, TestLoss=0.6970, Test Accuracy=0.7684
Epoch 54: TrainLoss=0.0775, TrainAcc=0.9669, TestLoss=0.8042, Test Accuracy=0.7717
Epoch 55: TrainLoss=0.0280, TrainAcc=0.9926, TestLoss=0.7283, Test Accuracy=0.7612
Epoch 56: TrainLoss=0.0146, TrainAcc=1.0000, TestLoss=0.6731, Test Accuracy=0.7840
Epoch 57: TrainLoss=0.0104, TrainAcc=1.0000, TestLoss=0.7250, Test Accuracy=0.7762
Epoch 58: TrainLoss=0.0074, TrainAcc=1.0000, TestLoss=0.7826, Test Accuracy=0.7651
Epoch 59: TrainLoss=0.0059, TrainAcc=1.0000, TestLoss=0.7253, Test Accuracy=0.7690
Epoch 60: TrainLoss=0.0054, TrainAcc=1.0000, TestLoss=0.7571, Test Accuracy=0.7690
Epoch 61: TrainLoss=0.0048, TrainAcc=1.0000, TestLoss=0.7668, Test Accuracy=0.7690
Epoch 62: TrainLoss=0.0045, TrainAcc=1.0000, TestLoss=0.7544, Test Accuracy=0.7651
Epoch 63: TrainLoss=0.0047, TrainAcc=1.0000, TestLoss=0.7783, Test Accuracy=0.7612
Epoch 64: TrainLoss=0.0045, TrainAcc=1.0000, TestLoss=0.7809, Test Accuracy=0.7612
Epoch 65: TrainLoss=0.0040, TrainAcc=1.0000, TestLoss=0.7993, Test Accuracy=0.7612
Epoch 66: TrainLoss=0.0042, TrainAcc=1.0000, TestLoss=0.7939, Test Accuracy=0.7651
Epoch 67: TrainLoss=0.0038, TrainAcc=1.0000, TestLoss=0.7957, Test Accuracy=0.7612
Epoch 68: TrainLoss=0.0036, TrainAcc=1.0000, TestLoss=0.8041, Test Accuracy=0.7651
Epoch 69: TrainLoss=0.0034, TrainAcc=1.0000, TestLoss=0.8125, Test Accuracy=0.7651
Epoch 70: TrainLoss=0.0033, TrainAcc=1.0000, TestLoss=0.8223, Test Accuracy=0.7612
Epoch 71: TrainLoss=0.0032, TrainAcc=1.0000, TestLoss=0.8102, Test Accuracy=0.7573
Epoch 72: TrainLoss=0.0031, TrainAcc=1.0000, TestLoss=0.8135, Test Accuracy=0.7612
Epoch 73: TrainLoss=0.0029, TrainAcc=1.0000, TestLoss=0.8310, Test Accuracy=0.7651
