==== Model Run Details ====
Dataset: psmnist
Model type: adadiag
Block sizes: [32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32]
Block config: 3
Activation: relu
Coupling topology: 20
Block init fn: diagonal
Coupling block init fn: uniform
Train batch size: 128
Test batch size: 128
Epochs: 250
Decay epochs: [80, 160]
Decay scalar: 0.1
Gating: True
Gate bounds: [1e-05, 0.2]
Euler step: 0.01
Learning rate: 0.001
Trials: 3
==========================


--- Trial 1/3 ---
Epoch 1: TrainLoss=1.9013, TrainAcc=0.3317, TestLoss=1.4968, Test Accuracy=0.4958
Epoch 2: TrainLoss=1.1711, TrainAcc=0.6223, TestLoss=0.8861, Test Accuracy=0.7183
Epoch 3: TrainLoss=0.8169, TrainAcc=0.7405, TestLoss=0.7513, Test Accuracy=0.7718
Epoch 4: TrainLoss=0.6820, TrainAcc=0.7845, TestLoss=0.5993, Test Accuracy=0.8127
Epoch 5: TrainLoss=0.5961, TrainAcc=0.8118, TestLoss=0.5841, Test Accuracy=0.8155
Epoch 6: TrainLoss=0.5405, TrainAcc=0.8293, TestLoss=0.5146, Test Accuracy=0.8431
Epoch 7: TrainLoss=0.4902, TrainAcc=0.8458, TestLoss=0.4734, Test Accuracy=0.8500
Epoch 8: TrainLoss=0.4480, TrainAcc=0.8588, TestLoss=0.4224, Test Accuracy=0.8702
Epoch 9: TrainLoss=0.4126, TrainAcc=0.8709, TestLoss=0.3839, Test Accuracy=0.8795
Epoch 10: TrainLoss=0.3851, TrainAcc=0.8798, TestLoss=0.3479, Test Accuracy=0.8964
Epoch 11: TrainLoss=0.3586, TrainAcc=0.8883, TestLoss=0.3313, Test Accuracy=0.8968
Epoch 12: TrainLoss=0.3406, TrainAcc=0.8942, TestLoss=0.3257, Test Accuracy=0.8976
Epoch 13: TrainLoss=0.3246, TrainAcc=0.8987, TestLoss=0.3315, Test Accuracy=0.8976
Epoch 14: TrainLoss=0.3063, TrainAcc=0.9046, TestLoss=0.3063, Test Accuracy=0.9077
Epoch 15: TrainLoss=0.2930, TrainAcc=0.9083, TestLoss=0.2836, Test Accuracy=0.9159
Epoch 16: TrainLoss=0.2791, TrainAcc=0.9123, TestLoss=0.2769, Test Accuracy=0.9162
Epoch 17: TrainLoss=0.2733, TrainAcc=0.9160, TestLoss=0.2973, Test Accuracy=0.9097
Epoch 18: TrainLoss=0.2619, TrainAcc=0.9186, TestLoss=0.2835, Test Accuracy=0.9115
Epoch 19: TrainLoss=0.2523, TrainAcc=0.9216, TestLoss=0.2939, Test Accuracy=0.9096
Epoch 20: TrainLoss=0.2437, TrainAcc=0.9246, TestLoss=0.2477, Test Accuracy=0.9228
Epoch 21: TrainLoss=0.2318, TrainAcc=0.9274, TestLoss=0.2517, Test Accuracy=0.9249
Epoch 22: TrainLoss=0.2316, TrainAcc=0.9279, TestLoss=0.2268, Test Accuracy=0.9316
Epoch 23: TrainLoss=0.2203, TrainAcc=0.9308, TestLoss=0.2240, Test Accuracy=0.9324
Epoch 24: TrainLoss=0.2146, TrainAcc=0.9320, TestLoss=0.2316, Test Accuracy=0.9316
Epoch 25: TrainLoss=0.2074, TrainAcc=0.9344, TestLoss=0.2212, Test Accuracy=0.9310
Epoch 26: TrainLoss=0.2031, TrainAcc=0.9363, TestLoss=0.2158, Test Accuracy=0.9381
Epoch 27: TrainLoss=0.1990, TrainAcc=0.9378, TestLoss=0.2027, Test Accuracy=0.9401
Epoch 28: TrainLoss=0.1954, TrainAcc=0.9383, TestLoss=0.2089, Test Accuracy=0.9385
Epoch 29: TrainLoss=0.1850, TrainAcc=0.9416, TestLoss=0.2210, Test Accuracy=0.9343
Epoch 30: TrainLoss=0.1840, TrainAcc=0.9412, TestLoss=0.2108, Test Accuracy=0.9335
Epoch 31: TrainLoss=0.1791, TrainAcc=0.9423, TestLoss=0.1937, Test Accuracy=0.9400
Epoch 32: TrainLoss=0.1728, TrainAcc=0.9457, TestLoss=0.2231, Test Accuracy=0.9306
Epoch 33: TrainLoss=0.1703, TrainAcc=0.9452, TestLoss=0.1995, Test Accuracy=0.9411
Epoch 34: TrainLoss=0.1664, TrainAcc=0.9472, TestLoss=0.2079, Test Accuracy=0.9351
Epoch 35: TrainLoss=0.1623, TrainAcc=0.9491, TestLoss=0.1960, Test Accuracy=0.9406
Epoch 36: TrainLoss=0.1599, TrainAcc=0.9492, TestLoss=0.1901, Test Accuracy=0.9423
Epoch 37: TrainLoss=0.1551, TrainAcc=0.9502, TestLoss=0.2009, Test Accuracy=0.9371
Epoch 38: TrainLoss=0.1536, TrainAcc=0.9516, TestLoss=0.2021, Test Accuracy=0.9395
Epoch 39: TrainLoss=0.1526, TrainAcc=0.9505, TestLoss=0.1959, Test Accuracy=0.9416
Epoch 40: TrainLoss=0.1485, TrainAcc=0.9518, TestLoss=0.1968, Test Accuracy=0.9403
Epoch 41: TrainLoss=0.1454, TrainAcc=0.9526, TestLoss=0.1777, Test Accuracy=0.9468
Epoch 42: TrainLoss=0.1379, TrainAcc=0.9566, TestLoss=0.1883, Test Accuracy=0.9413
Epoch 43: TrainLoss=0.1413, TrainAcc=0.9542, TestLoss=0.1695, Test Accuracy=0.9475
Epoch 44: TrainLoss=0.1372, TrainAcc=0.9548, TestLoss=0.1723, Test Accuracy=0.9477
Epoch 45: TrainLoss=0.1339, TrainAcc=0.9568, TestLoss=0.1780, Test Accuracy=0.9463
