==== Model Run Details ====
Dataset: psmnist
Model type: lstm
Activation: relu
Block init fn: sparse
Train batch size: 128
Test batch size: 128
Epochs: 250
Decay epochs: [80, 160]
Decay scalar: 0.1
Hidden size: 64
Bidirectional: True
Number of layers: 3
L2 regularization: 0.0
Learning rate: 0.001
Trials: 3
==========================


--- Trial 1/3 ---
Epoch 1: TrainLoss=2.2030, TrainAcc=0.1759, TestLoss=2.1077, Test Accuracy=0.2104
Epoch 2: TrainLoss=2.0763, TrainAcc=0.2346, TestLoss=2.0425, Test Accuracy=0.2606
Epoch 3: TrainLoss=2.0182, TrainAcc=0.2673, TestLoss=2.0110, Test Accuracy=0.2860
Epoch 4: TrainLoss=1.9235, TrainAcc=0.3083, TestLoss=1.8811, Test Accuracy=0.3199
Epoch 5: TrainLoss=1.8336, TrainAcc=0.3565, TestLoss=1.7649, Test Accuracy=0.3869
Epoch 6: TrainLoss=1.7355, TrainAcc=0.4053, TestLoss=1.7767, Test Accuracy=0.3888
Epoch 7: TrainLoss=1.6126, TrainAcc=0.4536, TestLoss=1.5115, Test Accuracy=0.4879
Epoch 8: TrainLoss=1.4618, TrainAcc=0.5086, TestLoss=1.4626, Test Accuracy=0.5127
Epoch 9: TrainLoss=1.3295, TrainAcc=0.5676, TestLoss=1.2551, Test Accuracy=0.5971
Epoch 10: TrainLoss=1.1499, TrainAcc=0.6397, TestLoss=1.0586, Test Accuracy=0.6734
Epoch 11: TrainLoss=1.0292, TrainAcc=0.6839, TestLoss=0.9377, Test Accuracy=0.7190
Epoch 12: TrainLoss=0.9420, TrainAcc=0.7166, TestLoss=0.8954, Test Accuracy=0.7323
Epoch 13: TrainLoss=0.8601, TrainAcc=0.7458, TestLoss=0.8375, Test Accuracy=0.7526
Epoch 14: TrainLoss=0.7979, TrainAcc=0.7692, TestLoss=0.7452, Test Accuracy=0.7843
Epoch 15: TrainLoss=0.7479, TrainAcc=0.7854, TestLoss=0.7045, Test Accuracy=0.7987
Epoch 16: TrainLoss=0.7128, TrainAcc=0.7968, TestLoss=0.6937, Test Accuracy=0.8014
Epoch 17: TrainLoss=0.6690, TrainAcc=0.8130, TestLoss=0.6702, Test Accuracy=0.8142
Epoch 18: TrainLoss=0.6223, TrainAcc=0.8304, TestLoss=0.6003, Test Accuracy=0.8373
Epoch 19: TrainLoss=0.5930, TrainAcc=0.8402, TestLoss=0.5822, Test Accuracy=0.8431
Epoch 20: TrainLoss=0.5738, TrainAcc=0.8451, TestLoss=0.5530, Test Accuracy=0.8499
Epoch 21: TrainLoss=0.5456, TrainAcc=0.8549, TestLoss=0.5082, Test Accuracy=0.8691
Epoch 22: TrainLoss=0.5266, TrainAcc=0.8596, TestLoss=0.5227, Test Accuracy=0.8633
Epoch 23: TrainLoss=0.5083, TrainAcc=0.8654, TestLoss=0.4855, Test Accuracy=0.8720
Epoch 24: TrainLoss=0.4903, TrainAcc=0.8723, TestLoss=0.5130, Test Accuracy=0.8643
Epoch 25: TrainLoss=0.4746, TrainAcc=0.8767, TestLoss=0.4770, Test Accuracy=0.8740
Epoch 26: TrainLoss=0.4623, TrainAcc=0.8794, TestLoss=0.4634, Test Accuracy=0.8795
Epoch 27: TrainLoss=0.4481, TrainAcc=0.8853, TestLoss=0.4600, Test Accuracy=0.8834
Epoch 28: TrainLoss=0.4295, TrainAcc=0.8911, TestLoss=0.4369, Test Accuracy=0.8886
Epoch 29: TrainLoss=0.4212, TrainAcc=0.8922, TestLoss=0.4230, Test Accuracy=0.8914
Epoch 30: TrainLoss=0.4139, TrainAcc=0.8954, TestLoss=0.4192, Test Accuracy=0.8919
Epoch 31: TrainLoss=0.4006, TrainAcc=0.8995, TestLoss=0.4129, Test Accuracy=0.8962
Epoch 32: TrainLoss=0.3939, TrainAcc=0.9017, TestLoss=0.4017, Test Accuracy=0.8970
Epoch 33: TrainLoss=0.3814, TrainAcc=0.9056, TestLoss=0.3946, Test Accuracy=0.8975
Epoch 34: TrainLoss=0.3756, TrainAcc=0.9076, TestLoss=0.4075, Test Accuracy=0.8954
Epoch 35: TrainLoss=0.3692, TrainAcc=0.9098, TestLoss=0.3856, Test Accuracy=0.9023
