==== Model Run Details ====
Dataset: psmnist
Model type: rnn
Activation: relu
Block init fn: sparse
Train batch size: 128
Test batch size: 128
Epochs: 250
Decay epochs: [80, 160]
Decay scalar: 0.1
Hidden size: 128
Bidirectional: True
Number of layers: 2
L2 regularization: 0.0
Learning rate: 0.001
Trials: 3
==========================


--- Trial 1/3 ---
Epoch 1: TrainLoss=1.7153, TrainAcc=0.3852, TestLoss=1.2903, Test Accuracy=0.5622
Epoch 2: TrainLoss=1.1634, TrainAcc=0.6133, TestLoss=1.0286, Test Accuracy=0.6527
Epoch 3: TrainLoss=1.0033, TrainAcc=0.6721, TestLoss=0.9229, Test Accuracy=0.6900
Epoch 4: TrainLoss=0.9063, TrainAcc=0.7063, TestLoss=0.8286, Test Accuracy=0.7301
Epoch 5: TrainLoss=0.8489, TrainAcc=0.7249, TestLoss=0.7604, Test Accuracy=0.7537
Epoch 6: TrainLoss=0.7860, TrainAcc=0.7473, TestLoss=0.6922, Test Accuracy=0.7730
Epoch 7: TrainLoss=0.7493, TrainAcc=0.7602, TestLoss=0.6887, Test Accuracy=0.7786
Epoch 8: TrainLoss=0.6901, TrainAcc=0.7800, TestLoss=0.6444, Test Accuracy=0.7899
Epoch 9: TrainLoss=0.6746, TrainAcc=0.7833, TestLoss=0.6308, Test Accuracy=0.8001
Epoch 10: TrainLoss=0.6469, TrainAcc=0.7937, TestLoss=0.6214, Test Accuracy=0.8023
Epoch 11: TrainLoss=0.6181, TrainAcc=0.8022, TestLoss=0.6092, Test Accuracy=0.8016
Epoch 12: TrainLoss=0.8454, TrainAcc=0.7211, TestLoss=0.7294, Test Accuracy=0.7606
Epoch 13: TrainLoss=0.7192, TrainAcc=0.7629, TestLoss=0.7040, Test Accuracy=0.7734
Epoch 14: TrainLoss=0.9541, TrainAcc=0.6819, TestLoss=0.9139, Test Accuracy=0.6997
Epoch 15: TrainLoss=0.8603, TrainAcc=0.7175, TestLoss=0.7554, Test Accuracy=0.7587
Epoch 16: TrainLoss=0.7422, TrainAcc=0.7602, TestLoss=0.6876, Test Accuracy=0.7758
Epoch 17: TrainLoss=0.6760, TrainAcc=0.7813, TestLoss=0.6384, Test Accuracy=0.7940
Epoch 18: TrainLoss=0.6480, TrainAcc=0.7911, TestLoss=0.5852, Test Accuracy=0.8064
Epoch 19: TrainLoss=0.6150, TrainAcc=0.8041, TestLoss=0.6189, Test Accuracy=0.8035
Epoch 20: TrainLoss=0.6069, TrainAcc=0.8060, TestLoss=0.5897, Test Accuracy=0.8087
Epoch 21: TrainLoss=0.5769, TrainAcc=0.8155, TestLoss=0.5697, Test Accuracy=0.8150
Epoch 22: TrainLoss=0.5627, TrainAcc=0.8207, TestLoss=0.5845, Test Accuracy=0.8078
Epoch 23: TrainLoss=0.5535, TrainAcc=0.8233, TestLoss=0.5377, Test Accuracy=0.8293
Epoch 24: TrainLoss=0.5346, TrainAcc=0.8291, TestLoss=0.4999, Test Accuracy=0.8407
Epoch 25: TrainLoss=0.5444, TrainAcc=0.8274, TestLoss=0.4982, Test Accuracy=0.8379
Epoch 26: TrainLoss=0.5138, TrainAcc=0.8378, TestLoss=0.5527, Test Accuracy=0.8207
Epoch 27: TrainLoss=0.5283, TrainAcc=0.8311, TestLoss=0.5204, Test Accuracy=0.8316
Epoch 28: TrainLoss=0.5228, TrainAcc=0.8345, TestLoss=0.5157, Test Accuracy=0.8319
Epoch 29: TrainLoss=0.5678, TrainAcc=0.8200, TestLoss=0.5195, Test Accuracy=0.8337
Epoch 30: TrainLoss=0.5819, TrainAcc=0.8138, TestLoss=0.5163, Test Accuracy=0.8334
Epoch 31: TrainLoss=0.5065, TrainAcc=0.8400, TestLoss=0.4858, Test Accuracy=0.8429
Epoch 32: TrainLoss=0.5017, TrainAcc=0.8401, TestLoss=0.4624, Test Accuracy=0.8501
Epoch 33: TrainLoss=0.5003, TrainAcc=0.8411, TestLoss=0.5049, Test Accuracy=0.8398
Epoch 34: TrainLoss=0.4953, TrainAcc=0.8430, TestLoss=0.4621, Test Accuracy=0.8526
Epoch 35: TrainLoss=0.5011, TrainAcc=0.8417, TestLoss=0.4780, Test Accuracy=0.8490
Epoch 36: TrainLoss=0.4892, TrainAcc=0.8442, TestLoss=0.4470, Test Accuracy=0.8622
Epoch 37: TrainLoss=0.6316, TrainAcc=0.7935, TestLoss=0.5383, Test Accuracy=0.8204
Epoch 38: TrainLoss=0.5215, TrainAcc=0.8321, TestLoss=0.5513, Test Accuracy=0.8252
Epoch 39: TrainLoss=0.5195, TrainAcc=0.8336, TestLoss=0.4760, Test Accuracy=0.8488
Epoch 40: TrainLoss=0.4977, TrainAcc=0.8411, TestLoss=0.4821, Test Accuracy=0.8438
Epoch 41: TrainLoss=0.4847, TrainAcc=0.8454, TestLoss=0.4745, Test Accuracy=0.8482
Epoch 42: TrainLoss=0.4650, TrainAcc=0.8525, TestLoss=0.4675, Test Accuracy=0.8500
Epoch 43: TrainLoss=0.4607, TrainAcc=0.8537, TestLoss=0.4502, Test Accuracy=0.8572
Epoch 44: TrainLoss=0.4542, TrainAcc=0.8554, TestLoss=0.4954, Test Accuracy=0.8496
Epoch 45: TrainLoss=0.4527, TrainAcc=0.8567, TestLoss=0.4546, Test Accuracy=0.8583
Epoch 46: TrainLoss=0.4669, TrainAcc=0.8517, TestLoss=0.5187, Test Accuracy=0.8338
Epoch 47: TrainLoss=0.4416, TrainAcc=0.8581, TestLoss=0.5162, Test Accuracy=0.8310
Epoch 48: TrainLoss=0.4490, TrainAcc=0.8569, TestLoss=0.4342, Test Accuracy=0.8632
Epoch 49: TrainLoss=0.4220, TrainAcc=0.8654, TestLoss=0.4815, Test Accuracy=0.8438
Epoch 50: TrainLoss=0.4966, TrainAcc=0.8403, TestLoss=0.4343, Test Accuracy=0.8623
Epoch 51: TrainLoss=0.4256, TrainAcc=0.8644, TestLoss=0.4197, Test Accuracy=0.8643
Epoch 52: TrainLoss=0.4351, TrainAcc=0.8607, TestLoss=0.4443, Test Accuracy=0.8622
Epoch 53: TrainLoss=0.4206, TrainAcc=0.8657, TestLoss=0.4556, Test Accuracy=0.8581
Epoch 54: TrainLoss=0.4229, TrainAcc=0.8649, TestLoss=0.4509, Test Accuracy=0.8597
Epoch 55: TrainLoss=150283009.3316, TrainAcc=0.7490, TestLoss=1.9167, Test Accuracy=0.3288
Epoch 56: TrainLoss=1.5150, TrainAcc=0.4775, TestLoss=1.2403, Test Accuracy=0.5725
Epoch 57: TrainLoss=1.2131, TrainAcc=0.5851, TestLoss=1.1122, Test Accuracy=0.6246
Epoch 58: TrainLoss=1.1404, TrainAcc=0.6138, TestLoss=1.0384, Test Accuracy=0.6503
Epoch 59: TrainLoss=1.0336, TrainAcc=0.6555, TestLoss=1.2642, Test Accuracy=0.5844
Epoch 60: TrainLoss=1.0082, TrainAcc=0.6663, TestLoss=0.9050, Test Accuracy=0.6974
Epoch 61: TrainLoss=47809030094919.7344, TrainAcc=0.5244, TestLoss=2.1244, Test Accuracy=0.2453
Epoch 62: TrainLoss=2.0042, TrainAcc=0.2952, TestLoss=1.9311, Test Accuracy=0.3193
Epoch 63: TrainLoss=1.9064, TrainAcc=0.3330, TestLoss=1.9909, Test Accuracy=0.2721
Epoch 64: TrainLoss=63106868096181275613701251006464.0000, TrainAcc=0.1329, TestLoss=67883795806286062990995914489856.0000, Test Accuracy=0.1234
Epoch 65: TrainLoss=65580361043748024784394832052224.0000, TrainAcc=0.1312, TestLoss=67883797214149037664691074105344.0000, Test Accuracy=0.0840
Epoch 66: TrainLoss=65570533523367357321892379754496.0000, TrainAcc=0.1312, TestLoss=67883797428389054962392560041984.0000, Test Accuracy=0.1291
Epoch 67: TrainLoss=65571205577861049627752672526336.0000, TrainAcc=0.1319, TestLoss=67883796204160382116327139049472.0000, Test Accuracy=0.1441
Epoch 68: TrainLoss=65574842707230532263149991624704.0000, TrainAcc=0.1303, TestLoss=67883797520206210379807056723968.0000, Test Accuracy=0.1130
Epoch 69: TrainLoss=65576082946548776357030816382976.0000, TrainAcc=0.1329, TestLoss=67883798530194865928170991779840.0000, Test Accuracy=0.1208
Epoch 70: TrainLoss=65572728731597751264089328320512.0000, TrainAcc=0.1312, TestLoss=67883789470902654441369559367680.0000, Test Accuracy=0.1188
