==== Model Run Details ====
Dataset: psmnist
Model type: scn
Block sizes: [32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32]
Block config: 2
Activation: relu
Coupling topology: 500
Block init fn: sparse
Coupling block init fn: uniform
Train batch size: 128
Test batch size: 128
Epochs: 250
Decay epochs: [80, 160]
Decay scalar: 0.1
Gating: False
Gate bounds: [1e-05, 0.2]
Euler step: 0.1
Learning rate: 0.001
Trials: 3
==========================


--- Trial 1/3 ---
Epoch 1: TrainLoss=2.2937, TrainAcc=0.1687, TestLoss=2.2702, Test Accuracy=0.1724
Epoch 2: TrainLoss=2.1783, TrainAcc=0.2188, TestLoss=2.0621, Test Accuracy=0.2808
Epoch 3: TrainLoss=1.9553, TrainAcc=0.3150, TestLoss=1.8154, Test Accuracy=0.3795
Epoch 4: TrainLoss=1.7558, TrainAcc=0.4025, TestLoss=1.5888, Test Accuracy=0.4702
Epoch 5: TrainLoss=1.5530, TrainAcc=0.4775, TestLoss=1.5641, Test Accuracy=0.4650
Epoch 6: TrainLoss=1.4828, TrainAcc=0.5001, TestLoss=1.4581, Test Accuracy=0.5196
Epoch 7: TrainLoss=1.4510, TrainAcc=0.5145, TestLoss=1.4140, Test Accuracy=0.5315
Epoch 8: TrainLoss=1.4020, TrainAcc=0.5309, TestLoss=1.3483, Test Accuracy=0.5429
Epoch 9: TrainLoss=1.3549, TrainAcc=0.5517, TestLoss=1.2799, Test Accuracy=0.5781
Epoch 10: TrainLoss=1.2598, TrainAcc=0.5860, TestLoss=1.3619, Test Accuracy=0.5563
Epoch 11: TrainLoss=1.1270, TrainAcc=0.6319, TestLoss=1.0461, Test Accuracy=0.6547
Epoch 12: TrainLoss=1.0233, TrainAcc=0.6708, TestLoss=1.0191, Test Accuracy=0.6743
Epoch 13: TrainLoss=0.9869, TrainAcc=0.6835, TestLoss=0.9946, Test Accuracy=0.6743
Epoch 14: TrainLoss=0.9619, TrainAcc=0.6921, TestLoss=0.9356, Test Accuracy=0.7008
Epoch 15: TrainLoss=0.9285, TrainAcc=0.7027, TestLoss=0.8697, Test Accuracy=0.7213
Epoch 16: TrainLoss=0.9015, TrainAcc=0.7157, TestLoss=0.8697, Test Accuracy=0.7214
Epoch 17: TrainLoss=0.8475, TrainAcc=0.7307, TestLoss=0.7688, Test Accuracy=0.7625
Epoch 18: TrainLoss=0.8042, TrainAcc=0.7443, TestLoss=0.7470, Test Accuracy=0.7641
Epoch 19: TrainLoss=0.7939, TrainAcc=0.7473, TestLoss=0.7725, Test Accuracy=0.7582
Epoch 20: TrainLoss=0.7750, TrainAcc=0.7563, TestLoss=0.6739, Test Accuracy=0.7907
Epoch 21: TrainLoss=0.7301, TrainAcc=0.7683, TestLoss=0.7572, Test Accuracy=0.7590
Epoch 22: TrainLoss=0.7681, TrainAcc=0.7584, TestLoss=0.7389, Test Accuracy=0.7710
Epoch 23: TrainLoss=0.7194, TrainAcc=0.7726, TestLoss=0.6643, Test Accuracy=0.7896
Epoch 24: TrainLoss=0.6921, TrainAcc=0.7813, TestLoss=0.6368, Test Accuracy=0.8031
Epoch 25: TrainLoss=0.6774, TrainAcc=0.7855, TestLoss=0.6313, Test Accuracy=0.8009
Epoch 26: TrainLoss=0.6740, TrainAcc=0.7857, TestLoss=0.6294, Test Accuracy=0.7989
Epoch 27: TrainLoss=0.6406, TrainAcc=0.7994, TestLoss=0.6256, Test Accuracy=0.8103
Epoch 28: TrainLoss=0.6298, TrainAcc=0.8011, TestLoss=0.6554, Test Accuracy=0.7934
Epoch 29: TrainLoss=0.6267, TrainAcc=0.8026, TestLoss=0.5578, Test Accuracy=0.8283
Epoch 30: TrainLoss=0.6222, TrainAcc=0.8027, TestLoss=0.5519, Test Accuracy=0.8297
Epoch 31: TrainLoss=0.6040, TrainAcc=0.8108, TestLoss=0.6016, Test Accuracy=0.8146
Epoch 32: TrainLoss=0.6101, TrainAcc=0.8068, TestLoss=0.6249, Test Accuracy=0.7956
Epoch 33: TrainLoss=0.5934, TrainAcc=0.8143, TestLoss=0.5821, Test Accuracy=0.8152
Epoch 34: TrainLoss=0.5891, TrainAcc=0.8132, TestLoss=0.5882, Test Accuracy=0.8118
Epoch 35: TrainLoss=0.5942, TrainAcc=0.8118, TestLoss=0.5422, Test Accuracy=0.8296
Epoch 36: TrainLoss=0.5569, TrainAcc=0.8249, TestLoss=0.5550, Test Accuracy=0.8367
Epoch 37: TrainLoss=0.5513, TrainAcc=0.8249, TestLoss=0.5462, Test Accuracy=0.8279
Epoch 38: TrainLoss=0.5522, TrainAcc=0.8287, TestLoss=0.5050, Test Accuracy=0.8465
Epoch 39: TrainLoss=0.5398, TrainAcc=0.8312, TestLoss=0.5007, Test Accuracy=0.8456
Epoch 40: TrainLoss=0.5431, TrainAcc=0.8292, TestLoss=0.5368, Test Accuracy=0.8358
Epoch 41: TrainLoss=0.5329, TrainAcc=0.8320, TestLoss=0.4773, Test Accuracy=0.8508
Epoch 42: TrainLoss=0.5160, TrainAcc=0.8369, TestLoss=0.4929, Test Accuracy=0.8414
Epoch 43: TrainLoss=0.5182, TrainAcc=0.8369, TestLoss=0.5069, Test Accuracy=0.8394
Epoch 44: TrainLoss=0.5161, TrainAcc=0.8377, TestLoss=0.4822, Test Accuracy=0.8517
Epoch 45: TrainLoss=0.5145, TrainAcc=0.8375, TestLoss=0.5077, Test Accuracy=0.8403
Epoch 46: TrainLoss=0.4979, TrainAcc=0.8427, TestLoss=0.4536, Test Accuracy=0.8615
Epoch 47: TrainLoss=0.4942, TrainAcc=0.8446, TestLoss=0.4758, Test Accuracy=0.8539
Epoch 48: TrainLoss=0.4923, TrainAcc=0.8437, TestLoss=0.4381, Test Accuracy=0.8645
Epoch 49: TrainLoss=0.4974, TrainAcc=0.8425, TestLoss=0.4651, Test Accuracy=0.8558
Epoch 50: TrainLoss=0.4932, TrainAcc=0.8444, TestLoss=0.5691, Test Accuracy=0.8210
Epoch 51: TrainLoss=0.4938, TrainAcc=0.8440, TestLoss=0.4775, Test Accuracy=0.8486
Epoch 52: TrainLoss=0.4709, TrainAcc=0.8531, TestLoss=0.4684, Test Accuracy=0.8590
Epoch 53: TrainLoss=0.4777, TrainAcc=0.8494, TestLoss=0.4482, Test Accuracy=0.8633
Epoch 54: TrainLoss=0.4666, TrainAcc=0.8523, TestLoss=0.4813, Test Accuracy=0.8533
Epoch 55: TrainLoss=0.4695, TrainAcc=0.8536, TestLoss=0.4691, Test Accuracy=0.8575
Epoch 56: TrainLoss=0.4658, TrainAcc=0.8549, TestLoss=0.4458, Test Accuracy=0.8629
Epoch 57: TrainLoss=0.4585, TrainAcc=0.8555, TestLoss=0.4177, Test Accuracy=0.8724
Epoch 58: TrainLoss=0.4590, TrainAcc=0.8556, TestLoss=0.4386, Test Accuracy=0.8658
Epoch 59: TrainLoss=0.4516, TrainAcc=0.8603, TestLoss=0.4317, Test Accuracy=0.8675
Epoch 60: TrainLoss=0.4550, TrainAcc=0.8576, TestLoss=0.4709, Test Accuracy=0.8522
Epoch 61: TrainLoss=0.4542, TrainAcc=0.8572, TestLoss=0.4675, Test Accuracy=0.8532
Epoch 62: TrainLoss=0.4570, TrainAcc=0.8565, TestLoss=0.4723, Test Accuracy=0.8542
Epoch 63: TrainLoss=0.4377, TrainAcc=0.8614, TestLoss=0.4397, Test Accuracy=0.8652
Epoch 64: TrainLoss=0.4424, TrainAcc=0.8612, TestLoss=0.4469, Test Accuracy=0.8583
Epoch 65: TrainLoss=0.4422, TrainAcc=0.8607, TestLoss=0.4461, Test Accuracy=0.8615
Epoch 66: TrainLoss=0.4493, TrainAcc=0.8582, TestLoss=0.4493, Test Accuracy=0.8595
Epoch 67: TrainLoss=0.4343, TrainAcc=0.8643, TestLoss=0.4220, Test Accuracy=0.8691
Epoch 68: TrainLoss=0.4364, TrainAcc=0.8622, TestLoss=0.4037, Test Accuracy=0.8713
Epoch 69: TrainLoss=0.4323, TrainAcc=0.8648, TestLoss=0.4222, Test Accuracy=0.8691
Epoch 70: TrainLoss=0.4325, TrainAcc=0.8639, TestLoss=0.3785, Test Accuracy=0.8809
Epoch 71: TrainLoss=0.4288, TrainAcc=0.8653, TestLoss=0.4415, Test Accuracy=0.8637
Epoch 72: TrainLoss=0.4257, TrainAcc=0.8653, TestLoss=0.4304, Test Accuracy=0.8667
Epoch 73: TrainLoss=0.4213, TrainAcc=0.8664, TestLoss=0.4285, Test Accuracy=0.8660
Epoch 74: TrainLoss=0.4223, TrainAcc=0.8675, TestLoss=0.3973, Test Accuracy=0.8728
Epoch 75: TrainLoss=0.4183, TrainAcc=0.8695, TestLoss=0.4523, Test Accuracy=0.8593
Epoch 76: TrainLoss=0.4154, TrainAcc=0.8700, TestLoss=0.4054, Test Accuracy=0.8788
Epoch 77: TrainLoss=0.4100, TrainAcc=0.8714, TestLoss=0.4623, Test Accuracy=0.8527
Epoch 78: TrainLoss=0.4104, TrainAcc=0.8721, TestLoss=0.3809, Test Accuracy=0.8804
Epoch 79: TrainLoss=0.4089, TrainAcc=0.8723, TestLoss=0.4409, Test Accuracy=0.8621
Epoch 80: TrainLoss=0.4102, TrainAcc=0.8702, TestLoss=0.4095, Test Accuracy=0.8720
Epoch 81: TrainLoss=0.3153, TrainAcc=0.9024, TestLoss=0.3221, Test Accuracy=0.9012
Epoch 82: TrainLoss=0.3021, TrainAcc=0.9067, TestLoss=0.3154, Test Accuracy=0.9017
Epoch 83: TrainLoss=0.2991, TrainAcc=0.9085, TestLoss=0.3044, Test Accuracy=0.9070
Epoch 84: TrainLoss=0.2961, TrainAcc=0.9087, TestLoss=0.3123, Test Accuracy=0.9034
Epoch 85: TrainLoss=0.2935, TrainAcc=0.9104, TestLoss=0.3024, Test Accuracy=0.9075
