==== Model Run Details ====
Dataset: smnist
Model type: adadiag
Block sizes: [32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32]
Block config: 3
Activation: relu
Coupling topology: 20
Block init fn: diagonal
Coupling block init fn: uniform
Train batch size: 128
Test batch size: 128
Epochs: 250
Decay epochs: [80, 160]
Decay scalar: 0.1
Gating: True
Gate bounds: [1e-05, 0.2]
Euler step: 0.01
Learning rate: 0.001
Trials: 3
==========================


--- Trial 1/3 ---
Epoch 1: TrainLoss=1.6720, TrainAcc=0.3888, TestLoss=1.0818, Test Accuracy=0.6423
Epoch 2: TrainLoss=0.8552, TrainAcc=0.7129, TestLoss=0.6328, Test Accuracy=0.7938
Epoch 3: TrainLoss=0.4718, TrainAcc=0.8514, TestLoss=0.3296, Test Accuracy=0.8888
Epoch 4: TrainLoss=0.2728, TrainAcc=0.9147, TestLoss=0.2355, Test Accuracy=0.9242
Epoch 5: TrainLoss=0.2050, TrainAcc=0.9362, TestLoss=0.2085, Test Accuracy=0.9311
Epoch 6: TrainLoss=0.1741, TrainAcc=0.9471, TestLoss=0.1397, Test Accuracy=0.9559
Epoch 7: TrainLoss=0.1494, TrainAcc=0.9537, TestLoss=0.1367, Test Accuracy=0.9569
Epoch 8: TrainLoss=0.1330, TrainAcc=0.9593, TestLoss=0.1426, Test Accuracy=0.9534
Epoch 9: TrainLoss=0.1228, TrainAcc=0.9627, TestLoss=0.1236, Test Accuracy=0.9617
Epoch 10: TrainLoss=0.1159, TrainAcc=0.9642, TestLoss=0.0973, Test Accuracy=0.9690
Epoch 11: TrainLoss=0.1052, TrainAcc=0.9676, TestLoss=0.0926, Test Accuracy=0.9717
Epoch 12: TrainLoss=0.0979, TrainAcc=0.9693, TestLoss=0.1121, Test Accuracy=0.9671
Epoch 13: TrainLoss=0.0925, TrainAcc=0.9713, TestLoss=0.0988, Test Accuracy=0.9692
Epoch 14: TrainLoss=0.0901, TrainAcc=0.9718, TestLoss=0.0784, Test Accuracy=0.9748
