==== Model Run Details ====
Dataset: smnist
Model type: lstm
Activation: relu
Block init fn: sparse
Train batch size: 128
Test batch size: 128
Epochs: 250
Decay epochs: [80, 160]
Decay scalar: 0.1
Hidden size: 128
Bidirectional: False
Number of layers: 2
L2 regularization: 0.0
Learning rate: 0.01
Trials: 3
==========================


--- Trial 1/3 ---
Epoch 1: TrainLoss=2.3038, TrainAcc=0.1088, TestLoss=2.3026, Test Accuracy=0.1136
Epoch 2: TrainLoss=2.3025, TrainAcc=0.1060, TestLoss=2.3022, Test Accuracy=0.1013
Epoch 3: TrainLoss=2.3019, TrainAcc=0.1040, TestLoss=2.3016, Test Accuracy=0.1136
Epoch 4: TrainLoss=2.3021, TrainAcc=0.1123, TestLoss=2.3014, Test Accuracy=0.1136
Epoch 5: TrainLoss=2.3020, TrainAcc=0.1115, TestLoss=2.3016, Test Accuracy=0.1136
Epoch 6: TrainLoss=2.3017, TrainAcc=0.1123, TestLoss=2.3015, Test Accuracy=0.1136
Epoch 7: TrainLoss=2.3021, TrainAcc=0.1124, TestLoss=2.3017, Test Accuracy=0.1136
Epoch 8: TrainLoss=2.3019, TrainAcc=0.1124, TestLoss=2.3015, Test Accuracy=0.1136
Epoch 9: TrainLoss=2.3024, TrainAcc=0.1096, TestLoss=2.3012, Test Accuracy=0.1136
Epoch 10: TrainLoss=2.3018, TrainAcc=0.1085, TestLoss=2.3015, Test Accuracy=0.1013
Epoch 11: TrainLoss=2.3018, TrainAcc=0.1035, TestLoss=2.3029, Test Accuracy=0.1013
Epoch 12: TrainLoss=2.3032, TrainAcc=0.1041, TestLoss=2.3023, Test Accuracy=0.1136
Epoch 13: TrainLoss=2.3018, TrainAcc=0.1124, TestLoss=2.3024, Test Accuracy=0.1136
Epoch 14: TrainLoss=2.3022, TrainAcc=0.1103, TestLoss=2.3014, Test Accuracy=0.1136
Epoch 15: TrainLoss=2.3022, TrainAcc=0.1123, TestLoss=2.3020, Test Accuracy=0.1136
Epoch 16: TrainLoss=2.3020, TrainAcc=0.1069, TestLoss=2.3020, Test Accuracy=0.1024
Epoch 17: TrainLoss=2.3018, TrainAcc=0.1099, TestLoss=2.3018, Test Accuracy=0.1136
Epoch 18: TrainLoss=2.3022, TrainAcc=0.1124, TestLoss=2.3031, Test Accuracy=0.1136
Epoch 19: TrainLoss=2.3031, TrainAcc=0.1124, TestLoss=2.3025, Test Accuracy=0.1136
Epoch 20: TrainLoss=2.3031, TrainAcc=0.1124, TestLoss=2.3032, Test Accuracy=0.1136
Epoch 21: TrainLoss=2.3025, TrainAcc=0.1124, TestLoss=2.3028, Test Accuracy=0.1136
Epoch 22: TrainLoss=2.3028, TrainAcc=0.1123, TestLoss=2.3029, Test Accuracy=0.1136
Epoch 23: TrainLoss=2.3026, TrainAcc=0.1122, TestLoss=2.3029, Test Accuracy=0.1136
Epoch 24: TrainLoss=2.3027, TrainAcc=0.1124, TestLoss=2.3026, Test Accuracy=0.1136
Epoch 25: TrainLoss=2.3029, TrainAcc=0.1124, TestLoss=2.3028, Test Accuracy=0.1136
Epoch 26: TrainLoss=2.3030, TrainAcc=0.1124, TestLoss=2.3028, Test Accuracy=0.1136
Epoch 27: TrainLoss=2.3030, TrainAcc=0.1124, TestLoss=2.3028, Test Accuracy=0.1136
Epoch 28: TrainLoss=2.3030, TrainAcc=0.1124, TestLoss=2.3028, Test Accuracy=0.1136
Epoch 29: TrainLoss=2.3030, TrainAcc=0.1124, TestLoss=2.3028, Test Accuracy=0.1136
Epoch 30: TrainLoss=2.3031, TrainAcc=0.1026, TestLoss=2.3026, Test Accuracy=0.1136
Epoch 31: TrainLoss=2.3027, TrainAcc=0.1124, TestLoss=2.3025, Test Accuracy=0.1136
Epoch 32: TrainLoss=2.3036, TrainAcc=0.1112, TestLoss=2.3083, Test Accuracy=0.1136
Epoch 33: TrainLoss=2.2460, TrainAcc=0.1825, TestLoss=2.2086, Test Accuracy=0.1997
Epoch 34: TrainLoss=2.2207, TrainAcc=0.1936, TestLoss=2.2094, Test Accuracy=0.1916
Epoch 35: TrainLoss=2.2117, TrainAcc=0.1875, TestLoss=2.2056, Test Accuracy=0.1924
Epoch 36: TrainLoss=2.2042, TrainAcc=0.1886, TestLoss=2.1855, Test Accuracy=0.1920
Epoch 37: TrainLoss=2.1908, TrainAcc=0.1904, TestLoss=2.1846, Test Accuracy=0.1994
Epoch 38: TrainLoss=2.1903, TrainAcc=0.1948, TestLoss=2.1835, Test Accuracy=0.2003
Epoch 39: TrainLoss=2.1914, TrainAcc=0.1944, TestLoss=2.1894, Test Accuracy=0.1984
Epoch 40: TrainLoss=2.2057, TrainAcc=0.1895, TestLoss=2.2015, Test Accuracy=0.1864
Epoch 41: TrainLoss=2.1967, TrainAcc=0.1879, TestLoss=2.2175, Test Accuracy=0.1788
Epoch 42: TrainLoss=2.2097, TrainAcc=0.1871, TestLoss=2.1808, Test Accuracy=0.1966
Epoch 43: TrainLoss=2.2841, TrainAcc=0.1391, TestLoss=2.2907, Test Accuracy=0.1151
Epoch 44: TrainLoss=2.2797, TrainAcc=0.1286, TestLoss=2.2731, Test Accuracy=0.1302
Epoch 45: TrainLoss=2.2712, TrainAcc=0.1343, TestLoss=2.2720, Test Accuracy=0.1328
Epoch 46: TrainLoss=2.2562, TrainAcc=0.1501, TestLoss=2.2144, Test Accuracy=0.1741
Epoch 47: TrainLoss=2.2154, TrainAcc=0.1765, TestLoss=2.2093, Test Accuracy=0.1769
Epoch 48: TrainLoss=2.2147, TrainAcc=0.1793, TestLoss=2.2502, Test Accuracy=0.1605
Epoch 49: TrainLoss=2.2256, TrainAcc=0.1847, TestLoss=2.1982, Test Accuracy=0.1951
Epoch 50: TrainLoss=2.2238, TrainAcc=0.1740, TestLoss=2.2120, Test Accuracy=0.1822
Epoch 51: TrainLoss=2.2402, TrainAcc=0.1751, TestLoss=2.2766, Test Accuracy=0.1513
Epoch 52: TrainLoss=2.2733, TrainAcc=0.1529, TestLoss=2.2652, Test Accuracy=0.1548
Epoch 53: TrainLoss=2.2434, TrainAcc=0.1759, TestLoss=2.2316, Test Accuracy=0.1824
Epoch 54: TrainLoss=2.2432, TrainAcc=0.1748, TestLoss=2.2419, Test Accuracy=0.1651
Epoch 55: TrainLoss=2.2709, TrainAcc=0.1482, TestLoss=2.2604, Test Accuracy=0.1600
Epoch 56: TrainLoss=2.2577, TrainAcc=0.1599, TestLoss=2.2570, Test Accuracy=0.1587
Epoch 57: TrainLoss=2.2487, TrainAcc=0.1669, TestLoss=2.2278, Test Accuracy=0.1890
Epoch 58: TrainLoss=2.2547, TrainAcc=0.1564, TestLoss=2.2698, Test Accuracy=0.1408
Epoch 59: TrainLoss=2.2708, TrainAcc=0.1396, TestLoss=2.2700, Test Accuracy=0.1529
Epoch 60: TrainLoss=2.2703, TrainAcc=0.1548, TestLoss=2.2651, Test Accuracy=0.1563
Epoch 61: TrainLoss=2.2655, TrainAcc=0.1591, TestLoss=2.2644, Test Accuracy=0.1572
Epoch 62: TrainLoss=2.2669, TrainAcc=0.1565, TestLoss=2.2683, Test Accuracy=0.1528
Epoch 63: TrainLoss=2.2697, TrainAcc=0.1540, TestLoss=2.2683, Test Accuracy=0.1528
Epoch 64: TrainLoss=2.2697, TrainAcc=0.1540, TestLoss=2.2683, Test Accuracy=0.1528
Epoch 65: TrainLoss=2.2698, TrainAcc=0.1540, TestLoss=2.2687, Test Accuracy=0.1526
Epoch 66: TrainLoss=2.2705, TrainAcc=0.1533, TestLoss=2.2695, Test Accuracy=0.1521
Epoch 67: TrainLoss=2.2703, TrainAcc=0.1534, TestLoss=2.2689, Test Accuracy=0.1521
Epoch 68: TrainLoss=2.2658, TrainAcc=0.1572, TestLoss=2.2566, Test Accuracy=0.1618
Epoch 69: TrainLoss=2.2544, TrainAcc=0.1639, TestLoss=2.2522, Test Accuracy=0.1618
Epoch 70: TrainLoss=2.2635, TrainAcc=0.1569, TestLoss=2.3232, Test Accuracy=0.1136
Epoch 71: TrainLoss=2.3063, TrainAcc=0.1130, TestLoss=2.3058, Test Accuracy=0.1136
