==== Model Run Details ====
Dataset: smnist
Model type: rnn
Activation: relu
Block init fn: sparse
Train batch size: 128
Test batch size: 128
Epochs: 250
Decay epochs: [80, 160]
Decay scalar: 0.1
Hidden size: 64
Bidirectional: True
Number of layers: 3
L2 regularization: 0.0
Learning rate: 0.001
Trials: 3
==========================


--- Trial 1/3 ---
Epoch 1: TrainLoss=2.3019, TrainAcc=0.1112, TestLoss=2.3012, Test Accuracy=0.1136
Epoch 2: TrainLoss=2.3015, TrainAcc=0.1124, TestLoss=2.3011, Test Accuracy=0.1136
Epoch 3: TrainLoss=2.3014, TrainAcc=0.1124, TestLoss=2.3010, Test Accuracy=0.1136
Epoch 4: TrainLoss=2.3014, TrainAcc=0.1124, TestLoss=2.3012, Test Accuracy=0.1136
Epoch 5: TrainLoss=2.3014, TrainAcc=0.1124, TestLoss=2.3011, Test Accuracy=0.1136
Epoch 6: TrainLoss=2.3013, TrainAcc=0.1124, TestLoss=2.3011, Test Accuracy=0.1136
Epoch 7: TrainLoss=2.3013, TrainAcc=0.1124, TestLoss=2.3012, Test Accuracy=0.1136
Epoch 8: TrainLoss=2.3014, TrainAcc=0.1124, TestLoss=2.3011, Test Accuracy=0.1136
Epoch 9: TrainLoss=2.3013, TrainAcc=0.1124, TestLoss=2.3011, Test Accuracy=0.1136
Epoch 10: TrainLoss=2.3013, TrainAcc=0.1124, TestLoss=2.3011, Test Accuracy=0.1136
Epoch 11: TrainLoss=2.3013, TrainAcc=0.1123, TestLoss=2.3011, Test Accuracy=0.1136
Epoch 12: TrainLoss=2.3013, TrainAcc=0.1124, TestLoss=2.3010, Test Accuracy=0.1136
Epoch 13: TrainLoss=2.3013, TrainAcc=0.1124, TestLoss=2.3010, Test Accuracy=0.1136
Epoch 14: TrainLoss=2.3013, TrainAcc=0.1124, TestLoss=2.3010, Test Accuracy=0.1136
Epoch 15: TrainLoss=2.3013, TrainAcc=0.1124, TestLoss=2.3011, Test Accuracy=0.1136
Epoch 16: TrainLoss=2.3013, TrainAcc=0.1124, TestLoss=2.3010, Test Accuracy=0.1136
Epoch 17: TrainLoss=2.3013, TrainAcc=0.1124, TestLoss=2.3010, Test Accuracy=0.1136
Epoch 18: TrainLoss=2.3012, TrainAcc=0.1124, TestLoss=2.3010, Test Accuracy=0.1136
Epoch 19: TrainLoss=2.3013, TrainAcc=0.1124, TestLoss=2.3010, Test Accuracy=0.1136
Epoch 20: TrainLoss=2.3013, TrainAcc=0.1124, TestLoss=2.3011, Test Accuracy=0.1136
Epoch 21: TrainLoss=2.3013, TrainAcc=0.1124, TestLoss=2.3010, Test Accuracy=0.1136
