==== Model Run Details ====
Dataset: smnist
Model type: scn
Block sizes: [32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32]
Block config: 2
Activation: relu
Coupling topology: 20
Block init fn: sparse
Coupling block init fn: uniform
Train batch size: 128
Test batch size: 128
Epochs: 250
Decay epochs: [80, 160]
Decay scalar: 0.1
Gating: False
Gate bounds: [1e-05, 0.2]
Euler step: 0.1
Learning rate: 0.001
Trials: 3
==========================


--- Trial 1/3 ---
Epoch 1: TrainLoss=2.1468, TrainAcc=0.1526, TestLoss=1.9470, Test Accuracy=0.2611
Epoch 2: TrainLoss=1.7727, TrainAcc=0.3461, TestLoss=1.6586, Test Accuracy=0.3850
Epoch 3: TrainLoss=1.5322, TrainAcc=0.4412, TestLoss=1.3144, Test Accuracy=0.5254
Epoch 4: TrainLoss=1.2697, TrainAcc=0.5486, TestLoss=1.0409, Test Accuracy=0.6359
Epoch 5: TrainLoss=1.0556, TrainAcc=0.6394, TestLoss=0.9290, Test Accuracy=0.6804
Epoch 6: TrainLoss=0.9649, TrainAcc=0.6841, TestLoss=0.8410, Test Accuracy=0.7214
Epoch 7: TrainLoss=0.8917, TrainAcc=0.7120, TestLoss=0.7876, Test Accuracy=0.7415
Epoch 8: TrainLoss=0.8288, TrainAcc=0.7339, TestLoss=0.7592, Test Accuracy=0.7569
Epoch 9: TrainLoss=0.7960, TrainAcc=0.7477, TestLoss=0.7193, Test Accuracy=0.7739
Epoch 10: TrainLoss=0.7644, TrainAcc=0.7597, TestLoss=0.6982, Test Accuracy=0.7770
Epoch 11: TrainLoss=0.7432, TrainAcc=0.7658, TestLoss=1.2158, Test Accuracy=0.5649
Epoch 12: TrainLoss=0.7094, TrainAcc=0.7802, TestLoss=0.5965, Test Accuracy=0.8139
Epoch 13: TrainLoss=0.6565, TrainAcc=0.7985, TestLoss=0.5568, Test Accuracy=0.8279
Epoch 14: TrainLoss=0.6192, TrainAcc=0.8112, TestLoss=0.6000, Test Accuracy=0.8134
Epoch 15: TrainLoss=0.6025, TrainAcc=0.8167, TestLoss=0.4924, Test Accuracy=0.8461
Epoch 16: TrainLoss=0.5625, TrainAcc=0.8328, TestLoss=0.5231, Test Accuracy=0.8454
Epoch 17: TrainLoss=0.5339, TrainAcc=0.8401, TestLoss=0.4667, Test Accuracy=0.8565
Epoch 18: TrainLoss=0.5018, TrainAcc=0.8516, TestLoss=0.4097, Test Accuracy=0.8770
Epoch 19: TrainLoss=0.4821, TrainAcc=0.8580, TestLoss=0.4333, Test Accuracy=0.8704
Epoch 20: TrainLoss=0.4621, TrainAcc=0.8641, TestLoss=0.4045, Test Accuracy=0.8809
Epoch 21: TrainLoss=0.4426, TrainAcc=0.8708, TestLoss=0.3999, Test Accuracy=0.8760
Epoch 22: TrainLoss=0.4395, TrainAcc=0.8720, TestLoss=0.3966, Test Accuracy=0.8771
Epoch 23: TrainLoss=0.4231, TrainAcc=0.8764, TestLoss=0.4057, Test Accuracy=0.8775
Epoch 24: TrainLoss=0.4069, TrainAcc=0.8826, TestLoss=0.3622, Test Accuracy=0.8920
Epoch 25: TrainLoss=0.4010, TrainAcc=0.8845, TestLoss=0.4405, Test Accuracy=0.8660
Epoch 26: TrainLoss=0.3890, TrainAcc=0.8874, TestLoss=0.3508, Test Accuracy=0.8943
Epoch 27: TrainLoss=0.3919, TrainAcc=0.8860, TestLoss=0.3576, Test Accuracy=0.8908
Epoch 28: TrainLoss=0.3836, TrainAcc=0.8887, TestLoss=0.3383, Test Accuracy=0.8936
Epoch 29: TrainLoss=0.3713, TrainAcc=0.8923, TestLoss=0.3357, Test Accuracy=0.8987
Epoch 30: TrainLoss=0.3579, TrainAcc=0.8966, TestLoss=0.3240, Test Accuracy=0.9060
Epoch 31: TrainLoss=0.3671, TrainAcc=0.8936, TestLoss=0.3411, Test Accuracy=0.8998
Epoch 32: TrainLoss=0.3546, TrainAcc=0.8972, TestLoss=0.3559, Test Accuracy=0.8933
Epoch 33: TrainLoss=0.3550, TrainAcc=0.8969, TestLoss=0.2691, Test Accuracy=0.9212
Epoch 34: TrainLoss=0.3487, TrainAcc=0.8996, TestLoss=0.2824, Test Accuracy=0.9135
Epoch 35: TrainLoss=0.3382, TrainAcc=0.8999, TestLoss=0.2864, Test Accuracy=0.9101
Epoch 36: TrainLoss=0.3358, TrainAcc=0.9025, TestLoss=0.3167, Test Accuracy=0.9008
Epoch 37: TrainLoss=0.3412, TrainAcc=0.9008, TestLoss=0.2625, Test Accuracy=0.9212
Epoch 38: TrainLoss=0.3284, TrainAcc=0.9052, TestLoss=0.3168, Test Accuracy=0.9042
Epoch 39: TrainLoss=0.3465, TrainAcc=0.8990, TestLoss=0.2963, Test Accuracy=0.9062
Epoch 40: TrainLoss=0.3141, TrainAcc=0.9084, TestLoss=0.2965, Test Accuracy=0.9082
Epoch 41: TrainLoss=0.3172, TrainAcc=0.9066, TestLoss=0.2609, Test Accuracy=0.9209
Epoch 42: TrainLoss=0.3282, TrainAcc=0.9038, TestLoss=0.2521, Test Accuracy=0.9223
